Country,Country code,Category,Share,2024 vs. 2023 Growth,App - full name
호주,AUS,도서 및 참고자료,0.01,-0.10,
호주,AUS,교육,0.01,0.14,
호주,AUS,엔터테인먼트,0.11,0.01,
호주,AUS,금융,0.02,0.06,
호주,AUS,게임,0.40,0.12,
호주,AUS,생성형 AI,0.01,2.88,
호주,AUS,건강 및 피트니스,0.01,0.00,
호주,AUS,뉴스,0.00,-0.12,
호주,AUS,기타,0.07,0.11,
호주,AUS,쇼핑,0.03,0.31,
호주,AUS,소셜 미디어,0.28,-0.02,
호주,AUS,스포츠,0.01,-0.11,
호주,AUS,유틸리티 및 생산성,0.04,0.02,
브라질,BRA,도서 및 참고자료,0.01,-0.01,
브라질,BRA,교육,0.01,0.12,
브라질,BRA,엔터테인먼트,0.15,-0.04,
브라질,BRA,금융,0.04,0.02,
브라질,BRA,게임,0.52,0.07,
브라질,BRA,생성형 AI,0.01,4.26,
브라질,BRA,건강 및 피트니스,0.01,0.18,
브라질,BRA,뉴스,0.00,0.04,
브라질,BRA,기타,0.05,0.09,
브라질,BRA,쇼핑,0.03,0.08,
브라질,BRA,소셜 미디어,0.12,-0.05,
브라질,BRA,스포츠,0.00,-0.02,
브라질,BRA,유틸리티 및 생산성,0.05,-0.01,
캐나다,CAN,도서 및 참고자료,0.02,-0.04,
캐나다,CAN,교육,0.01,0.22,
캐나다,CAN,엔터테인먼트,0.10,0.04,
캐나다,CAN,금융,0.02,0.11,
캐나다,CAN,게임,0.42,0.10,
캐나다,CAN,생성형 AI,0.02,3.60,
캐나다,CAN,건강 및 피트니스,0.01,0.13,
캐나다,CAN,뉴스,0.00,-0.10,
캐나다,CAN,기타,0.07,0.07,
캐나다,CAN,쇼핑,0.02,-0.04,
캐나다,CAN,소셜 미디어,0.28,-0.02,
캐나다,CAN,스포츠,0.01,0.12,
캐나다,CAN,유틸리티 및 생산성,0.04,-0.02,
독일,DEU,도서 및 참고자료,0.01,-0.08,
독일,DEU,교육,0.01,0.17,
독일,DEU,엔터테인먼트,0.09,0.04,
독일,DEU,금융,0.01,0.25,
독일,DEU,게임,0.47,0.07,
독일,DEU,생성형 AI,0.02,3.71,
독일,DEU,건강 및 피트니스,0.01,0.12,
독일,DEU,뉴스,0.01,-0.06,
독일,DEU,기타,0.05,0.09,
독일,DEU,쇼핑,0.04,0.15,
독일,DEU,소셜 미디어,0.20,0.03,
독일,DEU,스포츠,0.01,-0.05,
독일,DEU,유틸리티 및 생산성,0.06,0.11,
프랑스,FRA,도서 및 참고자료,0.02,-0.07,
프랑스,FRA,교육,0.02,0.15,
프랑스,FRA,엔터테인먼트,0.10,0.04,
프랑스,FRA,금융,0.01,0.13,
프랑스,FRA,게임,0.42,0.08,
프랑스,FRA,생성형 AI,0.01,5.13,
프랑스,FRA,건강 및 피트니스,0.01,0.12,
프랑스,FRA,뉴스,0.01,-0.04,
프랑스,FRA,기타,0.04,0.08,
프랑스,FRA,쇼핑,0.03,0.09,
프랑스,FRA,소셜 미디어,0.26,-0.04,
프랑스,FRA,스포츠,0.01,-0.19,
프랑스,FRA,유틸리티 및 생산성,0.05,-0.03,
영국,GBR,도서 및 참고자료,0.01,-0.07,
영국,GBR,교육,0.01,0.08,
영국,GBR,엔터테인먼트,0.09,0.06,
영국,GBR,금융,0.02,0.04,
영국,GBR,게임,0.39,0.07,
영국,GBR,생성형 AI,0.02,3.40,
영국,GBR,건강 및 피트니스,0.01,0.04,
영국,GBR,뉴스,0.01,-0.10,
영국,GBR,기타,0.06,0.04,
영국,GBR,쇼핑,0.03,0.26,
영국,GBR,소셜 미디어,0.30,-0.06,
영국,GBR,스포츠,0.01,-0.09,
영국,GBR,유틸리티 및 생산성,0.05,0.08,
인도네시아,IDN,도서 및 참고자료,0.01,-0.18,
인도네시아,IDN,교육,0.00,0.19,
인도네시아,IDN,엔터테인먼트,0.08,0.01,
인도네시아,IDN,금융,0.01,0.39,
인도네시아,IDN,게임,0.62,0.04,
인도네시아,IDN,생성형 AI,0.01,3.32,
인도네시아,IDN,건강 및 피트니스,0.00,0.05,
인도네시아,IDN,뉴스,0.00,-0.14,
인도네시아,IDN,기타,0.05,-0.07,
인도네시아,IDN,쇼핑,0.10,0.08,
인도네시아,IDN,소셜 미디어,0.07,-0.06,
