Country,Country code,Category,Share,2024 vs. 2023 Growth,App - full name
澳大利亚,AUS,图书与工具书,0.01,-0.10,
澳大利亚,AUS,教育,0.01,0.14,
澳大利亚,AUS,娱乐,0.11,0.01,
澳大利亚,AUS,金融,0.02,0.06,
澳大利亚,AUS,游戏,0.40,0.12,
澳大利亚,AUS,生成式 AI,0.01,2.88,
澳大利亚,AUS,健康与健身,0.01,0.00,
澳大利亚,AUS,新闻,0.00,-0.12,
澳大利亚,AUS,其他,0.07,0.11,
澳大利亚,AUS,购物,0.03,0.31,
澳大利亚,AUS,社交媒体,0.28,-0.02,
澳大利亚,AUS,体育,0.01,-0.11,
澳大利亚,AUS,实用与效率,0.04,0.02,
巴西,BRA,图书与工具书,0.01,-0.01,
巴西,BRA,教育,0.01,0.12,
巴西,BRA,娱乐,0.15,-0.04,
巴西,BRA,金融,0.04,0.02,
巴西,BRA,游戏,0.52,0.07,
巴西,BRA,生成式 AI,0.01,4.26,
巴西,BRA,健康与健身,0.01,0.18,
巴西,BRA,新闻,0.00,0.04,
巴西,BRA,其他,0.05,0.09,
巴西,BRA,购物,0.03,0.08,
巴西,BRA,社交媒体,0.12,-0.05,
巴西,BRA,体育,0.00,-0.02,
巴西,BRA,实用与效率,0.05,-0.01,
加拿大,CAN,图书与工具书,0.02,-0.04,
加拿大,CAN,教育,0.01,0.22,
加拿大,CAN,娱乐,0.10,0.04,
加拿大,CAN,金融,0.02,0.11,
加拿大,CAN,游戏,0.42,0.10,
加拿大,CAN,生成式 AI,0.02,3.60,
加拿大,CAN,健康与健身,0.01,0.13,
加拿大,CAN,新闻,0.00,-0.10,
加拿大,CAN,其他,0.07,0.07,
加拿大,CAN,购物,0.02,-0.04,
加拿大,CAN,社交媒体,0.28,-0.02,
加拿大,CAN,体育,0.01,0.12,
加拿大,CAN,实用与效率,0.04,-0.02,
德国,DEU,图书与工具书,0.01,-0.08,
德国,DEU,教育,0.01,0.17,
德国,DEU,娱乐,0.09,0.04,
德国,DEU,金融,0.01,0.25,
德国,DEU,游戏,0.47,0.07,
德国,DEU,生成式 AI,0.02,3.71,
德国,DEU,健康与健身,0.01,0.12,
德国,DEU,新闻,0.01,-0.06,
德国,DEU,其他,0.05,0.09,
德国,DEU,购物,0.04,0.15,
德国,DEU,社交媒体,0.20,0.03,
德国,DEU,体育,0.01,-0.05,
德国,DEU,实用与效率,0.06,0.11,
法国,FRA,图书与工具书,0.02,-0.07,
法国,FRA,教育,0.02,0.15,
法国,FRA,娱乐,0.10,0.04,
法国,FRA,金融,0.01,0.13,
法国,FRA,游戏,0.42,0.08,
法国,FRA,生成式 AI,0.01,5.13,
法国,FRA,健康与健身,0.01,0.12,
法国,FRA,新闻,0.01,-0.04,
法国,FRA,其他,0.04,0.08,
法国,FRA,购物,0.03,0.09,
法国,FRA,社交媒体,0.26,-0.04,
法国,FRA,体育,0.01,-0.19,
法国,FRA,实用与效率,0.05,-0.03,
英国,GBR,图书与工具书,0.01,-0.07,
英国,GBR,教育,0.01,0.08,
英国,GBR,娱乐,0.09,0.06,
英国,GBR,金融,0.02,0.04,
英国,GBR,游戏,0.39,0.07,
英国,GBR,生成式 AI,0.02,3.40,
英国,GBR,健康与健身,0.01,0.04,
英国,GBR,新闻,0.01,-0.10,
英国,GBR,其他,0.06,0.04,
英国,GBR,购物,0.03,0.26,
英国,GBR,社交媒体,0.30,-0.06,
英国,GBR,体育,0.01,-0.09,
英国,GBR,实用与效率,0.05,0.08,
印度尼西亚,IDN,图书与工具书,0.01,-0.18,
印度尼西亚,IDN,教育,0.00,0.19,
印度尼西亚,IDN,娱乐,0.08,0.01,
印度尼西亚,IDN,金融,0.01,0.39,
印度尼西亚,IDN,游戏,0.62,0.04,
印度尼西亚,IDN,生成式 AI,0.01,3.32,
印度尼西亚,IDN,健康与健身,0.00,0.05,
印度尼西亚,IDN,新闻,0.00,-0.14,
印度尼西亚,IDN,其他,0.05,-0.07,
印度尼西亚,IDN,购物,0.10,0.08,
印度尼西亚,IDN,社交媒体,0.07,-0.06,
印度尼西亚,IDN,体育,0.00,0.09,
印度尼西亚,IDN,实用与效率,0.03,0.17,
印度,IND,图书与工具书,0.01,0.10,
印度,IND,教育,0.02,0.29,
印度,IND,娱乐,0.17,-0.14,
印度,IND,金融,0.04,0.26,
印度,IND,游戏,0.34,0.11,
印度,IND,生成式 AI,0.00,6.69,
印度,IND,健康与健身,0.00,0.17,
印度,IND,新闻,0.02,0.24,
印度,IND,其他,0.07,0.11,
印度,IND,购物,0.04,0.12,
印度,IND,社交媒体,0.18,0.17,
印度,IND,体育,0.02,-0.05,
印度,IND,实用与效率,0.11,0.05,
日本,JPN,图书与工具书,0.04,-0.11,
日本,JPN,教育,0.00,0.10,
日本,JPN,娱乐,0.04,-0.01,
日本,JPN,金融,0.01,0.14,
日本,JPN,游戏,0.31,0.07,
日本,JPN,生成式 AI,0.00,2.87,
日本,JPN,健康与健身,0.00,0.07,
日本,JPN,新闻,0.06,-0.05,
日本,JPN,其他,0.03,0.03,
日本,JPN,购物,0.02,0.07,
