Country,Country code,Category,Share,2024 vs. 2023 Growth,App - full name
Australia,AUS,Books & Reference,0.01,-0.10,
Australia,AUS,Education,0.01,0.14,
Australia,AUS,Entertainment,0.11,0.01,
Australia,AUS,Finance,0.02,0.06,
Australia,AUS,Gaming,0.40,0.12,
Australia,AUS,Generative AI,0.01,2.88,
Australia,AUS,Health and Fitness,0.01,0.00,
Australia,AUS,News,0.00,-0.12,
Australia,AUS,Other,0.07,0.11,
Australia,AUS,Shopping,0.03,0.31,
Australia,AUS,Social Media,0.28,-0.02,
Australia,AUS,Sports,0.01,-0.11,
Australia,AUS,Utility & Productivity,0.04,0.02,
Brazil,BRA,Books & Reference,0.01,-0.01,
Brazil,BRA,Education,0.01,0.12,
Brazil,BRA,Entertainment,0.15,-0.04,
Brazil,BRA,Finance,0.04,0.02,
Brazil,BRA,Gaming,0.52,0.07,
Brazil,BRA,Generative AI,0.01,4.26,
Brazil,BRA,Health and Fitness,0.01,0.18,
Brazil,BRA,News,0.00,0.04,
Brazil,BRA,Other,0.05,0.09,
Brazil,BRA,Shopping,0.03,0.08,
Brazil,BRA,Social Media,0.12,-0.05,
Brazil,BRA,Sports,0.00,-0.02,
Brazil,BRA,Utility & Productivity,0.05,-0.01,
Canada,CAN,Books & Reference,0.02,-0.04,
Canada,CAN,Education,0.01,0.22,
Canada,CAN,Entertainment,0.10,0.04,
Canada,CAN,Finance,0.02,0.11,
Canada,CAN,Gaming,0.42,0.10,
Canada,CAN,Generative AI,0.02,3.60,
Canada,CAN,Health and Fitness,0.01,0.13,
Canada,CAN,News,0.00,-0.10,
Canada,CAN,Other,0.07,0.07,
Canada,CAN,Shopping,0.02,-0.04,
Canada,CAN,Social Media,0.28,-0.02,
Canada,CAN,Sports,0.01,0.12,
Canada,CAN,Utility & Productivity,0.04,-0.02,
Germany,DEU,Books & Reference,0.01,-0.08,
Germany,DEU,Education,0.01,0.17,
Germany,DEU,Entertainment,0.09,0.04,
Germany,DEU,Finance,0.01,0.25,
Germany,DEU,Gaming,0.47,0.07,
Germany,DEU,Generative AI,0.02,3.71,
Germany,DEU,Health and Fitness,0.01,0.12,
Germany,DEU,News,0.01,-0.06,
Germany,DEU,Other,0.05,0.09,
Germany,DEU,Shopping,0.04,0.15,
Germany,DEU,Social Media,0.20,0.03,
Germany,DEU,Sports,0.01,-0.05,
Germany,DEU,Utility & Productivity,0.06,0.11,
France,FRA,Books & Reference,0.02,-0.07,
France,FRA,Education,0.02,0.15,
France,FRA,Entertainment,0.10,0.04,
France,FRA,Finance,0.01,0.13,
France,FRA,Gaming,0.42,0.08,
France,FRA,Generative AI,0.01,5.13,
France,FRA,Health and Fitness,0.01,0.12,
France,FRA,News,0.01,-0.04,
France,FRA,Other,0.04,0.08,
France,FRA,Shopping,0.03,0.09,
France,FRA,Social Media,0.26,-0.04,
France,FRA,Sports,0.01,-0.19,
France,FRA,Utility & Productivity,0.05,-0.03,
U.K.,GBR,Books & Reference,0.01,-0.07,
U.K.,GBR,Education,0.01,0.08,
U.K.,GBR,Entertainment,0.09,0.06,
U.K.,GBR,Finance,0.02,0.04,
U.K.,GBR,Gaming,0.39,0.07,
U.K.,GBR,Generative AI,0.02,3.40,
U.K.,GBR,Health and Fitness,0.01,0.04,
U.K.,GBR,News,0.01,-0.10,
U.K.,GBR,Other,0.06,0.04,
U.K.,GBR,Shopping,0.03,0.26,
U.K.,GBR,Social Media,0.30,-0.06,
U.K.,GBR,Sports,0.01,-0.09,
U.K.,GBR,Utility & Productivity,0.05,0.08,
Indonesia,IDN,Books & Reference,0.01,-0.18,
Indonesia,IDN,Education,0.00,0.19,
Indonesia,IDN,Entertainment,0.08,0.01,
Indonesia,IDN,Finance,0.01,0.39,
Indonesia,IDN,Gaming,0.62,0.04,
Indonesia,IDN,Generative AI,0.01,3.32,
Indonesia,IDN,Health and Fitness,0.00,0.05,
Indonesia,IDN,News,0.00,-0.14,
Indonesia,IDN,Other,0.05,-0.07,
Indonesia,IDN,Shopping,0.10,0.08,
Indonesia,IDN,Social Media,0.07,-0.06,
Indonesia,IDN,Sports,0.00,0.09,
Indonesia,IDN,Utility & Productivity,0.03,0.17,
India,IND,Books & Reference,0.01,0.10,
India,IND,Education,0.02,0.29,
India,IND,Entertainment,0.17,-0.14,
India,IND,Finance,0.04,0.26,
India,IND,Gaming,0.34,0.11,
India,IND,Generative AI,0.00,6.69,
India,IND,Health and Fitness,0.00,0.17,
India,IND,News,0.02,0.24,
India,IND,Other,0.07,0.11,
India,IND,Shopping,0.04,0.12,
India,IND,Social Media,0.18,0.17,
India,IND,Sports,0.02,-0.05,
India,IND,Utility & Productivity,0.11,0.05,
Japan,JPN,Books & Reference,0.04,-0.11,
Japan,JPN,Education,0.00,0.10,
Japan,JPN,Entertainment,0.04,-0.01,
Japan,JPN,Finance,0.01,0.14,
Japan,JPN,Gaming,0.31,0.07,
Japan,JPN,Generative AI,0.00,2.87,
Japan,JPN,Health and Fitness,0.00,0.07,
Japan,JPN,News,0.06,-0.05,
Japan,JPN,Other,0.03,0.03,
Japan,JPN,Shopping,0.02,0.07,
Japan,JPN,Social Media,0.43,-0.04,
Japan,JPN,Sports,0.01,0.08,
Japan,JPN,Utility & Productivity,0.03,0.02,
South Korea,KOR,Books & Reference,0.03,-0.15,
South Korea,KOR,Education,0.02,0.05,
South Korea,KOR,Entertainment,0.07,-0.05,
South Korea,KOR,Finance,0.05,0.20,
South Korea,KOR,Gaming,0.26,-0.02,
South Korea,KOR,Generative AI,0.00,4.66,
South Korea,KOR,Health and Fitness,0.03,0.00,
South Korea,KOR,News,0.00,0.21,
South Korea,KOR,Other,0.05,-0.04,
South Korea,KOR,Shopping,0.04,0.05,
South Korea,KOR,Social Media,0.39,-0.10,
South Korea,KOR,Sports,0.00,-0.24,
South Korea,KOR,Utility & Productivity,0.05,-0.01,
Mexico,MEX,Books & Reference,0.02,-0.13,
Mexico,MEX,Education,0.01,0.17,
Mexico,MEX,Entertainment,0.11,0.08,
Mexico,MEX,Finance,0.01,0.21,
Mexico,MEX,Gaming,0.64,0.07,
Mexico,MEX,Generative AI,0.01,4.05,
Mexico,MEX,Health and Fitness,0.00,0.24,
Mexico,MEX,News,0.00,1.30,
Mexico,MEX,Other,0.04,0.17,
Mexico,MEX,Shopping,0.02,0.30,
Mexico,MEX,Social Media,0.10,0.05,
Mexico,MEX,Sports,0.00,0.12,
Mexico,MEX,Utility & Productivity,0.03,0.03,
U.S.,USA,Books & Reference,0.02,-0.05,
U.S.,USA,Education,0.01,0.05,
U.S.,USA,Entertainment,0.11,-0.02,
U.S.,USA,Finance,0.01,0.05,
U.S.,USA,Gaming,0.39,0.04,
U.S.,USA,Generative AI,0.02,2.44,
U.S.,USA,Health and Fitness,0.01,0.09,
U.S.,USA,News,0.01,-0.05,
U.S.,USA,Other,0.07,0.00,
U.S.,USA,Shopping,0.03,-0.02,
U.S.,USA,Social Media,0.27,-0.06,
U.S.,USA,Sports,0.01,-0.01,
U.S.,USA,Utility & Productivity,0.04,-0.03,
