Country,Category,App,Share,2024 vs. 2023 Growth
US,Gaming,Total,38.69%,3.55%
US,Gaming,Clash Royale,0.53%,
US,Gaming,Brawl Stars,0.52%,
US,Gaming,Call of Duty,0.33%,
US,Gaming,Candy Crush Saga,0.17%,
US,Gaming,Lily’s Garden,0.17%,
US,Gaming,Solitaire,0.15%,
US,Gaming,Happy Color,0.15%,
US,Gaming,Subway Surfers,0.14%,
US,Gaming,Wordscapes,0.11%,
US,Gaming,Royal Match,0.10%,
US,Gaming,PubG Mobile,0.10%,
US,Gaming,Hay Day,0.04%,
US,Gaming,Block Blast!,0.03%,
US,Gaming,Hexa Sort,0.01%,
US,Gaming,Words With Friends Word Game,0.01%,
US,Gaming,Other ,36.12%,
US,Social Media,Total,28.49%,-5.85%
US,Social Media,Snapchat,5.97%,
US,Social Media,Discord,2.16%,
US,Social Media,X,2.13%,
US,Social Media,Pinterest,0.96%,
US,Social Media,Line,0.29%,
US,Social Media,"Tumblr—Fandom, Art, Chaos",0.25%,
US,Social Media,TextNow: Call + Text Unlimited,0.20%,
US,Social Media,Grindr - Gay Dating & Chat,0.12%,
US,Social Media,Tinder Dating App: Chat & Date,0.12%,
US,Social Media,KakaoTalk : Messenger,0.08%,
US,Social Media,BeReal: Photos & Friends Daily Total,0.04%,
US,Social Media,Other,16.20%,
US,Entertainment,Total,11.77%,-2.35%
US,Entertainment,Spotify,1.57%,
US,Entertainment,Hulu: Stream TV shows & movies,0.34%,
US,Entertainment,Pandora - Music & Podcasts,0.23%,
US,Entertainment,Peacock TV: Stream TV & Movies,0.17%,
US,Entertainment,Max,0.17%,
US,Entertainment,Crunchyroll,0.15%,
US,Entertainment,"iFunny－video memes, meme maker",0.14%,
US,Entertainment,Tubi: Free Movies & Live TV,0.12%,
US,Entertainment,SoundCloud: Discover New Songs,0.09%,
US,Entertainment,Musi - Simple Music Streaming,0.01%,
US,Entertainment,Other,8.78%,
US,Other,Total,6.52%,0.39%
US,Other,The Roku App (Official),0.21%,
US,Other,ibis Paint X,0.15%,
US,Other,Indeed Job Search,0.04%,
US,Other,CapCut - Video Editor,0.06%,
US,Other,Nextdoor: Neighborhood Network,0.03%,
US,Other,"Picsart AI Photo Editor, Video",0.02%,
US,Other,Pregnancy App & Baby Tracker,0.02%,
US,Other,Metrozone,0.00%,
US,Other,Other,6.01%,
US,Utlity & Productivity,Total,3.91%,-3.07%
US,Utlity & Productivity,Yahoo Mail,0.24%,
US,Utlity & Productivity,Life360: Stay Connected & Safe Total,0.13%,
US,Utlity & Productivity,The Weather Channel - Radar,0.06%,
US,Utlity & Productivity,Action Launcher: Pixel Edition,0.06%,
US,Utlity & Productivity,Weather Home - Live Radar,0.05%,
US,Utlity & Productivity,AccuWeather: Weather Radar,0.05%,
US,Utlity & Productivity,Alarmy - Alarm Clock & Sleep,0.04%,
