Country,Category,Share,2024 vs. 2023 Growth,App - full name
Australia,Books & Reference,0.01,-0.10,
Australia,Education,0.01,0.14,
Australia,Entertainment,0.11,0.01,
Australia,Finance,0.02,0.06,
Australia,Gaming,0.40,0.12,
Australia,Generative AI,0.01,2.88,
Australia,Health and Fitness,0.01,0.00,
Australia,News,0.00,-0.12,
Australia,Other,0.07,0.11,
Australia,Shopping,0.03,0.31,
Australia,Social Media,0.28,-0.02,
Australia,Sports,0.01,-0.11,
Australia,Utility & Productivity,0.04,0.02,
Brazil,Books & Reference,0.01,-0.01,
Brazil,Education,0.01,0.12,
Brazil,Entertainment,0.15,-0.04,
Brazil,Finance,0.04,0.02,
Brazil,Gaming,0.52,0.07,
Brazil,Generative AI,0.01,4.26,
Brazil,Health and Fitness,0.01,0.18,
Brazil,News,0.00,0.04,
Brazil,Other,0.05,0.09,
Brazil,Shopping,0.03,0.08,
Brazil,Social Media,0.12,-0.05,
Brazil,Sports,0.00,-0.02,
Brazil,Utility & Productivity,0.05,-0.01,
Canada,Books & Reference,0.02,-0.04,
Canada,Education,0.01,0.22,
Canada,Entertainment,0.10,0.04,
Canada,Finance,0.02,0.11,
Canada,Gaming,0.42,0.10,
Canada,Generative AI,0.02,3.60,
Canada,Health and Fitness,0.01,0.13,
Canada,News,0.00,-0.10,
Canada,Other,0.07,0.07,
Canada,Shopping,0.02,-0.04,
Canada,Social Media,0.28,-0.02,
Canada,Sports,0.01,0.12,
Canada,Utility & Productivity,0.04,-0.02,
Germany,Books & Reference,0.01,-0.08,
Germany,Education,0.01,0.17,
Germany,Entertainment,0.09,0.04,
Germany,Finance,0.01,0.25,
Germany,Gaming,0.47,0.07,
Germany,Generative AI,0.02,3.71,
Germany,Health and Fitness,0.01,0.12,
Germany,News,0.01,-0.06,
Germany,Other,0.05,0.09,
Germany,Shopping,0.04,0.15,
Germany,Social Media,0.20,0.03,
Germany,Sports,0.01,-0.05,
Germany,Utility & Productivity,0.06,0.11,
France,Books & Reference,0.02,-0.07,
France,Education,0.02,0.15,
France,Entertainment,0.10,0.04,
France,Finance,0.01,0.13,
France,Gaming,0.42,0.08,
France,Generative AI,0.01,5.13,
France,Health and Fitness,0.01,0.12,
France,News,0.01,-0.04,
France,Other,0.04,0.08,
France,Shopping,0.03,0.09,
France,Social Media,0.26,-0.04,
France,Sports,0.01,-0.19,
France,Utility & Productivity,0.05,-0.03,
United Kingdom,Books & Reference,0.01,-0.07,
United Kingdom,Education,0.01,0.08,
United Kingdom,Entertainment,0.09,0.06,
United Kingdom,Finance,0.02,0.04,
United Kingdom,Gaming,0.39,0.07,
United Kingdom,Generative AI,0.02,3.40,
United Kingdom,Health and Fitness,0.01,0.04,
United Kingdom,News,0.01,-0.10,
United Kingdom,Other,0.06,0.04,
United Kingdom,Shopping,0.03,0.26,
United Kingdom,Social Media,0.30,-0.06,
United Kingdom,Sports,0.01,-0.09,
United Kingdom,Utility & Productivity,0.05,0.08,
Indonesia,Books & Reference,0.01,-0.18,
Indonesia,Education,0.00,0.19,
Indonesia,Entertainment,0.08,0.01,
Indonesia,Finance,0.01,0.39,
Indonesia,Gaming,0.62,0.04,
Indonesia,Generative AI,0.01,3.32,
Indonesia,Health and Fitness,0.00,0.05,
Indonesia,News,0.00,-0.14,
Indonesia,Other,0.05,-0.07,
Indonesia,Shopping,0.10,0.08,
Indonesia,Social Media,0.07,-0.06,
Indonesia,Sports,0.00,0.09,
Indonesia,Utility & Productivity,0.03,0.17,
India,Books & Reference,0.01,0.10,
India,Education,0.02,0.29,
India,Entertainment,0.17,-0.14,
India,Finance,0.04,0.26,
India,Gaming,0.34,0.11,
India,Generative AI,0.00,6.69,
India,Health and Fitness,0.00,0.17,
India,News,0.02,0.24,
India,Other,0.07,0.11,
India,Shopping,0.04,0.12,
India,Social Media,0.18,0.17,
India,Sports,0.02,-0.05,
India,Utility & Productivity,0.11,0.05,
Japan,Books & Reference,0.04,-0.11,
Japan,Education,0.00,0.10,
Japan,Entertainment,0.04,-0.01,
