Country,Country code,Genre,Apps used in the past 30 days,Ad opportunity every 24h,Top Ad Opportunity #1,Top Ad Opportunity #2,Top Ad Opportunity #3
オーストラリア,AUS,RMG,41,47,ゲーム,ソーシャルメディア,健康・フィットネス
オーストラリア,AUS,Eコマース,17,13,健康・フィットネス,ゲーム,ユーティリティ & 生産性
オーストラリア,AUS,オンデマンド,21,19,健康・フィットネス,ゲーム,ユーティリティ & 生産性
オーストラリア,AUS,旅行,13,9,健康・フィットネス,ライフスタイル,ユーティリティ & 生産性
オーストラリア,AUS,ファイナンス,38,51,ファイナンス,健康・フィットネス,ソーシャルメディア
オーストラリア,AUS,エンターテインメント,35,28,ゲーム,健康・フィットネス,ソーシャルメディア
オーストラリア,AUS,ソーシャル,21,14,ソーシャルメディア,ユーティリティ & 生産性,健康・フィットネス
ブラジル,BRA,RMG,18,9,ゲーム,ファイナンス,ライフスタイル
ブラジル,BRA,Eコマース,22,10,ゲーム,健康・フィットネス,ユーティリティ & 生産性
ブラジル,BRA,オンデマンド,16,11,健康・フィットネス,ゲーム,ユーティリティ & 生産性
ブラジル,BRA,旅行,28,14,ゲーム,ユーティリティ & 生産性,健康・フィットネス
ブラジル,BRA,ファイナンス,38,11,ユーティリティ & 生産性,ゲーム,健康・フィットネス
ブラジル,BRA,エンターテインメント,43,20,ゲーム,ユーティリティ & 生産性,ソーシャルメディア
ブラジル,BRA,ソーシャル,41,18,ソーシャルメディア,ユーティリティ & 生産性,ゲーム
カナダ,CAN,RMG,18,26,健康・フィットネス,ゲーム,ライフスタイル
カナダ,CAN,Eコマース,15,16,健康・フィットネス,ゲーム,ユーティリティ & 生産性
カナダ,CAN,オンデマンド,22,25,健康・フィットネス,ユーティリティ & 生産性,ゲーム
カナダ,CAN,旅行,16,15,ユーティリティ & 生産性,ソーシャルメディア,健康・フィットネス
カナダ,CAN,ファイナンス,21,24,ファイナンス,健康・フィットネス,ソーシャルメディア
カナダ,CAN,エンターテインメント,35,40,ゲーム,健康・フィットネス,ソーシャルメディア
カナダ,CAN,ソーシャル,15,18,ソーシャルメディア,ユーティリティ & 生産性,健康・フィットネス
ドイツ,DEU,RMG,18,18,ゲーム,ソーシャルメディア,ライフスタイル
ドイツ,DEU,Eコマース,13,19,ゲーム,健康・フィットネス,ユーティリティ & 生産性
ドイツ,DEU,オンデマンド,9,16,健康・フィットネス,ゲーム,ユーティリティ & 生産性
ドイツ,DEU,旅行,16,13,健康・フィットネス,ソーシャルメディア,ユーティリティ & 生産性
ドイツ,DEU,ファイナンス,31,41,ユーティリティ & 生産性,ソーシャルメディア,ファイナンス
ドイツ,DEU,エンターテインメント,33,27,ソーシャルメディア,ユーティリティ & 生産性,ゲーム
ドイツ,DEU,ソーシャル,19,11,ソーシャルメディア,ユーティリティ & 生産性,健康・フィットネス
フランス,FRA,RMG,16,18,ゲーム,ソーシャルメディア,健康・フィットネス
フランス,FRA,Eコマース,14,18,ゲーム,健康・フィットネス,ユーティリティ & 生産性
フランス,FRA,オンデマンド,16,25,健康・フィットネス,ゲーム,ソーシャルメディア
フランス,FRA,旅行,18,14,ソーシャルメディア,ユーティリティ & 生産性,健康・フィットネス
フランス,FRA,ファイナンス,27,21,ソーシャルメディア,ファイナンス,健康・フィットネス
フランス,FRA,エンターテインメント,32,25,ソーシャルメディア,ユーティリティ & 生産性,ゲーム
フランス,FRA,ソーシャル,17,14,ソーシャルメディア,ユーティリティ & 生産性,健康・フィットネス
イギリス,GBR,RMG,15,24,ゲーム,健康・フィットネス,ライフスタイル
イギリス,GBR,Eコマース,11,22,ゲーム,健康・フィットネス,ユーティリティ & 生産性
イギリス,GBR,オンデマンド,10,16,健康・フィットネス,ゲーム,ソーシャルメディア
イギリス,GBR,旅行,15,12,健康・フィットネス,ゲーム,ユーティリティ & 生産性
イギリス,GBR,ファイナンス,26,31,ソーシャルメディア,ファイナンス,健康・フィットネス
イギリス,GBR,エンターテインメント,30,32,ソーシャルメディア,ゲーム,健康・フィットネス
イギリス,GBR,ソーシャル,14,11,ソーシャルメディア,ユーティリティ & 生産性,健康・フィットネス
