Country,Country code,Genre,Apps used in the past 30 days,Ad opportunity every 24h,Top Ad Opportunity #1,Top Ad Opportunity #2,Top Ad Opportunity #3
호주,AUS,RMG,41,47,게임,소셜 미디어,건강 및 피트니스
호주,AUS,이커머스,17,13,건강 및 피트니스,게임,유틸리티 및 생산성
호주,AUS,주문형,21,19,건강 및 피트니스,게임,유틸리티 및 생산성
호주,AUS,여행,13,9,건강 및 피트니스,라이프스타일,유틸리티 및 생산성
호주,AUS,금융,38,51,금융,건강 및 피트니스,소셜 미디어
호주,AUS,엔터테인먼트,35,28,게임,건강 및 피트니스,소셜 미디어
호주,AUS,소셜,21,14,소셜 미디어,유틸리티 및 생산성,건강 및 피트니스
브라질,BRA,RMG,18,9,소셜 미디어,금융,라이프스타일
브라질,BRA,이커머스,22,10,게임,건강 및 피트니스,유틸리티 및 생산성
브라질,BRA,주문형,16,11,건강 및 피트니스,게임,유틸리티 및 생산성
브라질,BRA,여행,28,14,게임,유틸리티 및 생산성,건강 및 피트니스
브라질,BRA,금융,38,11,유틸리티 및 생산성,게임,건강 및 피트니스
브라질,BRA,엔터테인먼트,43,20,게임,유틸리티 및 생산성,소셜 미디어
브라질,BRA,소셜,41,18,소셜 미디어,유틸리티 및 생산성,게임
캐나다,CAN,RMG,18,26,건강 및 피트니스,게임,라이프스타일
캐나다,CAN,이커머스,15,16,건강 및 피트니스,게임,유틸리티 및 생산성
캐나다,CAN,주문형,22,25,건강 및 피트니스,유틸리티 및 생산성,게임
캐나다,CAN,여행,16,15,유틸리티 및 생산성,소셜 미디어,건강 및 피트니스
캐나다,CAN,금융,21,24,금융,건강 및 피트니스,소셜 미디어
캐나다,CAN,엔터테인먼트,35,40,게임,건강 및 피트니스,소셜 미디어
캐나다,CAN,소셜,15,18,소셜 미디어,유틸리티 및 생산성,건강 및 피트니스
독일,DEU,RMG,18,18,게임,소셜 미디어,라이프스타일
독일,DEU,이커머스,13,19,게임,건강 및 피트니스,유틸리티 및 생산성
독일,DEU,주문형,9,16,건강 및 피트니스,게임,유틸리티 및 생산성
독일,DEU,여행,16,13,건강 및 피트니스,소셜 미디어,유틸리티 및 생산성
독일,DEU,금융,31,41,유틸리티 및 생산성,소셜 미디어,금융
독일,DEU,엔터테인먼트,33,27,소셜 미디어,유틸리티 및 생산성,게임
독일,DEU,소셜,19,11,소셜 미디어,유틸리티 및 생산성,건강 및 피트니스
프랑스,FRA,RMG,16,18,게임,소셜 미디어,건강 및 피트니스
프랑스,FRA,이커머스,14,18,게임,건강 및 피트니스,유틸리티 및 생산성
프랑스,FRA,주문형,16,25,건강 및 피트니스,게임,소셜 미디어
프랑스,FRA,여행,18,14,소셜 미디어,유틸리티 및 생산성,건강 및 피트니스
프랑스,FRA,금융,27,21,소셜 미디어,금융,건강 및 피트니스
프랑스,FRA,엔터테인먼트,32,25,소셜 미디어,유틸리티 및 생산성,게임
프랑스,FRA,소셜,17,14,소셜 미디어,유틸리티 및 생산성,건강 및 피트니스
영국,GBR,RMG,15,24,게임,건강 및 피트니스,라이프스타일
영국,GBR,이커머스,11,22,게임,건강 및 피트니스,유틸리티 및 생산성
영국,GBR,주문형,10,16,건강 및 피트니스,게임,소셜 미디어
영국,GBR,여행,15,12,건강 및 피트니스,게임,유틸리티 및 생산성
영국,GBR,금융,26,31,소셜 미디어,금융,건강 및 피트니스
영국,GBR,엔터테인먼트,30,32,소셜 미디어,게임,건강 및 피트니스
영국,GBR,소셜,14,11,소셜 미디어,유틸리티 및 생산성,건강 및 피트니스
인도네시아,IDN,RMG,17,12,소셜 미디어,금융,라이프스타일
인도네시아,IDN,이커머스,55,8,유틸리티 및 생산성,게임,소셜 미디어
인도네시아,IDN,주문형,36,11,금융,소셜 미디어,건강 및 피트니스
인도네시아,IDN,여행,52,10,게임,유틸리티 및 생산성,소셜 미디어
인도네시아,IDN,금융,60,10,게임,유틸리티 및 생산성,소셜 미디어
인도네시아,IDN,엔터테인먼트,62,15,유틸리티 및 생산성,게임,소셜 미디어
인도네시아,IDN,소셜,52,10,소셜 미디어,유틸리티 및 생산성,게임
인도,IND,RMG,54,14,소셜 미디어,유틸리티 및 생산성,금융
인도,IND,이커머스,31,10,유틸리티 및 생산성,소셜 미디어,게임
인도,IND,주문형,28,11,소셜 미디어,유틸리티 및 생산성,게임
인도,IND,여행,23,9,소셜 미디어,유틸리티 및 생산성,게임
인도,IND,금융,19,15,유틸리티 및 생산성,소셜 미디어,게임
인도,IND,엔터테인먼트,35,11,소셜 미디어,유틸리티 및 생산성,게임
인도,IND,소셜,47,13,소셜 미디어,유틸리티 및 생산성,게임
일본,JPN,RMG,23,12,소셜 미디어,건강 및 피트니스,도서 및 참고자료
일본,JPN,이커머스,21,37,게임,건강 및 피트니스,유틸리티 및 생산성
일본,JPN,주문형,23,40,게임,건강 및 피트니스,유틸리티 및 생산성
일본,JPN,여행,19,19,건강 및 피트니스,금융,라이프스타일
일본,JPN,금융,30,28,게임,건강 및 피트니스,유틸리티 및 생산성
일본,JPN,엔터테인먼트,40,56,게임,건강 및 피트니스,소셜 미디어
일본,JPN,소셜,34,50,소셜 미디어,게임,건강 및 피트니스
대한민국,KOR,RMG,89,20,소셜 미디어,금융,교육
대한민국,KOR,이커머스,83,22,게임,건강 및 피트니스,유틸리티 및 생산성
대한민국,KOR,주문형,75,20,게임,건강 및 피트니스,유틸리티 및 생산성
대한민국,KOR,여행,83,22,게임,건강 및 피트니스,유틸리티 및 생산성
