Country,Country code,Genre,Apps used in the past 30 days,Ad opportunity every 24h,Top Ad Opportunity #1,Top Ad Opportunity #2,Top Ad Opportunity #3
澳大利亚,AUS,真金游戏,41,47,游戏,社交媒体,健康与健身
澳大利亚,AUS,电子商务,17,13,健康与健身,游戏,实用与效率
澳大利亚,AUS,按需服务,21,19,健康与健身,游戏,实用与效率
澳大利亚,AUS,旅游,13,9,健康与健身,生活方式,实用与效率
澳大利亚,AUS,金融,38,51,金融,健康与健身,社交媒体
澳大利亚,AUS,娱乐,35,28,游戏,健康与健身,社交媒体
澳大利亚,AUS,社交,21,14,社交媒体,实用与效率,健康与健身
巴西,BRA,真金游戏,18,9,社交媒体,金融,生活方式
巴西,BRA,电子商务,22,10,游戏,健康与健身,实用与效率
巴西,BRA,按需服务,16,11,健康与健身,游戏,实用与效率
巴西,BRA,旅游,28,14,游戏,实用与效率,健康与健身
巴西,BRA,金融,38,11,实用与效率,游戏,健康与健身
巴西,BRA,娱乐,43,20,游戏,实用与效率,社交媒体
巴西,BRA,社交,41,18,社交媒体,实用与效率,游戏
加拿大,CAN,真金游戏,18,26,健康与健身,游戏,生活方式
加拿大,CAN,电子商务,15,16,健康与健身,游戏,实用与效率
加拿大,CAN,按需服务,22,25,健康与健身,实用与效率,游戏
加拿大,CAN,旅游,16,15,实用与效率,社交媒体,健康与健身
加拿大,CAN,金融,21,24,金融,健康与健身,社交媒体
加拿大,CAN,娱乐,35,40,游戏,健康与健身,社交媒体
加拿大,CAN,社交,15,18,社交媒体,实用与效率,健康与健身
德国,DEU,真金游戏,18,18,游戏,社交媒体,生活方式
德国,DEU,电子商务,13,19,游戏,健康与健身,实用与效率
德国,DEU,按需服务,9,16,健康与健身,游戏,实用与效率
德国,DEU,旅游,16,13,健康与健身,社交媒体,实用与效率
德国,DEU,金融,31,41,实用与效率,社交媒体,金融
德国,DEU,娱乐,33,27,社交媒体,实用与效率,游戏
德国,DEU,社交,19,11,社交媒体,实用与效率,健康与健身
