Country,Country code,Genre,Demographics (Gender),%
オーストラリア,AUS,RMG,男性,0.752
オーストラリア,AUS,RMG,女性,0.248
オーストラリア,AUS,Eコマース,男性,0.358
オーストラリア,AUS,Eコマース,女性,0.642
オーストラリア,AUS,オンデマンド,男性,0.686
オーストラリア,AUS,オンデマンド,女性,0.314
オーストラリア,AUS,旅行,男性,0.661
オーストラリア,AUS,旅行,女性,0.339
オーストラリア,AUS,ファイナンス,男性,0.729
オーストラリア,AUS,ファイナンス,女性,0.271
オーストラリア,AUS,エンターテインメント,男性,0.523
オーストラリア,AUS,エンターテインメント,女性,0.477
オーストラリア,AUS,ソーシャル,男性,0.604
オーストラリア,AUS,ソーシャル,女性,0.396
ブラジル,BRA,RMG,男性,0.736
ブラジル,BRA,RMG,女性,0.264
ブラジル,BRA,Eコマース,男性,0.271
ブラジル,BRA,Eコマース,女性,0.729
ブラジル,BRA,オンデマンド,男性,0.469
ブラジル,BRA,オンデマンド,女性,0.531
ブラジル,BRA,旅行,男性,0.592
ブラジル,BRA,旅行,女性,0.408
ブラジル,BRA,ファイナンス,男性,0.581
ブラジル,BRA,ファイナンス,女性,0.419
ブラジル,BRA,エンターテインメント,男性,0.506
ブラジル,BRA,エンターテインメント,女性,0.494
ブラジル,BRA,ソーシャル,男性,0.497
ブラジル,BRA,ソーシャル,女性,0.503
カナダ,CAN,RMG,男性,0.83
カナダ,CAN,RMG,女性,0.17
カナダ,CAN,Eコマース,男性,0.37
カナダ,CAN,Eコマース,女性,0.63
カナダ,CAN,オンデマンド,男性,0.659
カナダ,CAN,オンデマンド,女性,0.341
カナダ,CAN,旅行,男性,0.572
カナダ,CAN,旅行,女性,0.428
カナダ,CAN,ファイナンス,男性,0.537
カナダ,CAN,ファイナンス,女性,0.463
カナダ,CAN,エンターテインメント,男性,0.518
カナダ,CAN,エンターテインメント,女性,0.482
カナダ,CAN,ソーシャル,男性,0.506
カナダ,CAN,ソーシャル,女性,0.494
ドイツ,DEU,RMG,男性,0.811
ドイツ,DEU,RMG,女性,0.189
ドイツ,DEU,Eコマース,男性,0.435
ドイツ,DEU,Eコマース,女性,0.565
ドイツ,DEU,オンデマンド,男性,0.635
ドイツ,DEU,オンデマンド,女性,0.365
ドイツ,DEU,旅行,男性,0.578
ドイツ,DEU,旅行,女性,0.422
ドイツ,DEU,ファイナンス,男性,0.608
ドイツ,DEU,ファイナンス,女性,0.392
ドイツ,DEU,エンターテインメント,男性,0.519
ドイツ,DEU,エンターテインメント,女性,0.481
ドイツ,DEU,ソーシャル,男性,0.561
ドイツ,DEU,ソーシャル,女性,0.439
フランス,FRA,RMG,男性,0.765
フランス,FRA,RMG,女性,0.235
フランス,FRA,Eコマース,男性,0.374
フランス,FRA,Eコマース,女性,0.626
フランス,FRA,オンデマンド,男性,0.615
フランス,FRA,オンデマンド,女性,0.385
フランス,FRA,旅行,男性,0.571
フランス,FRA,旅行,女性,0.429
