Country,Country code,Genre,Demographics (Gender),%
호주,AUS,RMG,남성,0.752
호주,AUS,RMG,여성,0.248
호주,AUS,이커머스,남성,0.358
호주,AUS,이커머스,여성,0.642
호주,AUS,주문형,남성,0.686
호주,AUS,주문형,여성,0.314
호주,AUS,여행,남성,0.661
호주,AUS,여행,여성,0.339
호주,AUS,금융,남성,0.729
호주,AUS,금융,여성,0.271
호주,AUS,엔터테인먼트,남성,0.523
호주,AUS,엔터테인먼트,여성,0.477
호주,AUS,소셜,남성,0.604
호주,AUS,소셜,여성,0.396
브라질,BRA,RMG,남성,0.736
브라질,BRA,RMG,여성,0.264
브라질,BRA,이커머스,남성,0.271
브라질,BRA,이커머스,여성,0.729
브라질,BRA,주문형,남성,0.469
브라질,BRA,주문형,여성,0.531
브라질,BRA,여행,남성,0.592
브라질,BRA,여행,여성,0.408
브라질,BRA,금융,남성,0.581
브라질,BRA,금융,여성,0.419
브라질,BRA,엔터테인먼트,남성,0.506
브라질,BRA,엔터테인먼트,여성,0.494
브라질,BRA,소셜,남성,0.497
브라질,BRA,소셜,여성,0.503
캐나다,CAN,RMG,남성,0.83
캐나다,CAN,RMG,여성,0.17
캐나다,CAN,이커머스,남성,0.37
캐나다,CAN,이커머스,여성,0.63
캐나다,CAN,주문형,남성,0.659
캐나다,CAN,주문형,여성,0.341
캐나다,CAN,여행,남성,0.572
캐나다,CAN,여행,여성,0.428
캐나다,CAN,금융,남성,0.537
캐나다,CAN,금융,여성,0.463
캐나다,CAN,엔터테인먼트,남성,0.518
캐나다,CAN,엔터테인먼트,여성,0.482
캐나다,CAN,소셜,남성,0.506
캐나다,CAN,소셜,여성,0.494
독일,DEU,RMG,남성,0.811
독일,DEU,RMG,여성,0.189
독일,DEU,이커머스,남성,0.435
독일,DEU,이커머스,여성,0.565
독일,DEU,주문형,남성,0.635
독일,DEU,주문형,여성,0.365
독일,DEU,여행,남성,0.578
독일,DEU,여행,여성,0.422
독일,DEU,금융,남성,0.608
독일,DEU,금융,여성,0.392
독일,DEU,엔터테인먼트,남성,0.519
독일,DEU,엔터테인먼트,여성,0.481
독일,DEU,소셜,남성,0.561
독일,DEU,소셜,여성,0.439
프랑스,FRA,RMG,남성,0.765
프랑스,FRA,RMG,여성,0.235
프랑스,FRA,이커머스,남성,0.374
프랑스,FRA,이커머스,여성,0.626
프랑스,FRA,주문형,남성,0.615
프랑스,FRA,주문형,여성,0.385
프랑스,FRA,여행,남성,0.571
프랑스,FRA,여행,여성,0.429
프랑스,FRA,금융,남성,0.691
프랑스,FRA,금융,여성,0.309
프랑스,FRA,엔터테인먼트,남성,0.486
프랑스,FRA,엔터테인먼트,여성,0.514
프랑스,FRA,소셜,남성,0.575
프랑스,FRA,소셜,여성,0.425
영국,GBR,RMG,남성,0.768
영국,GBR,RMG,여성,0.232
영국,GBR,이커머스,남성,0.328
영국,GBR,이커머스,여성,0.672
영국,GBR,주문형,남성,0.569
영국,GBR,주문형,여성,0.431
영국,GBR,여행,남성,0.555
영국,GBR,여행,여성,0.445
영국,GBR,금융,남성,0.565
영국,GBR,금융,여성,0.435
영국,GBR,엔터테인먼트,남성,0.554
영국,GBR,엔터테인먼트,여성,0.446
영국,GBR,소셜,남성,0.512
영국,GBR,소셜,여성,0.488
인도네시아,IDN,RMG,남성,0.742
인도네시아,IDN,RMG,여성,0.258
인도네시아,IDN,이커머스,남성,0.506
인도네시아,IDN,이커머스,여성,0.494
인도네시아,IDN,주문형,남성,0.679
인도네시아,IDN,주문형,여성,0.321
인도네시아,IDN,여행,남성,0.739
인도네시아,IDN,여행,여성,0.261
인도네시아,IDN,금융,남성,0.588
인도네시아,IDN,금융,여성,0.412
인도네시아,IDN,엔터테인먼트,남성,0.627
인도네시아,IDN,엔터테인먼트,여성,0.373
인도네시아,IDN,소셜,남성,0.511
인도네시아,IDN,소셜,여성,0.489
인도,IND,RMG,남성,0.891
인도,IND,RMG,여성,0.109
인도,IND,이커머스,남성,0.472
인도,IND,이커머스,여성,0.528
인도,IND,주문형,남성,0.677
인도,IND,주문형,여성,0.323
인도,IND,여행,남성,0.859
인도,IND,여행,여성,0.141
인도,IND,금융,남성,0.81
인도,IND,금융,여성,0.19
인도,IND,엔터테인먼트,남성,0.616
인도,IND,엔터테인먼트,여성,0.384
인도,IND,소셜,남성,0.585
인도,IND,소셜,여성,0.415
일본,JPN,RMG,남성,0.714
일본,JPN,RMG,여성,0.286
일본,JPN,이커머스,남성,0.446
일본,JPN,이커머스,여성,0.554
일본,JPN,주문형,남성,0.596
일본,JPN,주문형,여성,0.404
일본,JPN,여행,남성,0.697
일본,JPN,여행,여성,0.303
일본,JPN,금융,남성,0.663
일본,JPN,금융,여성,0.337
일본,JPN,엔터테인먼트,남성,0.566
일본,JPN,엔터테인먼트,여성,0.434
일본,JPN,소셜,남성,0.584
일본,JPN,소셜,여성,0.416
대한민국,KOR,RMG,남성,0.696
대한민국,KOR,RMG,여성,0.304
대한민국,KOR,이커머스,남성,0.329
대한민국,KOR,이커머스,여성,0.671
대한민국,KOR,주문형,남성,0.615
대한민국,KOR,주문형,여성,0.385
대한민국,KOR,여행,남성,0.591
대한민국,KOR,여행,여성,0.409
대한민국,KOR,금융,남성,0.503
대한민국,KOR,금융,여성,0.497
대한민국,KOR,엔터테인먼트,남성,0.537
대한민국,KOR,엔터테인먼트,여성,0.463
대한민국,KOR,소셜,남성,0.533
대한민국,KOR,소셜,여성,0.467
멕시코,MEX,RMG,남성,0.78
멕시코,MEX,RMG,여성,0.22
멕시코,MEX,이커머스,남성,0.384
멕시코,MEX,이커머스,여성,0.616
멕시코,MEX,주문형,남성,0.594
멕시코,MEX,주문형,여성,0.406
멕시코,MEX,여행,남성,0.592
멕시코,MEX,여행,여성,0.408
멕시코,MEX,금융,남성,0.59
멕시코,MEX,금융,여성,0.41
멕시코,MEX,엔터테인먼트,남성,0.481
멕시코,MEX,엔터테인먼트,여성,0.519
멕시코,MEX,소셜,남성,0.49
멕시코,MEX,소셜,여성,0.51
미국,USA,RMG,남성,0.816
미국,USA,RMG,여성,0.184
미국,USA,이커머스,남성,0.348
미국,USA,이커머스,여성,0.652
미국,USA,주문형,남성,0.514
미국,USA,주문형,여성,0.486
미국,USA,여행,남성,0.584
미국,USA,여행,여성,0.416
미국,USA,금융,남성,0.538
미국,USA,금융,여성,0.462
미국,USA,엔터테인먼트,남성,0.509
미국,USA,엔터테인먼트,여성,0.491
미국,USA,소셜,남성,0.54
미국,USA,소셜,여성,0.46
베트남,VNM,RMG,남성,0.849
베트남,VNM,RMG,여성,0.151
베트남,VNM,이커머스,남성,0.4
베트남,VNM,이커머스,여성,0.6
베트남,VNM,주문형,남성,0.646
베트남,VNM,주문형,여성,0.354
베트남,VNM,여행,남성,0.685
베트남,VNM,여행,여성,0.315
베트남,VNM,금융,남성,0.849
베트남,VNM,금융,여성,0.151
베트남,VNM,엔터테인먼트,남성,0.661
베트남,VNM,엔터테인먼트,여성,0.339
베트남,VNM,소셜,남성,0.48
베트남,VNM,소셜,여성,0.52
