Country,Country code,Genre,Demographics (Gender),%
澳大利亚,AUS,真金游戏,男性,0.752
澳大利亚,AUS,真金游戏,女性,0.248
澳大利亚,AUS,电子商务,男性,0.358
澳大利亚,AUS,电子商务,女性,0.642
澳大利亚,AUS,按需服务,男性,0.686
澳大利亚,AUS,按需服务,女性,0.314
澳大利亚,AUS,旅游,男性,0.661
澳大利亚,AUS,旅游,女性,0.339
澳大利亚,AUS,金融,男性,0.729
澳大利亚,AUS,金融,女性,0.271
澳大利亚,AUS,娱乐,男性,0.523
澳大利亚,AUS,娱乐,女性,0.477
澳大利亚,AUS,社交,男性,0.604
澳大利亚,AUS,社交,女性,0.396
巴西,BRA,真金游戏,男性,0.736
巴西,BRA,真金游戏,女性,0.264
巴西,BRA,电子商务,男性,0.271
巴西,BRA,电子商务,女性,0.729
巴西,BRA,按需服务,男性,0.469
巴西,BRA,按需服务,女性,0.531
巴西,BRA,旅游,男性,0.592
巴西,BRA,旅游,女性,0.408
巴西,BRA,金融,男性,0.581
巴西,BRA,金融,女性,0.419
巴西,BRA,娱乐,男性,0.506
巴西,BRA,娱乐,女性,0.494
巴西,BRA,社交,男性,0.497
巴西,BRA,社交,女性,0.503
加拿大,CAN,真金游戏,男性,0.83
加拿大,CAN,真金游戏,女性,0.17
加拿大,CAN,电子商务,男性,0.37
加拿大,CAN,电子商务,女性,0.63
加拿大,CAN,按需服务,男性,0.659
加拿大,CAN,按需服务,女性,0.341
加拿大,CAN,旅游,男性,0.572
加拿大,CAN,旅游,女性,0.428
加拿大,CAN,金融,男性,0.537
加拿大,CAN,金融,女性,0.463
加拿大,CAN,娱乐,男性,0.518
加拿大,CAN,娱乐,女性,0.482
加拿大,CAN,社交,男性,0.506
加拿大,CAN,社交,女性,0.494
德国,DEU,真金游戏,男性,0.811
德国,DEU,真金游戏,女性,0.189
德国,DEU,电子商务,男性,0.435
德国,DEU,电子商务,女性,0.565
德国,DEU,按需服务,男性,0.635
德国,DEU,按需服务,女性,0.365
