Country,Country code,Genre,Demographics (Gender),%
Australia,AUS,RMG,Male,0.752
Australia,AUS,RMG,Female,0.248
Australia,AUS,E-Commerce,Male,0.358
Australia,AUS,E-Commerce,Female,0.642
Australia,AUS,On Demand,Male,0.686
Australia,AUS,On Demand,Female,0.314
Australia,AUS,Travel,Male,0.661
Australia,AUS,Travel,Female,0.339
Australia,AUS,Finance,Male,0.729
Australia,AUS,Finance,Female,0.271
Australia,AUS,Entertainment,Male,0.523
Australia,AUS,Entertainment,Female,0.477
Australia,AUS,Social,Male,0.604
Australia,AUS,Social,Female,0.396
Brazil,BRA,RMG,Male,0.736
Brazil,BRA,RMG,Female,0.264
Brazil,BRA,E-Commerce,Male,0.271
Brazil,BRA,E-Commerce,Female,0.729
Brazil,BRA,On Demand,Male,0.469
Brazil,BRA,On Demand,Female,0.531
Brazil,BRA,Travel,Male,0.592
Brazil,BRA,Travel,Female,0.408
Brazil,BRA,Finance,Male,0.581
Brazil,BRA,Finance,Female,0.419
Brazil,BRA,Entertainment,Male,0.506
Brazil,BRA,Entertainment,Female,0.494
Brazil,BRA,Social,Male,0.497
Brazil,BRA,Social,Female,0.503
Canada,CAN,RMG,Male,0.83
Canada,CAN,RMG,Female,0.17
Canada,CAN,E-Commerce,Male,0.37
Canada,CAN,E-Commerce,Female,0.63
Canada,CAN,On Demand,Male,0.659
Canada,CAN,On Demand,Female,0.341
Canada,CAN,Travel,Male,0.572
Canada,CAN,Travel,Female,0.428
Canada,CAN,Finance,Male,0.537
Canada,CAN,Finance,Female,0.463
Canada,CAN,Entertainment,Male,0.518
Canada,CAN,Entertainment,Female,0.482
Canada,CAN,Social,Male,0.506
Canada,CAN,Social,Female,0.494
Germany,DEU,RMG,Male,0.811
Germany,DEU,RMG,Female,0.189
Germany,DEU,E-Commerce,Male,0.435
Germany,DEU,E-Commerce,Female,0.565
Germany,DEU,On Demand,Male,0.635
Germany,DEU,On Demand,Female,0.365
Germany,DEU,Travel,Male,0.578
Germany,DEU,Travel,Female,0.422
Germany,DEU,Finance,Male,0.608
Germany,DEU,Finance,Female,0.392
Germany,DEU,Entertainment,Male,0.519
Germany,DEU,Entertainment,Female,0.481
Germany,DEU,Social,Male,0.561
Germany,DEU,Social,Female,0.439
France,FRA,RMG,Male,0.765
France,FRA,RMG,Female,0.235
France,FRA,E-Commerce,Male,0.374
France,FRA,E-Commerce,Female,0.626
France,FRA,On Demand,Male,0.615
France,FRA,On Demand,Female,0.385
France,FRA,Travel,Male,0.571
France,FRA,Travel,Female,0.429
France,FRA,Finance,Male,0.691
France,FRA,Finance,Female,0.309
France,FRA,Entertainment,Male,0.486
France,FRA,Entertainment,Female,0.514
France,FRA,Social,Male,0.575
France,FRA,Social,Female,0.425
U.K.,GBR,RMG,Male,0.768
U.K.,GBR,RMG,Female,0.232
U.K.,GBR,E-Commerce,Male,0.328
U.K.,GBR,E-Commerce,Female,0.672
U.K.,GBR,On Demand,Male,0.569
U.K.,GBR,On Demand,Female,0.431
U.K.,GBR,Travel,Male,0.555
U.K.,GBR,Travel,Female,0.445
U.K.,GBR,Finance,Male,0.565
U.K.,GBR,Finance,Female,0.435
U.K.,GBR,Entertainment,Male,0.554
U.K.,GBR,Entertainment,Female,0.446
U.K.,GBR,Social,Male,0.512
U.K.,GBR,Social,Female,0.488
Indonesia,IDN,RMG,Male,0.742
