Country,Country code,Genre,Demographics (Age),%
オーストラリア,AUS,RMG,18～24歳,0.19
オーストラリア,AUS,RMG,25～34歳,0.38
オーストラリア,AUS,RMG,35～44歳,0.209
オーストラリア,AUS,RMG,45～54歳,0.149
オーストラリア,AUS,RMG,55歳以上,0.072
オーストラリア,AUS,Eコマース,18～24歳,0.126
オーストラリア,AUS,Eコマース,25～34歳,0.304
オーストラリア,AUS,Eコマース,35～44歳,0.415
オーストラリア,AUS,Eコマース,45～54歳,0.131
オーストラリア,AUS,Eコマース,55歳以上,0.024
オーストラリア,AUS,オンデマンド,18～24歳,0.274
オーストラリア,AUS,オンデマンド,25～34歳,0.411
オーストラリア,AUS,オンデマンド,35～44歳,0.221
オーストラリア,AUS,オンデマンド,45～54歳,0.083
オーストラリア,AUS,オンデマンド,55歳以上,0.011
オーストラリア,AUS,旅行,18～24歳,0.194
オーストラリア,AUS,旅行,25～34歳,0.386
オーストラリア,AUS,旅行,35～44歳,0.209
オーストラリア,AUS,旅行,45～54歳,0.168
オーストラリア,AUS,旅行,55歳以上,0.043
オーストラリア,AUS,ファイナンス,18～24歳,0.094
オーストラリア,AUS,ファイナンス,25～34歳,0.588
オーストラリア,AUS,ファイナンス,35～44歳,0.173
オーストラリア,AUS,ファイナンス,45～54歳,0.144
オーストラリア,AUS,ファイナンス,55歳以上,0
オーストラリア,AUS,エンターテインメント,18～24歳,0.313
オーストラリア,AUS,エンターテインメント,25～34歳,0.323
オーストラリア,AUS,エンターテインメント,35～44歳,0.224
オーストラリア,AUS,エンターテインメント,45～54歳,0.113
オーストラリア,AUS,エンターテインメント,55歳以上,0.027
オーストラリア,AUS,ソーシャル,18～24歳,0.467
オーストラリア,AUS,ソーシャル,25～34歳,0.306
オーストラリア,AUS,ソーシャル,35～44歳,0.141
オーストラリア,AUS,ソーシャル,45～54歳,0.077
オーストラリア,AUS,ソーシャル,55歳以上,0.009
ブラジル,BRA,RMG,18～24歳,0.125
ブラジル,BRA,RMG,25～34歳,0.42
ブラジル,BRA,RMG,35～44歳,0.316
ブラジル,BRA,RMG,45～54歳,0.115
ブラジル,BRA,RMG,55歳以上,0.024
ブラジル,BRA,Eコマース,18～24歳,0.155
ブラジル,BRA,Eコマース,25～34歳,0.43
ブラジル,BRA,Eコマース,35～44歳,0.292
ブラジル,BRA,Eコマース,45～54歳,0.102
ブラジル,BRA,Eコマース,55歳以上,0.021
ブラジル,BRA,オンデマンド,18～24歳,0.322
ブラジル,BRA,オンデマンド,25～34歳,0.386
ブラジル,BRA,オンデマンド,35～44歳,0.208
ブラジル,BRA,オンデマンド,45～54歳,0.073
ブラジル,BRA,オンデマンド,55歳以上,0.012
ブラジル,BRA,旅行,18～24歳,0.076
ブラジル,BRA,旅行,25～34歳,0.359
ブラジル,BRA,旅行,35～44歳,0.384
ブラジル,BRA,旅行,45～54歳,0.151
ブラジル,BRA,旅行,55歳以上,0.03
