Country,Country code,Genre,Demographics (Age),%
호주,AUS,RMG,18-24세,0.19
호주,AUS,RMG,25-34세,0.38
호주,AUS,RMG,35-44세,0.209
호주,AUS,RMG,45-54세,0.149
호주,AUS,RMG,55세 이상,0.072
호주,AUS,이커머스,18-24세,0.126
호주,AUS,이커머스,25-34세,0.304
호주,AUS,이커머스,35-44세,0.415
호주,AUS,이커머스,45-54세,0.131
호주,AUS,이커머스,55세 이상,0.024
호주,AUS,주문형,18-24세,0.274
호주,AUS,주문형,25-34세,0.411
호주,AUS,주문형,35-44세,0.221
호주,AUS,주문형,45-54세,0.083
호주,AUS,주문형,55세 이상,0.011
호주,AUS,여행,18-24세,0.194
호주,AUS,여행,25-34세,0.386
호주,AUS,여행,35-44세,0.209
호주,AUS,여행,45-54세,0.168
호주,AUS,여행,55세 이상,0.043
호주,AUS,금융,18-24세,0.094
호주,AUS,금융,25-34세,0.588
호주,AUS,금융,35-44세,0.173
호주,AUS,금융,45-54세,0.144
호주,AUS,금융,55세 이상,0
호주,AUS,엔터테인먼트,18-24세,0.313
호주,AUS,엔터테인먼트,25-34세,0.323
호주,AUS,엔터테인먼트,35-44세,0.224
호주,AUS,엔터테인먼트,45-54세,0.113
호주,AUS,엔터테인먼트,55세 이상,0.027
호주,AUS,소셜,18-24세,0.467
호주,AUS,소셜,25-34세,0.306
호주,AUS,소셜,35-44세,0.141
호주,AUS,소셜,45-54세,0.077
호주,AUS,소셜,55세 이상,0.009
브라질,BRA,RMG,18-24세,0.125
브라질,BRA,RMG,25-34세,0.42
브라질,BRA,RMG,35-44세,0.316
브라질,BRA,RMG,45-54세,0.115
브라질,BRA,RMG,55세 이상,0.024
브라질,BRA,이커머스,18-24세,0.155
브라질,BRA,이커머스,25-34세,0.43
브라질,BRA,이커머스,35-44세,0.292
브라질,BRA,이커머스,45-54세,0.102
브라질,BRA,이커머스,55세 이상,0.021
브라질,BRA,주문형,18-24세,0.322
브라질,BRA,주문형,25-34세,0.386
브라질,BRA,주문형,35-44세,0.208
브라질,BRA,주문형,45-54세,0.073
브라질,BRA,주문형,55세 이상,0.012
브라질,BRA,여행,18-24세,0.076
브라질,BRA,여행,25-34세,0.359
브라질,BRA,여행,35-44세,0.384
브라질,BRA,여행,45-54세,0.151
브라질,BRA,여행,55세 이상,0.03
브라질,BRA,금융,18-24세,0.185
브라질,BRA,금융,25-34세,0.423
브라질,BRA,금융,35-44세,0.261
브라질,BRA,금융,45-54세,0.106
브라질,BRA,금융,55세 이상,0.025
브라질,BRA,엔터테인먼트,18-24세,0.427
브라질,BRA,엔터테인먼트,25-34세,0.364
브라질,BRA,엔터테인먼트,35-44세,0.138
브라질,BRA,엔터테인먼트,45-54세,0.057
브라질,BRA,엔터테인먼트,55세 이상,0.014
브라질,BRA,소셜,18-24세,0.405
브라질,BRA,소셜,25-34세,0.369
브라질,BRA,소셜,35-44세,0.147
브라질,BRA,소셜,45-54세,0.06
브라질,BRA,소셜,55세 이상,0.019
캐나다,CAN,RMG,18-24세,0.136
캐나다,CAN,RMG,25-34세,0.385
캐나다,CAN,RMG,35-44세,0.211
캐나다,CAN,RMG,45-54세,0.185
캐나다,CAN,RMG,55세 이상,0.083
캐나다,CAN,이커머스,18-24세,0.099
캐나다,CAN,이커머스,25-34세,0.302
캐나다,CAN,이커머스,35-44세,0.286
캐나다,CAN,이커머스,45-54세,0.21
캐나다,CAN,이커머스,55세 이상,0.103
캐나다,CAN,주문형,18-24세,0.192
캐나다,CAN,주문형,25-34세,0.323
캐나다,CAN,주문형,35-44세,0.241
캐나다,CAN,주문형,45-54세,0.138
캐나다,CAN,주문형,55세 이상,0.106
캐나다,CAN,여행,18-24세,0.063
캐나다,CAN,여행,25-34세,0.34
캐나다,CAN,여행,35-44세,0.31
캐나다,CAN,여행,45-54세,0.168
캐나다,CAN,여행,55세 이상,0.118
캐나다,CAN,금융,18-24세,0.147
캐나다,CAN,금융,25-34세,0.425
캐나다,CAN,금융,35-44세,0.296
캐나다,CAN,금융,45-54세,0.054
캐나다,CAN,금융,55세 이상,0.078
캐나다,CAN,엔터테인먼트,18-24세,0.278
캐나다,CAN,엔터테인먼트,25-34세,0.282
캐나다,CAN,엔터테인먼트,35-44세,0.185
캐나다,CAN,엔터테인먼트,45-54세,0.228
캐나다,CAN,엔터테인먼트,55세 이상,0.027
캐나다,CAN,소셜,18-24세,0.355
캐나다,CAN,소셜,25-34세,0.285
캐나다,CAN,소셜,35-44세,0.158
캐나다,CAN,소셜,45-54세,0.086
캐나다,CAN,소셜,55세 이상,0.117
독일,DEU,RMG,18-24세,0.143
독일,DEU,RMG,25-34세,0.301
독일,DEU,RMG,35-44세,0.24
독일,DEU,RMG,45-54세,0.21
독일,DEU,RMG,55세 이상,0.106
독일,DEU,이커머스,18-24세,0.079
독일,DEU,이커머스,25-34세,0.282
독일,DEU,이커머스,35-44세,0.31
독일,DEU,이커머스,45-54세,0.199
독일,DEU,이커머스,55세 이상,0.13
독일,DEU,주문형,18-24세,0.256
독일,DEU,주문형,25-34세,0.346
독일,DEU,주문형,35-44세,0.231
독일,DEU,주문형,45-54세,0.117
독일,DEU,주문형,55세 이상,0.05
독일,DEU,여행,18-24세,0.196
독일,DEU,여행,25-34세,0.434
독일,DEU,여행,35-44세,0.167
독일,DEU,여행,45-54세,0.137
독일,DEU,여행,55세 이상,0.067
독일,DEU,금융,18-24세,0.05
독일,DEU,금융,25-34세,0.32
독일,DEU,금융,35-44세,0.339
독일,DEU,금융,45-54세,0.199
독일,DEU,금융,55세 이상,0.092
독일,DEU,엔터테인먼트,18-24세,0.28
독일,DEU,엔터테인먼트,25-34세,0.302
독일,DEU,엔터테인먼트,35-44세,0.169
독일,DEU,엔터테인먼트,45-54세,0.168
독일,DEU,엔터테인먼트,55세 이상,0.081
독일,DEU,소셜,18-24세,0.339
독일,DEU,소셜,25-34세,0.405
독일,DEU,소셜,35-44세,0.131
독일,DEU,소셜,45-54세,0.069
독일,DEU,소셜,55세 이상,0.056
프랑스,FRA,RMG,18-24세,0.177
프랑스,FRA,RMG,25-34세,0.281
프랑스,FRA,RMG,35-44세,0.263
프랑스,FRA,RMG,45-54세,0.17
프랑스,FRA,RMG,55세 이상,0.109
프랑스,FRA,이커머스,18-24세,0.1
프랑스,FRA,이커머스,25-34세,0.244
프랑스,FRA,이커머스,35-44세,0.327
프랑스,FRA,이커머스,45-54세,0.208
프랑스,FRA,이커머스,55세 이상,0.122
프랑스,FRA,주문형,18-24세,0.281
프랑스,FRA,주문형,25-34세,0.313
프랑스,FRA,주문형,35-44세,0.288
프랑스,FRA,주문형,45-54세,0.099
프랑스,FRA,주문형,55세 이상,0.018
프랑스,FRA,여행,18-24세,0.103
프랑스,FRA,여행,25-34세,0.446
프랑스,FRA,여행,35-44세,0.237
프랑스,FRA,여행,45-54세,0.128
프랑스,FRA,여행,55세 이상,0.085
프랑스,FRA,금융,18-24세,0.136
프랑스,FRA,금융,25-34세,0.335
프랑스,FRA,금융,35-44세,0.273
프랑스,FRA,금융,45-54세,0.168
프랑스,FRA,금융,55세 이상,0.089
프랑스,FRA,엔터테인먼트,18-24세,0.414
프랑스,FRA,엔터테인먼트,25-34세,0.273
프랑스,FRA,엔터테인먼트,35-44세,0.151
프랑스,FRA,엔터테인먼트,45-54세,0.097
프랑스,FRA,엔터테인먼트,55세 이상,0.066
프랑스,FRA,소셜,18-24세,0.416
프랑스,FRA,소셜,25-34세,0.349
프랑스,FRA,소셜,35-44세,0.116
프랑스,FRA,소셜,45-54세,0.068
프랑스,FRA,소셜,55세 이상,0.051
영국,GBR,RMG,18-24세,0.138
영국,GBR,RMG,25-34세,0.298
영국,GBR,RMG,35-44세,0.307
영국,GBR,RMG,45-54세,0.179
영국,GBR,RMG,55세 이상,0.078
영국,GBR,이커머스,18-24세,0.126
영국,GBR,이커머스,25-34세,0.259
영국,GBR,이커머스,35-44세,0.321
영국,GBR,이커머스,45-54세,0.205
영국,GBR,이커머스,55세 이상,0.089
영국,GBR,주문형,18-24세,0.275
영국,GBR,주문형,25-34세,0.34
영국,GBR,주문형,35-44세,0.224
영국,GBR,주문형,45-54세,0.118
영국,GBR,주문형,55세 이상,0.043
영국,GBR,여행,18-24세,0.154
영국,GBR,여행,25-34세,0.31
영국,GBR,여행,35-44세,0.267
영국,GBR,여행,45-54세,0.201
영국,GBR,여행,55세 이상,0.068
영국,GBR,금융,18-24세,0.09
영국,GBR,금융,25-34세,0.426
영국,GBR,금융,35-44세,0.292
영국,GBR,금융,45-54세,0.151
영국,GBR,금융,55세 이상,0.041
영국,GBR,엔터테인먼트,18-24세,0.41
영국,GBR,엔터테인먼트,25-34세,0.292
영국,GBR,엔터테인먼트,35-44세,0.142
영국,GBR,엔터테인먼트,45-54세,0.093
영국,GBR,엔터테인먼트,55세 이상,0.063
영국,GBR,소셜,18-24세,0.445
영국,GBR,소셜,25-34세,0.312
영국,GBR,소셜,35-44세,0.134
영국,GBR,소셜,45-54세,0.063
영국,GBR,소셜,55세 이상,0.046
인도네시아,IDN,RMG,18-24세,0.264
인도네시아,IDN,RMG,25-34세,0.341
인도네시아,IDN,RMG,35-44세,0.275
인도네시아,IDN,RMG,45-54세,0.1
인도네시아,IDN,RMG,55세 이상,0.02
인도네시아,IDN,이커머스,18-24세,0.14
