Country,Country code,Genre,Demographics (Age),%
澳大利亚,AUS,真金游戏,18-24,0.19
澳大利亚,AUS,真金游戏,25-34,0.38
澳大利亚,AUS,真金游戏,35-44,0.209
澳大利亚,AUS,真金游戏,45-54,0.149
澳大利亚,AUS,真金游戏,55+,0.072
澳大利亚,AUS,电子商务,18-24,0.126
澳大利亚,AUS,电子商务,25-34,0.304
澳大利亚,AUS,电子商务,35-44,0.415
澳大利亚,AUS,电子商务,45-54,0.131
澳大利亚,AUS,电子商务,55+,0.024
澳大利亚,AUS,按需服务,18-24,0.274
澳大利亚,AUS,按需服务,25-34,0.411
澳大利亚,AUS,按需服务,35-44,0.221
澳大利亚,AUS,按需服务,45-54,0.083
澳大利亚,AUS,按需服务,55+,0.011
澳大利亚,AUS,旅游,18-24,0.194
澳大利亚,AUS,旅游,25-34,0.386
澳大利亚,AUS,旅游,35-44,0.209
澳大利亚,AUS,旅游,45-54,0.168
澳大利亚,AUS,旅游,55+,0.043
澳大利亚,AUS,金融,18-24,0.094
澳大利亚,AUS,金融,25-34,0.588
澳大利亚,AUS,金融,35-44,0.173
澳大利亚,AUS,金融,45-54,0.144
澳大利亚,AUS,金融,55+,0
澳大利亚,AUS,娱乐,18-24,0.313
澳大利亚,AUS,娱乐,25-34,0.323
澳大利亚,AUS,娱乐,35-44,0.224
澳大利亚,AUS,娱乐,45-54,0.113
澳大利亚,AUS,娱乐,55+,0.027
澳大利亚,AUS,社交,18-24,0.467
澳大利亚,AUS,社交,25-34,0.306
澳大利亚,AUS,社交,35-44,0.141
澳大利亚,AUS,社交,45-54,0.077
澳大利亚,AUS,社交,55+,0.009
巴西,BRA,真金游戏,18-24,0.125
巴西,BRA,真金游戏,25-34,0.42
巴西,BRA,真金游戏,35-44,0.316
巴西,BRA,真金游戏,45-54,0.115
巴西,BRA,真金游戏,55+,0.024
巴西,BRA,电子商务,18-24,0.155
巴西,BRA,电子商务,25-34,0.43
巴西,BRA,电子商务,35-44,0.292
巴西,BRA,电子商务,45-54,0.102
巴西,BRA,电子商务,55+,0.021
巴西,BRA,按需服务,18-24,0.322
巴西,BRA,按需服务,25-34,0.386
巴西,BRA,按需服务,35-44,0.208
巴西,BRA,按需服务,45-54,0.073
巴西,BRA,按需服务,55+,0.012
巴西,BRA,旅游,18-24,0.076
巴西,BRA,旅游,25-34,0.359
巴西,BRA,旅游,35-44,0.384
巴西,BRA,旅游,45-54,0.151
巴西,BRA,旅游,55+,0.03
巴西,BRA,金融,18-24,0.185
巴西,BRA,金融,25-34,0.423
巴西,BRA,金融,35-44,0.261
巴西,BRA,金融,45-54,0.106
巴西,BRA,金融,55+,0.025
巴西,BRA,娱乐,18-24,0.427
巴西,BRA,娱乐,25-34,0.364
巴西,BRA,娱乐,35-44,0.138
巴西,BRA,娱乐,45-54,0.057
巴西,BRA,娱乐,55+,0.014
巴西,BRA,社交,18-24,0.405
巴西,BRA,社交,25-34,0.369
巴西,BRA,社交,35-44,0.147
巴西,BRA,社交,45-54,0.06
巴西,BRA,社交,55+,0.019
加拿大,CAN,真金游戏,18-24,0.136
加拿大,CAN,真金游戏,25-34,0.385
加拿大,CAN,真金游戏,35-44,0.211
加拿大,CAN,真金游戏,45-54,0.185
加拿大,CAN,真金游戏,55+,0.083
加拿大,CAN,电子商务,18-24,0.099
加拿大,CAN,电子商务,25-34,0.302
加拿大,CAN,电子商务,35-44,0.286
加拿大,CAN,电子商务,45-54,0.21
加拿大,CAN,电子商务,55+,0.103
加拿大,CAN,按需服务,18-24,0.192
加拿大,CAN,按需服务,25-34,0.323
加拿大,CAN,按需服务,35-44,0.241
加拿大,CAN,按需服务,45-54,0.138
加拿大,CAN,按需服务,55+,0.106
加拿大,CAN,旅游,18-24,0.063
加拿大,CAN,旅游,25-34,0.34
加拿大,CAN,旅游,35-44,0.31
加拿大,CAN,旅游,45-54,0.168
加拿大,CAN,旅游,55+,0.118
加拿大,CAN,金融,18-24,0.147
加拿大,CAN,金融,25-34,0.425
加拿大,CAN,金融,35-44,0.296
加拿大,CAN,金融,45-54,0.054
加拿大,CAN,金融,55+,0.078
加拿大,CAN,娱乐,18-24,0.278
加拿大,CAN,娱乐,25-34,0.282
加拿大,CAN,娱乐,35-44,0.185
加拿大,CAN,娱乐,45-54,0.228
加拿大,CAN,娱乐,55+,0.027
加拿大,CAN,社交,18-24,0.355
加拿大,CAN,社交,25-34,0.285
加拿大,CAN,社交,35-44,0.158
加拿大,CAN,社交,45-54,0.086
加拿大,CAN,社交,55+,0.117
德国,DEU,真金游戏,18-24,0.143
德国,DEU,真金游戏,25-34,0.301
