Country,Country code,Genre,Demographics (Age),%
Australia,AUS,RMG,18-24,0.19
Australia,AUS,RMG,25-34,0.38
Australia,AUS,RMG,35-44,0.209
Australia,AUS,RMG,45-54,0.149
Australia,AUS,RMG,55+,0.072
Australia,AUS,E-Commerce,18-24,0.126
Australia,AUS,E-Commerce,25-34,0.304
Australia,AUS,E-Commerce,35-44,0.415
Australia,AUS,E-Commerce,45-54,0.131
Australia,AUS,E-Commerce,55+,0.024
Australia,AUS,On Demand,18-24,0.274
Australia,AUS,On Demand,25-34,0.411
Australia,AUS,On Demand,35-44,0.221
Australia,AUS,On Demand,45-54,0.083
Australia,AUS,On Demand,55+,0.011
Australia,AUS,Travel,18-24,0.194
Australia,AUS,Travel,25-34,0.386
Australia,AUS,Travel,35-44,0.209
Australia,AUS,Travel,45-54,0.168
Australia,AUS,Travel,55+,0.043
Australia,AUS,Finance,18-24,0.094
Australia,AUS,Finance,25-34,0.588
Australia,AUS,Finance,35-44,0.173
Australia,AUS,Finance,45-54,0.144
Australia,AUS,Finance,55+,0
Australia,AUS,Entertainment,18-24,0.313
Australia,AUS,Entertainment,25-34,0.323
Australia,AUS,Entertainment,35-44,0.224
Australia,AUS,Entertainment,45-54,0.113
Australia,AUS,Entertainment,55+,0.027
Australia,AUS,Social,18-24,0.467
Australia,AUS,Social,25-34,0.306
Australia,AUS,Social,35-44,0.141
Australia,AUS,Social,45-54,0.077
Australia,AUS,Social,55+,0.009
Brazil,BRA,RMG,18-24,0.125
Brazil,BRA,RMG,25-34,0.42
Brazil,BRA,RMG,35-44,0.316
Brazil,BRA,RMG,45-54,0.115
Brazil,BRA,RMG,55+,0.024
Brazil,BRA,E-Commerce,18-24,0.155
Brazil,BRA,E-Commerce,25-34,0.43
Brazil,BRA,E-Commerce,35-44,0.292
Brazil,BRA,E-Commerce,45-54,0.102
Brazil,BRA,E-Commerce,55+,0.021
Brazil,BRA,On Demand,18-24,0.322
Brazil,BRA,On Demand,25-34,0.386
Brazil,BRA,On Demand,35-44,0.208
Brazil,BRA,On Demand,45-54,0.073
Brazil,BRA,On Demand,55+,0.012
Brazil,BRA,Travel,18-24,0.076
Brazil,BRA,Travel,25-34,0.359
Brazil,BRA,Travel,35-44,0.384
Brazil,BRA,Travel,45-54,0.151
Brazil,BRA,Travel,55+,0.03
Brazil,BRA,Finance,18-24,0.185
Brazil,BRA,Finance,25-34,0.423
Brazil,BRA,Finance,35-44,0.261
