Country,Country code,Genre,Top subcat for time spent,%
オーストラリア,AUS,RMG,スポーツ,1925
オーストラリア,AUS,Eコマース,ショッピング,2041
オーストラリア,AUS,オンデマンド,カジノゲーム,949
オーストラリア,AUS,旅行,旅行,448
オーストラリア,AUS,ファイナンス,旅行,166
オーストラリア,AUS,エンターテインメント,音楽,797
オーストラリア,AUS,ソーシャル,ニュース,444
ブラジル,BRA,RMG,スポーツ,1754
ブラジル,BRA,Eコマース,ショッピング,1524
ブラジル,BRA,オンデマンド,カジノゲーム,477
ブラジル,BRA,旅行,カジノゲーム,3253
ブラジル,BRA,ファイナンス,ファイナンス,463
ブラジル,BRA,エンターテインメント,音楽,615
ブラジル,BRA,ソーシャル,ニュース,459
カナダ,CAN,RMG,スポーツ,2621
カナダ,CAN,Eコマース,ショッピング,1887
カナダ,CAN,オンデマンド,食品・飲料,653
カナダ,CAN,旅行,旅行,636
カナダ,CAN,ファイナンス,旅行,126
カナダ,CAN,エンターテインメント,音楽,1021
カナダ,CAN,ソーシャル,ニュース,283
ドイツ,DEU,RMG,スポーツ,815
ドイツ,DEU,Eコマース,ショッピング,1641
ドイツ,DEU,オンデマンド,カジノゲーム,479
ドイツ,DEU,旅行,旅行,307
ドイツ,DEU,ファイナンス,ファイナンス,391
ドイツ,DEU,エンターテインメント,音楽,942
ドイツ,DEU,ソーシャル,グラフィック・デザイン,382
フランス,FRA,RMG,カジノゲーム,4055
フランス,FRA,Eコマース,ショッピング,1896
フランス,FRA,オンデマンド,食品・飲料,628
フランス,FRA,旅行,旅行,331
フランス,FRA,ファイナンス,ファイナンス,627
フランス,FRA,エンターテインメント,音楽,599
フランス,FRA,ソーシャル,ニュース,509
イギリス,GBR,RMG,カジノゲーム,3994
イギリス,GBR,Eコマース,ショッピング,1631
イギリス,GBR,オンデマンド,食品・飲料,617
イギリス,GBR,旅行,旅行,463
イギリス,GBR,ファイナンス,ファイナンス,499
イギリス,GBR,エンターテインメント,音楽,869
イギリス,GBR,ソーシャル,ニュース,310
インドネシア,IDN,RMG,スポーツ,1219
インドネシア,IDN,Eコマース,ショッピング,1570
インドネシア,IDN,オンデマンド,食品・飲料,1422
インドネシア,IDN,旅行,旅行,350
インドネシア,IDN,ファイナンス,天気,403
インドネシア,IDN,エンターテインメント,天気,1000
インドネシア,IDN,ソーシャル,ニュース,318
インド,IND,RMG,スポーツ,500
インド,IND,Eコマース,ショッピング,1364
インド,IND,オンデマンド,食品・飲料,587
インド,IND,旅行,旅行,395
インド,IND,ファイナンス,健康・フィットネス,352
インド,IND,エンターテインメント,音楽,707
インド,IND,ソーシャル,ニュース,320
日本,JPN,RMG,スポーツ,826
日本,JPN,Eコマース,ショッピング,1845
日本,JPN,オンデマンド,食品・飲料,690
日本,JPN,旅行,旅行,1203
日本,JPN,ファイナンス,ファイナンス,486
日本,JPN,エンターテインメント,音楽,874
日本,JPN,ソーシャル,ニュース,317
韓国,KOR,RMG,天気,1126
韓国,KOR,Eコマース,ショッピング,1627
韓国,KOR,オンデマンド,食品・飲料,447
韓国,KOR,旅行,旅行,417
韓国,KOR,ファイナンス,ファイナンス,1496
韓国,KOR,エンターテインメント,音楽,1858
韓国,KOR,ソーシャル,ニュース,524
メキシコ,MEX,RMG,カジノゲーム,8662
メキシコ,MEX,Eコマース,ショッピング,1781
メキシコ,MEX,オンデマンド,食品・飲料,846
メキシコ,MEX,旅行,旅行,1410
メキシコ,MEX,ファイナンス,ファイナンス,612
メキシコ,MEX,エンターテインメント,音楽,460
メキシコ,MEX,ソーシャル,ニュース,597
アメリカ合衆国,USA,RMG,スポーツ,2232
アメリカ合衆国,USA,Eコマース,ショッピング,1639
アメリカ合衆国,USA,オンデマンド,食品・飲料,740
アメリカ合衆国,USA,旅行,旅行,855
アメリカ合衆国,USA,ファイナンス,カジノゲーム,498
アメリカ合衆国,USA,エンターテインメント,音楽,641
アメリカ合衆国,USA,ソーシャル,ニュース,299
ベトナム,VNM,RMG,スポーツ,847
ベトナム,VNM,Eコマース,ショッピング,2085
ベトナム,VNM,オンデマンド,食品・飲料,940
ベトナム,VNM,旅行,旅行,1105
ベトナム,VNM,ファイナンス,旅行,726
ベトナム,VNM,エンターテインメント,音楽,1190
ベトナム,VNM,ソーシャル,天気,350
オーストラリア,AUS,RMG,カジノゲーム,625
オーストラリア,AUS,Eコマース,カジノゲーム,760
オーストラリア,AUS,オンデマンド,食品・飲料,790
オーストラリア,AUS,旅行,医療,156
オーストラリア,AUS,ファイナンス,ニュース,144
オーストラリア,AUS,エンターテインメント,ライフスタイル,112
オーストラリア,AUS,ソーシャル,ソーシャルメディア,243
ブラジル,BRA,RMG,カジノゲーム,1182
ブラジル,BRA,Eコマース,カジノゲーム,555
