Country,Country code,Genre,Top subcat for time spent,%
호주,AUS,RMG,스포츠,1925
호주,AUS,이커머스,쇼핑,2041
호주,AUS,주문형,카지노 게임,949
호주,AUS,여행,여행,448
호주,AUS,금융,여행,166
호주,AUS,엔터테인먼트,음악,797
호주,AUS,소셜,뉴스,444
브라질,BRA,RMG,스포츠,1754
브라질,BRA,이커머스,쇼핑,1524
브라질,BRA,주문형,카지노 게임,477
브라질,BRA,여행,카지노 게임,3253
브라질,BRA,금융,금융,463
브라질,BRA,엔터테인먼트,음악,615
브라질,BRA,소셜,뉴스,459
캐나다,CAN,RMG,스포츠,2621
캐나다,CAN,이커머스,쇼핑,1887
캐나다,CAN,주문형,음식 및 음료,653
캐나다,CAN,여행,여행,636
캐나다,CAN,금융,여행,126
캐나다,CAN,엔터테인먼트,음악,1021
캐나다,CAN,소셜,뉴스,283
독일,DEU,RMG,스포츠,815
독일,DEU,이커머스,쇼핑,1641
독일,DEU,주문형,카지노 게임,479
독일,DEU,여행,여행,307
독일,DEU,금융,금융,391
독일,DEU,엔터테인먼트,음악,942
독일,DEU,소셜,그래픽 및 디자인,382
프랑스,FRA,RMG,카지노 게임,4055
프랑스,FRA,이커머스,쇼핑,1896
프랑스,FRA,주문형,음식 및 음료,628
프랑스,FRA,여행,여행,331
프랑스,FRA,금융,금융,627
프랑스,FRA,엔터테인먼트,음악,599
프랑스,FRA,소셜,뉴스,509
영국,GBR,RMG,카지노 게임,3994
영국,GBR,이커머스,쇼핑,1631
영국,GBR,주문형,음식 및 음료,617
영국,GBR,여행,여행,463
영국,GBR,금융,금융,499
영국,GBR,엔터테인먼트,음악,869
영국,GBR,소셜,뉴스,310
인도네시아,IDN,RMG,스포츠,1219
인도네시아,IDN,이커머스,쇼핑,1570
인도네시아,IDN,주문형,음식 및 음료,1422
인도네시아,IDN,여행,여행,350
인도네시아,IDN,금융,날씨,403
인도네시아,IDN,엔터테인먼트,날씨,1000
인도네시아,IDN,소셜,뉴스,318
인도,IND,RMG,스포츠,500
인도,IND,이커머스,쇼핑,1364
인도,IND,주문형,음식 및 음료,587
인도,IND,여행,여행,395
인도,IND,금융,건강 및 피트니스,352
인도,IND,엔터테인먼트,음악,707
인도,IND,소셜,뉴스,320
일본,JPN,RMG,스포츠,826
일본,JPN,이커머스,쇼핑,1845
일본,JPN,주문형,음식 및 음료,690
일본,JPN,여행,여행,1203
일본,JPN,금융,금융,486
일본,JPN,엔터테인먼트,음악,874
일본,JPN,소셜,뉴스,317
대한민국,KOR,RMG,날씨,1126
대한민국,KOR,이커머스,쇼핑,1627
대한민국,KOR,주문형,음식 및 음료,447
대한민국,KOR,여행,여행,417
대한민국,KOR,금융,금융,1496
대한민국,KOR,엔터테인먼트,음악,1858
대한민국,KOR,소셜,뉴스,524
멕시코,MEX,RMG,카지노 게임,8662
멕시코,MEX,이커머스,쇼핑,1781
멕시코,MEX,주문형,음식 및 음료,846
멕시코,MEX,여행,여행,1410
멕시코,MEX,금융,금융,612
멕시코,MEX,엔터테인먼트,음악,460
멕시코,MEX,소셜,뉴스,597
미국,USA,RMG,스포츠,2232
미국,USA,이커머스,쇼핑,1639
미국,USA,주문형,음식 및 음료,740
미국,USA,여행,여행,855
미국,USA,금융,카지노 게임,498
미국,USA,엔터테인먼트,음악,641
미국,USA,소셜,뉴스,299
베트남,VNM,RMG,스포츠,847
베트남,VNM,이커머스,쇼핑,2085
베트남,VNM,주문형,음식 및 음료,940
베트남,VNM,여행,여행,1105
베트남,VNM,금융,여행,726
베트남,VNM,엔터테인먼트,음악,1190
베트남,VNM,소셜,날씨,350
호주,AUS,RMG,카지노 게임,625
호주,AUS,이커머스,카지노 게임,760
호주,AUS,주문형,음식 및 음료,790
호주,AUS,여행,의료,156
호주,AUS,금융,뉴스,144
호주,AUS,엔터테인먼트,라이프스타일,112
호주,AUS,소셜,소셜 미디어,243
브라질,BRA,RMG,카지노 게임,1182
브라질,BRA,이커머스,카지노 게임,555
브라질,BRA,주문형,음식 및 음료,405
브라질,BRA,여행,여행,1393
브라질,BRA,금융,카지노 게임,340
브라질,BRA,엔터테인먼트,뉴스,105
브라질,BRA,소셜,소셜 미디어,211
캐나다,CAN,RMG,카지노 게임,1600
캐나다,CAN,이커머스,음식 및 음료,301
캐나다,CAN,주문형,카지노 게임,391
캐나다,CAN,여행,카지노 게임,259
캐나다,CAN,금융,도서,58
캐나다,CAN,엔터테인먼트,의료,129
캐나다,CAN,소셜,소셜 미디어,244
독일,DEU,RMG,게임/카지노,691
독일,DEU,이커머스,음식 및 음료,294
독일,DEU,주문형,음식 및 음료,323
독일,DEU,여행,금융,124
독일,DEU,금융,날씨,202
독일,DEU,엔터테인먼트,그래픽 및 디자인,239
독일,DEU,소셜,뉴스,375
프랑스,FRA,RMG,스포츠,2355
프랑스,FRA,이커머스,음식 및 음료,292
프랑스,FRA,주문형,카지노 게임,501
프랑스,FRA,여행,음식 및 음료,179
프랑스,FRA,금융,카지노 게임,491
프랑스,FRA,엔터테인먼트,라이프스타일,112
프랑스,FRA,소셜,소셜 미디어,359
영국,GBR,RMG,스포츠,1659
영국,GBR,이커머스,음식 및 음료,304
영국,GBR,주문형,쇼핑,155
영국,GBR,여행,의료,198
영국,GBR,금융,카지노 게임,379
영국,GBR,엔터테인먼트,교육,155
영국,GBR,소셜,소셜 미디어,277
인도네시아,IDN,RMG,카지노 게임,433
인도네시아,IDN,이커머스,의료,204
인도네시아,IDN,주문형,여행,306
인도네시아,IDN,여행,날씨,227
인도네시아,IDN,금융,여행,359
인도네시아,IDN,엔터테인먼트,음악,780
인도네시아,IDN,소셜,스포츠,218
인도,IND,RMG,엔터테인먼트,196
인도,IND,이커머스,음식 및 음료,273
인도,IND,주문형,쇼핑,107
인도,IND,여행,음식 및 음료,202
인도,IND,금융,날씨,226
인도,IND,엔터테인먼트,라이프스타일,161
인도,IND,소셜,소셜 미디어,228
일본,JPN,RMG,카지노 게임,653
일본,JPN,이커머스,라이프스타일,1303
일본,JPN,주문형,금융,196
일본,JPN,여행,금융,289
일본,JPN,금융,여행,403
일본,JPN,엔터테인먼트,교육,117
일본,JPN,소셜,엔터테인먼트,231
대한민국,KOR,RMG,스포츠,414
대한민국,KOR,이커머스,라이프스타일,628
대한민국,KOR,주문형,금융,225
대한민국,KOR,여행,스포츠,321
대한민국,KOR,금융,건강 및 피트니스,605
대한민국,KOR,엔터테인먼트,의료,138
대한민국,KOR,소셜,엔터테인먼트,301
멕시코,MEX,RMG,스포츠,3537
멕시코,MEX,이커머스,의료,423
멕시코,MEX,주문형,의료,248
멕시코,MEX,여행,날씨,286
멕시코,MEX,금융,카지노 게임,551
멕시코,MEX,엔터테인먼트,카지노 게임,151
멕시코,MEX,소셜,소셜 미디어,192
미국,USA,RMG,카지노 게임,1980
미국,USA,이커머스,카지노 게임,787
미국,USA,주문형,카지노 게임,332
미국,USA,여행,카지노 게임,321
미국,USA,금융,금융,386
미국,USA,엔터테인먼트,날씨,206
미국,USA,소셜,그래픽 및 디자인,279
베트남,VNM,RMG,카지노 게임,470
베트남,VNM,이커머스,음식 및 음료,258
베트남,VNM,주문형,스포츠,911
베트남,VNM,여행,스포츠,355
베트남,VNM,금융,건강 및 피트니스,530
베트남,VNM,엔터테인먼트,의료,153
베트남,VNM,소셜,소셜 미디어,189
호주,AUS,RMG,금융,143
호주,AUS,이커머스,의료,448
호주,AUS,주문형,캐주얼 게임,365
호주,AUS,여행,날씨,70
호주,AUS,금융,도서,67
호주,AUS,엔터테인먼트,그래픽 및 디자인,92
호주,AUS,소셜,캐주얼 게임,202
브라질,BRA,RMG,날씨,1085
브라질,BRA,이커머스,음식 및 음료,186
브라질,BRA,주문형,의료,109
브라질,BRA,여행,음식 및 음료,119
브라질,BRA,금융,스포츠,213
브라질,BRA,엔터테인먼트,라이프스타일,105
브라질,BRA,소셜,유틸리티,135
캐나다,CAN,RMG,금융,213
캐나다,CAN,이커머스,라이프스타일,170
캐나다,CAN,주문형,의료,202
캐나다,CAN,여행,의료,136
캐나다,CAN,금융,금융,55
캐나다,CAN,엔터테인먼트,라이프스타일,126
캐나다,CAN,소셜,유틸리티,192
독일,DEU,RMG,게임/스포츠,558
독일,DEU,이커머스,라이프스타일,197
독일,DEU,주문형,쇼핑,152
독일,DEU,여행,음식 및 음료,105
독일,DEU,금융,뉴스,186
독일,DEU,엔터테인먼트,도서,109
독일,DEU,소셜,소셜 미디어,372
프랑스,FRA,RMG,뉴스,296
프랑스,FRA,이커머스,라이프스타일,255
프랑스,FRA,주문형,스포츠,312
프랑스,FRA,여행,비즈니스,167
프랑스,FRA,금융,스포츠,252
프랑스,FRA,엔터테인먼트,도서,107
프랑스,FRA,소셜,유틸리티,263
영국,GBR,RMG,금융,303
영국,GBR,이커머스,라이프스타일,235
영국,GBR,주문형,캐주얼 게임,134
영국,GBR,여행,스포츠,112
영국,GBR,금융,의료,349
영국,GBR,엔터테인먼트,엔터테인먼트,130
영국,GBR,소셜,유틸리티,262
인도네시아,IDN,RMG,금융,231
인도네시아,IDN,이커머스,날씨,183
인도네시아,IDN,주문형,건강 및 피트니스,183
인도네시아,IDN,여행,스포츠,195
인도네시아,IDN,금융,스포츠,308
