Country,Country code,Genre,Top subcat for time spent,%
澳大利亚,AUS,真金游戏,体育,1925
澳大利亚,AUS,电子商务,购物,2041
澳大利亚,AUS,按需服务,赌场游戏,949
澳大利亚,AUS,旅游,旅游,448
澳大利亚,AUS,金融,旅游,166
澳大利亚,AUS,娱乐,音乐,797
澳大利亚,AUS,社交,新闻,444
巴西,BRA,真金游戏,体育,1754
巴西,BRA,电子商务,购物,1524
巴西,BRA,按需服务,赌场游戏,477
巴西,BRA,旅游,赌场游戏,3253
巴西,BRA,金融,金融,463
巴西,BRA,娱乐,音乐,615
巴西,BRA,社交,新闻,459
加拿大,CAN,真金游戏,体育,2621
加拿大,CAN,电子商务,购物,1887
加拿大,CAN,按需服务,美食佳饮,653
加拿大,CAN,旅游,旅游,636
加拿大,CAN,金融,旅游,126
加拿大,CAN,娱乐,音乐,1021
加拿大,CAN,社交,新闻,283
德国,DEU,真金游戏,体育,815
德国,DEU,电子商务,购物,1641
德国,DEU,按需服务,赌场游戏,479
德国,DEU,旅游,旅游,307
德国,DEU,金融,金融,391
德国,DEU,娱乐,音乐,942
德国,DEU,社交,图形和设计,382
法国,FRA,真金游戏,赌场游戏,4055
法国,FRA,电子商务,购物,1896
法国,FRA,按需服务,美食佳饮,628
法国,FRA,旅游,旅游,331
法国,FRA,金融,金融,627
法国,FRA,娱乐,音乐,599
法国,FRA,社交,新闻,509
英国,GBR,真金游戏,赌场游戏,3994
英国,GBR,电子商务,购物,1631
英国,GBR,按需服务,美食佳饮,617
英国,GBR,旅游,旅游,463
英国,GBR,金融,金融,499
英国,GBR,娱乐,音乐,869
英国,GBR,社交,新闻,310
印度尼西亚,IDN,真金游戏,体育,1219
印度尼西亚,IDN,电子商务,购物,1570
印度尼西亚,IDN,按需服务,美食佳饮,1422
印度尼西亚,IDN,旅游,旅游,350
印度尼西亚,IDN,金融,天气,403
印度尼西亚,IDN,娱乐,天气,1000
印度尼西亚,IDN,社交,新闻,318
印度,IND,真金游戏,体育,500
印度,IND,电子商务,购物,1364
印度,IND,按需服务,美食佳饮,587
印度,IND,旅游,旅游,395
印度,IND,金融,健康与健身,352
印度,IND,娱乐,音乐,707
印度,IND,社交,新闻,320
日本,JPN,真金游戏,体育,826
日本,JPN,电子商务,购物,1845
日本,JPN,按需服务,美食佳饮,690
日本,JPN,旅游,旅游,1203
日本,JPN,金融,金融,486
日本,JPN,娱乐,音乐,874
日本,JPN,社交,新闻,317
韩国,KOR,真金游戏,天气,1126
韩国,KOR,电子商务,购物,1627
韩国,KOR,按需服务,美食佳饮,447
韩国,KOR,旅游,旅游,417
韩国,KOR,金融,金融,1496
韩国,KOR,娱乐,音乐,1858
韩国,KOR,社交,新闻,524
墨西哥,MEX,真金游戏,赌场游戏,8662
墨西哥,MEX,电子商务,购物,1781
墨西哥,MEX,按需服务,美食佳饮,846
墨西哥,MEX,旅游,旅游,1410
墨西哥,MEX,金融,金融,612
墨西哥,MEX,娱乐,音乐,460
墨西哥,MEX,社交,新闻,597
美国,USA,真金游戏,体育,2232
美国,USA,电子商务,购物,1639
美国,USA,按需服务,美食佳饮,740
美国,USA,旅游,旅游,855
美国,USA,金融,赌场游戏,498
美国,USA,娱乐,音乐,641
美国,USA,社交,新闻,299
越南,VNM,真金游戏,体育,847
越南,VNM,电子商务,购物,2085
越南,VNM,按需服务,美食佳饮,940
越南,VNM,旅游,旅游,1105
越南,VNM,金融,旅游,726
越南,VNM,娱乐,音乐,1190
越南,VNM,社交,天气,350
澳大利亚,AUS,真金游戏,赌场游戏,625
澳大利亚,AUS,电子商务,赌场游戏,760
澳大利亚,AUS,按需服务,美食佳饮,790
澳大利亚,AUS,旅游,医疗,156
澳大利亚,AUS,金融,新闻,144
澳大利亚,AUS,娱乐,生活方式,112
澳大利亚,AUS,社交,社交媒体,243
巴西,BRA,真金游戏,赌场游戏,1182
巴西,BRA,电子商务,赌场游戏,555
巴西,BRA,按需服务,美食佳饮,405
巴西,BRA,旅游,旅游,1393
巴西,BRA,金融,赌场游戏,340
巴西,BRA,娱乐,新闻,105
巴西,BRA,社交,社交媒体,211
加拿大,CAN,真金游戏,赌场游戏,1600
加拿大,CAN,电子商务,美食佳饮,301
加拿大,CAN,按需服务,赌场游戏,391
加拿大,CAN,旅游,赌场游戏,259
加拿大,CAN,金融,图书,58
加拿大,CAN,娱乐,医疗,129
加拿大,CAN,社交,社交媒体,244
德国,DEU,真金游戏,游戏/赌场,691
德国,DEU,电子商务,美食佳饮,294
德国,DEU,按需服务,美食佳饮,323
德国,DEU,旅游,金融,124
德国,DEU,金融,天气,202
德国,DEU,娱乐,图形和设计,239
德国,DEU,社交,新闻,375
法国,FRA,真金游戏,体育,2355
法国,FRA,电子商务,美食佳饮,292
法国,FRA,按需服务,赌场游戏,501
法国,FRA,旅游,美食佳饮,179
法国,FRA,金融,赌场游戏,491
法国,FRA,娱乐,生活方式,112
法国,FRA,社交,社交媒体,359
英国,GBR,真金游戏,体育,1659
英国,GBR,电子商务,美食佳饮,304
英国,GBR,按需服务,购物,155
英国,GBR,旅游,医疗,198
英国,GBR,金融,赌场游戏,379
英国,GBR,娱乐,教育,155
英国,GBR,社交,社交媒体,277
印度尼西亚,IDN,真金游戏,赌场游戏,433
印度尼西亚,IDN,电子商务,医疗,204
印度尼西亚,IDN,按需服务,旅游,306
印度尼西亚,IDN,旅游,天气,227
印度尼西亚,IDN,金融,旅游,359
印度尼西亚,IDN,娱乐,音乐,780
印度尼西亚,IDN,社交,体育,218
印度,IND,真金游戏,娱乐,196
印度,IND,电子商务,美食佳饮,273
印度,IND,按需服务,购物,107
印度,IND,旅游,美食佳饮,202
印度,IND,金融,天气,226
印度,IND,娱乐,生活方式,161
印度,IND,社交,社交媒体,228
日本,JPN,真金游戏,赌场游戏,653
日本,JPN,电子商务,生活方式,1303
日本,JPN,按需服务,金融,196
日本,JPN,旅游,金融,289
日本,JPN,金融,旅游,403
日本,JPN,娱乐,教育,117
日本,JPN,社交,娱乐,231
韩国,KOR,真金游戏,体育,414
韩国,KOR,电子商务,生活方式,628
韩国,KOR,按需服务,金融,225
韩国,KOR,旅游,体育,321
韩国,KOR,金融,健康与健身,605
韩国,KOR,娱乐,医疗,138
韩国,KOR,社交,娱乐,301
墨西哥,MEX,真金游戏,体育,3537
墨西哥,MEX,电子商务,医疗,423
墨西哥,MEX,按需服务,医疗,248
墨西哥,MEX,旅游,天气,286
墨西哥,MEX,金融,赌场游戏,551
墨西哥,MEX,娱乐,赌场游戏,151
墨西哥,MEX,社交,社交媒体,192
美国,USA,真金游戏,赌场游戏,1980
美国,USA,电子商务,赌场游戏,787
美国,USA,按需服务,赌场游戏,332
美国,USA,旅游,赌场游戏,321
美国,USA,金融,金融,386
美国,USA,娱乐,天气,206
美国,USA,社交,图形和设计,279
越南,VNM,真金游戏,赌场游戏,470
越南,VNM,电子商务,美食佳饮,258
越南,VNM,按需服务,体育,911
越南,VNM,旅游,体育,355
越南,VNM,金融,健康与健身,530
越南,VNM,娱乐,医疗,153
越南,VNM,社交,社交媒体,189
澳大利亚,AUS,真金游戏,金融,143
澳大利亚,AUS,电子商务,医疗,448
澳大利亚,AUS,按需服务,休闲游戏,365
澳大利亚,AUS,旅游,天气,70
澳大利亚,AUS,金融,图书,67
澳大利亚,AUS,娱乐,图形和设计,92
澳大利亚,AUS,社交,休闲游戏,202
巴西,BRA,真金游戏,天气,1085
巴西,BRA,电子商务,美食佳饮,186
巴西,BRA,按需服务,医疗,109
巴西,BRA,旅游,美食佳饮,119
巴西,BRA,金融,体育,213
巴西,BRA,娱乐,生活方式,105
巴西,BRA,社交,实用工具,135
加拿大,CAN,真金游戏,金融,213
加拿大,CAN,电子商务,生活方式,170
加拿大,CAN,按需服务,医疗,202
加拿大,CAN,旅游,医疗,136
加拿大,CAN,金融,金融,55
加拿大,CAN,娱乐,生活方式,126
加拿大,CAN,社交,实用工具,192
德国,DEU,真金游戏,游戏/体育,558
德国,DEU,电子商务,生活方式,197
德国,DEU,按需服务,购物,152
德国,DEU,旅游,美食佳饮,105
德国,DEU,金融,新闻,186
德国,DEU,娱乐,图书,109
德国,DEU,社交,社交媒体,372
法国,FRA,真金游戏,新闻,296
法国,FRA,电子商务,生活方式,255
法国,FRA,按需服务,体育,312
法国,FRA,旅游,商业,167
法国,FRA,金融,体育,252
法国,FRA,娱乐,图书,107
法国,FRA,社交,实用工具,263
英国,GBR,真金游戏,金融,303
英国,GBR,电子商务,生活方式,235
英国,GBR,按需服务,休闲游戏,134
英国,GBR,旅游,体育,112
英国,GBR,金融,医疗,349
英国,GBR,娱乐,娱乐,130
英国,GBR,社交,实用工具,262
印度尼西亚,IDN,真金游戏,金融,231
印度尼西亚,IDN,电子商务,天气,183
印度尼西亚,IDN,按需服务,健康与健身,183
