Country,Country code,Genre,Top subcat for time spent,%
Australia,AUS,RMG,Sports,1925
Australia,AUS,E-Commerce,Shopping,2041
Australia,AUS,On Demand,Casino Games,949
Australia,AUS,Travel,Travel,448
Australia,AUS,Finance,Travel,166
Australia,AUS,Entertainment,Music,797
Australia,AUS,Social,News,444
Brazil,BRA,RMG,Sports,1754
Brazil,BRA,E-Commerce,Shopping,1524
Brazil,BRA,On Demand,Casino Games,477
Brazil,BRA,Travel,Casino Games,3253
Brazil,BRA,Finance,Finance,463
Brazil,BRA,Entertainment,Music,615
Brazil,BRA,Social,News,459
Canada,CAN,RMG,Sports,2621
Canada,CAN,E-Commerce,Shopping,1887
Canada,CAN,On Demand,Food & Drink,653
Canada,CAN,Travel,Travel,636
Canada,CAN,Finance,Travel,126
Canada,CAN,Entertainment,Music,1021
Canada,CAN,Social,News,283
Germany,DEU,RMG,Sports,815
Germany,DEU,E-Commerce,Shopping,1641
Germany,DEU,On Demand,Casino Games,479
Germany,DEU,Travel,Travel,307
Germany,DEU,Finance,Finance,391
Germany,DEU,Entertainment,Music,942
Germany,DEU,Social,Graphics & Design,382
France,FRA,RMG,Casino Games,4055
France,FRA,E-Commerce,Shopping,1896
France,FRA,On Demand,Food & Drink,628
France,FRA,Travel,Travel,331
France,FRA,Finance,Finance,627
France,FRA,Entertainment,Music,599
France,FRA,Social,News,509
U.K.,GBR,RMG,Casino Games,3994
U.K.,GBR,E-Commerce,Shopping,1631
U.K.,GBR,On Demand,Food & Drink,617
U.K.,GBR,Travel,Travel,463
U.K.,GBR,Finance,Finance,499
U.K.,GBR,Entertainment,Music,869
U.K.,GBR,Social,News,310
Indonesia,IDN,RMG,Sports,1219
Indonesia,IDN,E-Commerce,Shopping,1570
Indonesia,IDN,On Demand,Food & Drink,1422
Indonesia,IDN,Travel,Travel,350
Indonesia,IDN,Finance,Weather,403
Indonesia,IDN,Entertainment,Weather,1000
Indonesia,IDN,Social,News,318
India,IND,RMG,Sports,500
India,IND,E-Commerce,Shopping,1364
India,IND,On Demand,Food & Drink,587
India,IND,Travel,Travel,395
India,IND,Finance,Health & Fitness,352
India,IND,Entertainment,Music,707
India,IND,Social,News,320
Japan,JPN,RMG,Sports,826
Japan,JPN,E-Commerce,Shopping,1845
Japan,JPN,On Demand,Food & Drink,690
Japan,JPN,Travel,Travel,1203
Japan,JPN,Finance,Finance,486
Japan,JPN,Entertainment,Music,874
