Country,Country code,Genre,Growth,Position,Top Growing App
オーストラリア,AUS,RMG,,1,ESPN
オーストラリア,AUS,Eコマース,,1,OfferUp
オーストラリア,AUS,オンデマンド,,1,Zynga Poker
オーストラリア,AUS,旅行,,1,Citymapper
オーストラリア,AUS,ファイナンス,,1,Citymapper
オーストラリア,AUS,エンターテインメント,,1,Musi
オーストラリア,AUS,ソーシャル,,1,BBC
ブラジル,BRA,RMG,,1,ESPN
ブラジル,BRA,Eコマース,,1,OfferUp
ブラジル,BRA,オンデマンド,,1,Zynga Poker
ブラジル,BRA,旅行,,1,Zynga Poker
ブラジル,BRA,ファイナンス,,1,Yahoo Finance
ブラジル,BRA,エンターテインメント,,1,Musi
ブラジル,BRA,ソーシャル,,1,BBC
カナダ,CAN,RMG,,1,ESPN
カナダ,CAN,Eコマース,,1,OfferUp
カナダ,CAN,オンデマンド,,1,Vivino
カナダ,CAN,旅行,,1,Citymapper
カナダ,CAN,ファイナンス,,1,Citymapper
カナダ,CAN,エンターテインメント,,1,Musi
カナダ,CAN,ソーシャル,,1,BBC
ドイツ,DEU,RMG,,1,ESPN
ドイツ,DEU,Eコマース,,1,OfferUp
ドイツ,DEU,オンデマンド,,1,Zynga Poker
ドイツ,DEU,旅行,,1,Citymapper
ドイツ,DEU,ファイナンス,,1,Yahoo Finance
ドイツ,DEU,エンターテインメント,,1,Musi
ドイツ,DEU,ソーシャル,,1,Vivino
フランス,FRA,RMG,,1,Zynga Poker
フランス,FRA,Eコマース,,1,OfferUp
フランス,FRA,オンデマンド,,1,Vivino
フランス,FRA,旅行,,1,Citymapper
フランス,FRA,ファイナンス,,1,Yahoo Finance
フランス,FRA,エンターテインメント,,1,Musi
フランス,FRA,ソーシャル,,1,BBC
イギリス,GBR,RMG,,1,Zynga Poker
イギリス,GBR,Eコマース,,1,OfferUp
イギリス,GBR,オンデマンド,,1,Vivino
イギリス,GBR,旅行,,1,Citymapper
イギリス,GBR,ファイナンス,,1,Yahoo Finance
イギリス,GBR,エンターテインメント,,1,Musi
イギリス,GBR,ソーシャル,,1,BBC
インドネシア,IDN,RMG,,1,ESPN
インドネシア,IDN,Eコマース,,1,OfferUp
インドネシア,IDN,オンデマンド,,1,Vivino
インドネシア,IDN,旅行,,1,Citymapper
インドネシア,IDN,ファイナンス,,1,The Weather Channel
インドネシア,IDN,エンターテインメント,,1,The Weather Channel
インドネシア,IDN,ソーシャル,,1,BBC
インド,IND,RMG,,1,ESPN
インド,IND,Eコマース,,1,OfferUp
インド,IND,オンデマンド,,1,Vivino
インド,IND,旅行,,1,Citymapper
インド,IND,ファイナンス,,1,MyFitnessPal
インド,IND,エンターテインメント,,1,Musi
インド,IND,ソーシャル,,1,BBC
日本,JPN,RMG,,1,ESPN
日本,JPN,Eコマース,,1,OfferUp
日本,JPN,オンデマンド,,1,Vivino
日本,JPN,旅行,,1,Citymapper
日本,JPN,ファイナンス,,1,Yahoo Finance
日本,JPN,エンターテインメント,,1,Musi
日本,JPN,ソーシャル,,1,BBC
韓国,KOR,RMG,,1,The Weather Channel
韓国,KOR,Eコマース,,1,OfferUp
韓国,KOR,オンデマンド,,1,Vivino
韓国,KOR,旅行,,1,Citymapper
韓国,KOR,ファイナンス,,1,Yahoo Finance
韓国,KOR,エンターテインメント,,1,Musi
韓国,KOR,ソーシャル,,1,BBC
メキシコ,MEX,RMG,,1,Zynga Poker
メキシコ,MEX,Eコマース,,1,OfferUp
メキシコ,MEX,オンデマンド,,1,Vivino
