Country,Country code,Category,hour_of_day,value
オーストラリア,AUS,アート・デザイン,0,
オーストラリア,AUS,自動車,0,
オーストラリア,AUS,書籍・参考書,0,0.04
オーストラリア,AUS,ビジネス,0,
オーストラリア,AUS,教育,0,-0.7261
オーストラリア,AUS,エンターテインメント,0,-0.7785
オーストラリア,AUS,家族・人間関係,0,
オーストラリア,AUS,ファイナンス,0,
オーストラリア,AUS,食品・飲料,0,
オーストラリア,AUS,生成AI,0,0.0147
オーストラリア,AUS,グラフィック・デザイン,0,
オーストラリア,AUS,健康・フィットネス,0,-1.2241
オーストラリア,AUS,ライフスタイル,0,
オーストラリア,AUS,医療,0,
オーストラリア,AUS,音楽,0,
オーストラリア,AUS,ニュース・雑誌,0,
オーストラリア,AUS,写真・動画,0,-0.2881
オーストラリア,AUS,生産性,0,
オーストラリア,AUS,不動産,0,
オーストラリア,AUS,RMG,0,
オーストラリア,AUS,ショッピング,0,-1.0294
オーストラリア,AUS,ソーシャル,0,
オーストラリア,AUS,ソーシャルメディア,0,-0.4073
オーストラリア,AUS,スポーツ,0,-0.8746
オーストラリア,AUS,ツール,0,
オーストラリア,AUS,旅行,0,-1.4249
オーストラリア,AUS,旅行 & ナビゲーション,0,
オーストラリア,AUS,ユーティリティ & 生産性,0,-1.4052
オーストラリア,AUS,天気,0,
オーストラリア,AUS,アート・デザイン,1,
オーストラリア,AUS,自動車,1,
オーストラリア,AUS,書籍・参考書,1,-0.8005
オーストラリア,AUS,ビジネス,1,
オーストラリア,AUS,教育,1,-1.1036
オーストラリア,AUS,エンターテインメント,1,-1.3722
オーストラリア,AUS,家族・人間関係,1,
オーストラリア,AUS,ファイナンス,1,
オーストラリア,AUS,食品・飲料,1,
オーストラリア,AUS,生成AI,1,-0.6271
オーストラリア,AUS,グラフィック・デザイン,1,
オーストラリア,AUS,健康・フィットネス,1,-1.4949
オーストラリア,AUS,ライフスタイル,1,
オーストラリア,AUS,医療,1,
オーストラリア,AUS,音楽,1,
オーストラリア,AUS,ニュース・雑誌,1,
オーストラリア,AUS,写真・動画,1,-0.7914
オーストラリア,AUS,生産性,1,
オーストラリア,AUS,不動産,1,
オーストラリア,AUS,RMG,1,
オーストラリア,AUS,ショッピング,1,-1.3474
オーストラリア,AUS,ソーシャル,1,
オーストラリア,AUS,ソーシャルメディア,1,-1.1038
オーストラリア,AUS,スポーツ,1,-1.251
オーストラリア,AUS,ツール,1,
オーストラリア,AUS,旅行,1,-1.6103
オーストラリア,AUS,旅行 & ナビゲーション,1,
オーストラリア,AUS,ユーティリティ & 生産性,1,-1.685
オーストラリア,AUS,天気,1,
オーストラリア,AUS,アート・デザイン,2,
オーストラリア,AUS,自動車,2,
オーストラリア,AUS,書籍・参考書,2,-1.4086
オーストラリア,AUS,ビジネス,2,
オーストラリア,AUS,教育,2,-1.2113
オーストラリア,AUS,エンターテインメント,2,-1.7662
オーストラリア,AUS,家族・人間関係,2,
オーストラリア,AUS,ファイナンス,2,
オーストラリア,AUS,食品・飲料,2,
オーストラリア,AUS,生成AI,2,-1.1174
オーストラリア,AUS,グラフィック・デザイン,2,
オーストラリア,AUS,健康・フィットネス,2,-1.6625
オーストラリア,AUS,ライフスタイル,2,
オーストラリア,AUS,医療,2,
オーストラリア,AUS,音楽,2,
オーストラリア,AUS,ニュース・雑誌,2,
オーストラリア,AUS,写真・動画,2,-1.1842
オーストラリア,AUS,生産性,2,
オーストラリア,AUS,不動産,2,
オーストラリア,AUS,RMG,2,
オーストラリア,AUS,ショッピング,2,-1.5015
オーストラリア,AUS,ソーシャル,2,
オーストラリア,AUS,ソーシャルメディア,2,-1.5725
オーストラリア,AUS,スポーツ,2,-1.5578
オーストラリア,AUS,ツール,2,
オーストラリア,AUS,旅行,2,-1.6647
オーストラリア,AUS,旅行 & ナビゲーション,2,
オーストラリア,AUS,ユーティリティ & 生産性,2,-1.8592
オーストラリア,AUS,天気,2,
オーストラリア,AUS,アート・デザイン,3,
オーストラリア,AUS,自動車,3,
オーストラリア,AUS,書籍・参考書,3,-1.7882
オーストラリア,AUS,ビジネス,3,
オーストラリア,AUS,教育,3,-1.2374
オーストラリア,AUS,エンターテインメント,3,-1.9922
オーストラリア,AUS,家族・人間関係,3,
オーストラリア,AUS,ファイナンス,3,
オーストラリア,AUS,食品・飲料,3,
オーストラリア,AUS,生成AI,3,-1.4599
オーストラリア,AUS,グラフィック・デザイン,3,
オーストラリア,AUS,健康・フィットネス,3,-1.6632
オーストラリア,AUS,ライフスタイル,3,
オーストラリア,AUS,医療,3,
オーストラリア,AUS,音楽,3,
オーストラリア,AUS,ニュース・雑誌,3,
オーストラリア,AUS,写真・動画,3,-1.4271
オーストラリア,AUS,生産性,3,
オーストラリア,AUS,不動産,3,
オーストラリア,AUS,RMG,3,
オーストラリア,AUS,ショッピング,3,-1.5807
オーストラリア,AUS,ソーシャル,3,
オーストラリア,AUS,ソーシャルメディア,3,-1.894
オーストラリア,AUS,スポーツ,3,-1.5403
オーストラリア,AUS,ツール,3,
オーストラリア,AUS,旅行,3,-1.6762
オーストラリア,AUS,旅行 & ナビゲーション,3,
オーストラリア,AUS,ユーティリティ & 生産性,3,-1.8779
オーストラリア,AUS,天気,3,
オーストラリア,AUS,アート・デザイン,4,
オーストラリア,AUS,自動車,4,
オーストラリア,AUS,書籍・参考書,4,-1.8824
オーストラリア,AUS,ビジネス,4,
オーストラリア,AUS,教育,4,-1.2265
オーストラリア,AUS,エンターテインメント,4,-1.9158
オーストラリア,AUS,家族・人間関係,4,
オーストラリア,AUS,ファイナンス,4,
オーストラリア,AUS,食品・飲料,4,
オーストラリア,AUS,生成AI,4,-1.595
オーストラリア,AUS,グラフィック・デザイン,4,
オーストラリア,AUS,健康・フィットネス,4,-1.5182
オーストラリア,AUS,ライフスタイル,4,
オーストラリア,AUS,医療,4,
オーストラリア,AUS,音楽,4,
オーストラリア,AUS,ニュース・雑誌,4,
オーストラリア,AUS,写真・動画,4,-1.5056
オーストラリア,AUS,生産性,4,
オーストラリア,AUS,不動産,4,
オーストラリア,AUS,RMG,4,
オーストラリア,AUS,ショッピング,4,-1.6348
オーストラリア,AUS,ソーシャル,4,
オーストラリア,AUS,ソーシャルメディア,4,-1.922
オーストラリア,AUS,スポーツ,4,-1.6729
オーストラリア,AUS,ツール,4,
オーストラリア,AUS,旅行,4,-1.5189
オーストラリア,AUS,旅行 & ナビゲーション,4,
オーストラリア,AUS,ユーティリティ & 生産性,4,-1.5245
オーストラリア,AUS,天気,4,
オーストラリア,AUS,アート・デザイン,5,
オーストラリア,AUS,自動車,5,
オーストラリア,AUS,書籍・参考書,5,-1.663
オーストラリア,AUS,ビジネス,5,
オーストラリア,AUS,教育,5,-1.0983
オーストラリア,AUS,エンターテインメント,5,-1.5179
オーストラリア,AUS,家族・人間関係,5,
オーストラリア,AUS,ファイナンス,5,
オーストラリア,AUS,食品・飲料,5,
オーストラリア,AUS,生成AI,5,-1.6106
オーストラリア,AUS,グラフィック・デザイン,5,
オーストラリア,AUS,健康・フィットネス,5,-1.0989
オーストラリア,AUS,ライフスタイル,5,
オーストラリア,AUS,医療,5,
オーストラリア,AUS,音楽,5,
オーストラリア,AUS,ニュース・雑誌,5,
オーストラリア,AUS,写真・動画,5,-1.5811
オーストラリア,AUS,生産性,5,
オーストラリア,AUS,不動産,5,
オーストラリア,AUS,RMG,5,
オーストラリア,AUS,ショッピング,5,-1.4182
オーストラリア,AUS,ソーシャル,5,
オーストラリア,AUS,ソーシャルメディア,5,-1.6042
オーストラリア,AUS,スポーツ,5,-1.0431
オーストラリア,AUS,ツール,5,
オーストラリア,AUS,旅行,5,-1.0353
オーストラリア,AUS,旅行 & ナビゲーション,5,
