Country,Country code,Category,hour_of_day,value
호주,AUS,예술 및 디자인,0,
호주,AUS,자동차,0,
호주,AUS,도서 및 참고자료,0,0.04
호주,AUS,비즈니스,0,
호주,AUS,교육,0,-0.7261
호주,AUS,엔터테인먼트,0,-0.7785
호주,AUS,가족 및 관계,0,
호주,AUS,금융,0,
호주,AUS,음식 및 음료,0,
호주,AUS,생성형 AI,0,0.0147
호주,AUS,그래픽 및 디자인,0,
호주,AUS,건강 및 피트니스,0,-1.2241
호주,AUS,라이프스타일,0,
호주,AUS,의료,0,
호주,AUS,음악,0,
호주,AUS,뉴스 및 잡지,0,
호주,AUS,사진 및 비디오,0,-0.2881
호주,AUS,생산성,0,
호주,AUS,부동산,0,
호주,AUS,RMG,0,
호주,AUS,쇼핑,0,-1.0294
호주,AUS,소셜,0,
호주,AUS,소셜 미디어,0,-0.4073
호주,AUS,스포츠,0,-0.8746
호주,AUS,도구,0,
호주,AUS,여행,0,-1.4249
호주,AUS,여행 및 내비게이션,0,
호주,AUS,유틸리티 및 생산성,0,-1.4052
호주,AUS,날씨,0,
호주,AUS,예술 및 디자인,1,
호주,AUS,자동차,1,
호주,AUS,도서 및 참고자료,1,-0.8005
호주,AUS,비즈니스,1,
호주,AUS,교육,1,-1.1036
호주,AUS,엔터테인먼트,1,-1.3722
호주,AUS,가족 및 관계,1,
호주,AUS,금융,1,
호주,AUS,음식 및 음료,1,
호주,AUS,생성형 AI,1,-0.6271
호주,AUS,그래픽 및 디자인,1,
호주,AUS,건강 및 피트니스,1,-1.4949
호주,AUS,라이프스타일,1,
호주,AUS,의료,1,
호주,AUS,음악,1,
호주,AUS,뉴스 및 잡지,1,
호주,AUS,사진 및 비디오,1,-0.7914
호주,AUS,생산성,1,
호주,AUS,부동산,1,
호주,AUS,RMG,1,
호주,AUS,쇼핑,1,-1.3474
호주,AUS,소셜,1,
호주,AUS,소셜 미디어,1,-1.1038
호주,AUS,스포츠,1,-1.251
호주,AUS,도구,1,
호주,AUS,여행,1,-1.6103
호주,AUS,여행 및 내비게이션,1,
호주,AUS,유틸리티 및 생산성,1,-1.685
호주,AUS,날씨,1,
호주,AUS,예술 및 디자인,2,
호주,AUS,자동차,2,
호주,AUS,도서 및 참고자료,2,-1.4086
호주,AUS,비즈니스,2,
호주,AUS,교육,2,-1.2113
호주,AUS,엔터테인먼트,2,-1.7662
호주,AUS,가족 및 관계,2,
호주,AUS,금융,2,
호주,AUS,음식 및 음료,2,
호주,AUS,생성형 AI,2,-1.1174
호주,AUS,그래픽 및 디자인,2,
호주,AUS,건강 및 피트니스,2,-1.6625
호주,AUS,라이프스타일,2,
호주,AUS,의료,2,
호주,AUS,음악,2,
호주,AUS,뉴스 및 잡지,2,
호주,AUS,사진 및 비디오,2,-1.1842
호주,AUS,생산성,2,
호주,AUS,부동산,2,
호주,AUS,RMG,2,
호주,AUS,쇼핑,2,-1.5015
호주,AUS,소셜,2,
호주,AUS,소셜 미디어,2,-1.5725
호주,AUS,스포츠,2,-1.5578
호주,AUS,도구,2,
호주,AUS,여행,2,-1.6647
호주,AUS,여행 및 내비게이션,2,
호주,AUS,유틸리티 및 생산성,2,-1.8592
호주,AUS,날씨,2,
호주,AUS,예술 및 디자인,3,
호주,AUS,자동차,3,
호주,AUS,도서 및 참고자료,3,-1.7882
호주,AUS,비즈니스,3,
호주,AUS,교육,3,-1.2374
호주,AUS,엔터테인먼트,3,-1.9922
호주,AUS,가족 및 관계,3,
호주,AUS,금융,3,
호주,AUS,음식 및 음료,3,
호주,AUS,생성형 AI,3,-1.4599
호주,AUS,그래픽 및 디자인,3,
호주,AUS,건강 및 피트니스,3,-1.6632
호주,AUS,라이프스타일,3,
호주,AUS,의료,3,
호주,AUS,음악,3,
호주,AUS,뉴스 및 잡지,3,
호주,AUS,사진 및 비디오,3,-1.4271
호주,AUS,생산성,3,
호주,AUS,부동산,3,
호주,AUS,RMG,3,
호주,AUS,쇼핑,3,-1.5807
호주,AUS,소셜,3,
호주,AUS,소셜 미디어,3,-1.894
호주,AUS,스포츠,3,-1.5403
호주,AUS,도구,3,
호주,AUS,여행,3,-1.6762
호주,AUS,여행 및 내비게이션,3,
호주,AUS,유틸리티 및 생산성,3,-1.8779
호주,AUS,날씨,3,
호주,AUS,예술 및 디자인,4,
호주,AUS,자동차,4,
호주,AUS,도서 및 참고자료,4,-1.8824
호주,AUS,비즈니스,4,
호주,AUS,교육,4,-1.2265
호주,AUS,엔터테인먼트,4,-1.9158
호주,AUS,가족 및 관계,4,
호주,AUS,금융,4,
호주,AUS,음식 및 음료,4,
호주,AUS,생성형 AI,4,-1.595
호주,AUS,그래픽 및 디자인,4,
호주,AUS,건강 및 피트니스,4,-1.5182
호주,AUS,라이프스타일,4,
호주,AUS,의료,4,
호주,AUS,음악,4,
호주,AUS,뉴스 및 잡지,4,
호주,AUS,사진 및 비디오,4,-1.5056
호주,AUS,생산성,4,
호주,AUS,부동산,4,
호주,AUS,RMG,4,
호주,AUS,쇼핑,4,-1.6348
호주,AUS,소셜,4,
호주,AUS,소셜 미디어,4,-1.922
호주,AUS,스포츠,4,-1.6729
호주,AUS,도구,4,
호주,AUS,여행,4,-1.5189
호주,AUS,여행 및 내비게이션,4,
호주,AUS,유틸리티 및 생산성,4,-1.5245
호주,AUS,날씨,4,
호주,AUS,예술 및 디자인,5,
호주,AUS,자동차,5,
호주,AUS,도서 및 참고자료,5,-1.663
호주,AUS,비즈니스,5,
호주,AUS,교육,5,-1.0983
호주,AUS,엔터테인먼트,5,-1.5179
호주,AUS,가족 및 관계,5,
호주,AUS,금융,5,
호주,AUS,음식 및 음료,5,
호주,AUS,생성형 AI,5,-1.6106
호주,AUS,그래픽 및 디자인,5,
호주,AUS,건강 및 피트니스,5,-1.0989
호주,AUS,라이프스타일,5,
호주,AUS,의료,5,
호주,AUS,음악,5,
호주,AUS,뉴스 및 잡지,5,
호주,AUS,사진 및 비디오,5,-1.5811
호주,AUS,생산성,5,
호주,AUS,부동산,5,
호주,AUS,RMG,5,
호주,AUS,쇼핑,5,-1.4182
호주,AUS,소셜,5,
호주,AUS,소셜 미디어,5,-1.6042
호주,AUS,스포츠,5,-1.0431
호주,AUS,도구,5,
호주,AUS,여행,5,-1.0353
호주,AUS,여행 및 내비게이션,5,
호주,AUS,유틸리티 및 생산성,5,-0.5353
호주,AUS,날씨,5,
호주,AUS,예술 및 디자인,6,
호주,AUS,자동차,6,
호주,AUS,도서 및 참고자료,6,-1.0169
호주,AUS,비즈니스,6,
호주,AUS,교육,6,-0.598
호주,AUS,엔터테인먼트,6,-0.5296
호주,AUS,가족 및 관계,6,
호주,AUS,금융,6,
호주,AUS,음식 및 음료,6,
호주,AUS,생성형 AI,6,-1.2498
