Country,Country code,Category,hour_of_day,value
澳大利亚,AUS,艺术与设计,0,
澳大利亚,AUS,汽车,0,
澳大利亚,AUS,图书与工具书,0,0.04
澳大利亚,AUS,商业,0,
澳大利亚,AUS,教育,0,-0.7261
澳大利亚,AUS,娱乐,0,-0.7785
澳大利亚,AUS,家庭与关系,0,
澳大利亚,AUS,金融,0,
澳大利亚,AUS,美食佳饮,0,
澳大利亚,AUS,生成式 AI,0,0.0147
澳大利亚,AUS,图形与设计,0,
澳大利亚,AUS,健康与健身,0,-1.2241
澳大利亚,AUS,生活方式,0,
澳大利亚,AUS,医疗,0,
澳大利亚,AUS,音乐,0,
澳大利亚,AUS,新闻与杂志,0,
澳大利亚,AUS,照片和视频,0,-0.2881
澳大利亚,AUS,生产力工具,0,
澳大利亚,AUS,房地产,0,
澳大利亚,AUS,真金游戏,0,
澳大利亚,AUS,购物,0,-1.0294
澳大利亚,AUS,社交,0,
澳大利亚,AUS,社交媒体,0,-0.4073
澳大利亚,AUS,体育,0,-0.8746
澳大利亚,AUS,工具,0,
澳大利亚,AUS,旅游,0,-1.4249
澳大利亚,AUS,旅行与导航,0,
澳大利亚,AUS,实用与效率,0,-1.4052
澳大利亚,AUS,天气,0,
澳大利亚,AUS,艺术与设计,1,
澳大利亚,AUS,汽车,1,
澳大利亚,AUS,图书与工具书,1,-0.8005
澳大利亚,AUS,商业,1,
澳大利亚,AUS,教育,1,-1.1036
澳大利亚,AUS,娱乐,1,-1.3722
澳大利亚,AUS,家庭与关系,1,
澳大利亚,AUS,金融,1,
澳大利亚,AUS,美食佳饮,1,
澳大利亚,AUS,生成式 AI,1,-0.6271
澳大利亚,AUS,图形与设计,1,
澳大利亚,AUS,健康与健身,1,-1.4949
澳大利亚,AUS,生活方式,1,
澳大利亚,AUS,医疗,1,
澳大利亚,AUS,音乐,1,
澳大利亚,AUS,新闻与杂志,1,
澳大利亚,AUS,照片和视频,1,-0.7914
澳大利亚,AUS,生产力工具,1,
澳大利亚,AUS,房地产,1,
澳大利亚,AUS,真金游戏,1,
澳大利亚,AUS,购物,1,-1.3474
澳大利亚,AUS,社交,1,
澳大利亚,AUS,社交媒体,1,-1.1038
澳大利亚,AUS,体育,1,-1.251
澳大利亚,AUS,工具,1,
澳大利亚,AUS,旅游,1,-1.6103
澳大利亚,AUS,旅行与导航,1,
澳大利亚,AUS,实用与效率,1,-1.685
澳大利亚,AUS,天气,1,
澳大利亚,AUS,艺术与设计,2,
澳大利亚,AUS,汽车,2,
澳大利亚,AUS,图书与工具书,2,-1.4086
澳大利亚,AUS,商业,2,
澳大利亚,AUS,教育,2,-1.2113
澳大利亚,AUS,娱乐,2,-1.7662
澳大利亚,AUS,家庭与关系,2,
澳大利亚,AUS,金融,2,
澳大利亚,AUS,美食佳饮,2,
澳大利亚,AUS,生成式 AI,2,-1.1174
澳大利亚,AUS,图形与设计,2,
澳大利亚,AUS,健康与健身,2,-1.6625
澳大利亚,AUS,生活方式,2,
澳大利亚,AUS,医疗,2,
澳大利亚,AUS,音乐,2,
澳大利亚,AUS,新闻与杂志,2,
澳大利亚,AUS,照片和视频,2,-1.1842
澳大利亚,AUS,生产力工具,2,
澳大利亚,AUS,房地产,2,
澳大利亚,AUS,真金游戏,2,
澳大利亚,AUS,购物,2,-1.5015
澳大利亚,AUS,社交,2,
