Country,Country code,Category,hour_of_day,value
Australia,AUS,Art & Design,0,
Australia,AUS,Automotive,0,
Australia,AUS,Books & Reference,0,0.04
Australia,AUS,Business,0,
Australia,AUS,Education,0,-0.7261
Australia,AUS,Entertainment,0,-0.7785
Australia,AUS,Family & Relationships,0,
Australia,AUS,Finance,0,
Australia,AUS,Food & Drink,0,
Australia,AUS,Generative AI,0,0.0147
Australia,AUS,Graphic & Design,0,
Australia,AUS,Health & Fitness,0,-1.2241
Australia,AUS,Lifestyle,0,
Australia,AUS,Medical,0,
Australia,AUS,Music,0,
Australia,AUS,News & Magazines,0,
Australia,AUS,Photo & Video,0,-0.2881
Australia,AUS,Productivity,0,
Australia,AUS,Real Estate,0,
Australia,AUS,RMG,0,
Australia,AUS,Shopping,0,-1.0294
Australia,AUS,Social,0,
Australia,AUS,Social Media,0,-0.4073
Australia,AUS,Sports,0,-0.8746
Australia,AUS,Tools,0,
Australia,AUS,Travel,0,-1.4249
Australia,AUS,Travel & Navigation,0,
Australia,AUS,Utility & Productivity,0,-1.4052
Australia,AUS,Weather,0,
Australia,AUS,Art & Design,1,
Australia,AUS,Automotive,1,
Australia,AUS,Books & Reference,1,-0.8005
Australia,AUS,Business,1,
Australia,AUS,Education,1,-1.1036
Australia,AUS,Entertainment,1,-1.3722
Australia,AUS,Family & Relationships,1,
Australia,AUS,Finance,1,
Australia,AUS,Food & Drink,1,
Australia,AUS,Generative AI,1,-0.6271
Australia,AUS,Graphic & Design,1,
Australia,AUS,Health & Fitness,1,-1.4949
Australia,AUS,Lifestyle,1,
Australia,AUS,Medical,1,
Australia,AUS,Music,1,
Australia,AUS,News & Magazines,1,
Australia,AUS,Photo & Video,1,-0.7914
Australia,AUS,Productivity,1,
Australia,AUS,Real Estate,1,
Australia,AUS,RMG,1,
Australia,AUS,Shopping,1,-1.3474
Australia,AUS,Social,1,
Australia,AUS,Social Media,1,-1.1038
Australia,AUS,Sports,1,-1.251
Australia,AUS,Tools,1,
Australia,AUS,Travel,1,-1.6103
Australia,AUS,Travel & Navigation,1,
Australia,AUS,Utility & Productivity,1,-1.685
Australia,AUS,Weather,1,
Australia,AUS,Art & Design,2,
Australia,AUS,Automotive,2,
Australia,AUS,Books & Reference,2,-1.4086
Australia,AUS,Business,2,
Australia,AUS,Education,2,-1.2113
Australia,AUS,Entertainment,2,-1.7662
Australia,AUS,Family & Relationships,2,
Australia,AUS,Finance,2,
Australia,AUS,Food & Drink,2,
Australia,AUS,Generative AI,2,-1.1174
Australia,AUS,Graphic & Design,2,
Australia,AUS,Health & Fitness,2,-1.6625
Australia,AUS,Lifestyle,2,
Australia,AUS,Medical,2,
Australia,AUS,Music,2,
Australia,AUS,News & Magazines,2,
Australia,AUS,Photo & Video,2,-1.1842
Australia,AUS,Productivity,2,
Australia,AUS,Real Estate,2,
Australia,AUS,RMG,2,
Australia,AUS,Shopping,2,-1.5015
Australia,AUS,Social,2,
Australia,AUS,Social Media,2,-1.5725
Australia,AUS,Sports,2,-1.5578
Australia,AUS,Tools,2,
Australia,AUS,Travel,2,-1.6647
Australia,AUS,Travel & Navigation,2,
Australia,AUS,Utility & Productivity,2,-1.8592
Australia,AUS,Weather,2,
Australia,AUS,Art & Design,3,
Australia,AUS,Automotive,3,
Australia,AUS,Books & Reference,3,-1.7882
Australia,AUS,Business,3,
Australia,AUS,Education,3,-1.2374
Australia,AUS,Entertainment,3,-1.9922
Australia,AUS,Family & Relationships,3,
Australia,AUS,Finance,3,
Australia,AUS,Food & Drink,3,
Australia,AUS,Generative AI,3,-1.4599
Australia,AUS,Graphic & Design,3,
Australia,AUS,Health & Fitness,3,-1.6632
Australia,AUS,Lifestyle,3,
Australia,AUS,Medical,3,
Australia,AUS,Music,3,
Australia,AUS,News & Magazines,3,
Australia,AUS,Photo & Video,3,-1.4271
Australia,AUS,Productivity,3,
Australia,AUS,Real Estate,3,
Australia,AUS,RMG,3,
Australia,AUS,Shopping,3,-1.5807
Australia,AUS,Social,3,
Australia,AUS,Social Media,3,-1.894
Australia,AUS,Sports,3,-1.5403
Australia,AUS,Tools,3,
Australia,AUS,Travel,3,-1.6762
Australia,AUS,Travel & Navigation,3,
Australia,AUS,Utility & Productivity,3,-1.8779
Australia,AUS,Weather,3,
Australia,AUS,Art & Design,4,
Australia,AUS,Automotive,4,
Australia,AUS,Books & Reference,4,-1.8824
Australia,AUS,Business,4,
Australia,AUS,Education,4,-1.2265
Australia,AUS,Entertainment,4,-1.9158
Australia,AUS,Family & Relationships,4,
Australia,AUS,Finance,4,
Australia,AUS,Food & Drink,4,
Australia,AUS,Generative AI,4,-1.595
Australia,AUS,Graphic & Design,4,
Australia,AUS,Health & Fitness,4,-1.5182
Australia,AUS,Lifestyle,4,
Australia,AUS,Medical,4,
Australia,AUS,Music,4,
Australia,AUS,News & Magazines,4,
Australia,AUS,Photo & Video,4,-1.5056
Australia,AUS,Productivity,4,
Australia,AUS,Real Estate,4,
Australia,AUS,RMG,4,
Australia,AUS,Shopping,4,-1.6348
Australia,AUS,Social,4,
Australia,AUS,Social Media,4,-1.922
Australia,AUS,Sports,4,-1.6729
Australia,AUS,Tools,4,
Australia,AUS,Travel,4,-1.5189
Australia,AUS,Travel & Navigation,4,
Australia,AUS,Utility & Productivity,4,-1.5245
Australia,AUS,Weather,4,
Australia,AUS,Art & Design,5,
Australia,AUS,Automotive,5,
Australia,AUS,Books & Reference,5,-1.663
Australia,AUS,Business,5,
Australia,AUS,Education,5,-1.0983
Australia,AUS,Entertainment,5,-1.5179
Australia,AUS,Family & Relationships,5,
Australia,AUS,Finance,5,
Australia,AUS,Food & Drink,5,
Australia,AUS,Generative AI,5,-1.6106
Australia,AUS,Graphic & Design,5,
Australia,AUS,Health & Fitness,5,-1.0989
Australia,AUS,Lifestyle,5,
Australia,AUS,Medical,5,
Australia,AUS,Music,5,
Australia,AUS,News & Magazines,5,
Australia,AUS,Photo & Video,5,-1.5811
Australia,AUS,Productivity,5,
Australia,AUS,Real Estate,5,
Australia,AUS,RMG,5,
Australia,AUS,Shopping,5,-1.4182
Australia,AUS,Social,5,
Australia,AUS,Social Media,5,-1.6042
Australia,AUS,Sports,5,-1.0431
Australia,AUS,Tools,5,
Australia,AUS,Travel,5,-1.0353
Australia,AUS,Travel & Navigation,5,
Australia,AUS,Utility & Productivity,5,-0.5353
Australia,AUS,Weather,5,
Australia,AUS,Art & Design,6,
Australia,AUS,Automotive,6,
Australia,AUS,Books & Reference,6,-1.0169
Australia,AUS,Business,6,
Australia,AUS,Education,6,-0.598
Australia,AUS,Entertainment,6,-0.5296
Australia,AUS,Family & Relationships,6,
Australia,AUS,Finance,6,
Australia,AUS,Food & Drink,6,
Australia,AUS,Generative AI,6,-1.2498
Australia,AUS,Graphic & Design,6,
