Advertiser Genre,Publisher Genre,CPP
ユーティリティ & 生産性,ゲーム,46.16
旅行,健康・フィットネス,54.67
フード & デリバリー,ソーシャルメディア,60
ファイナンス,ゲーム,61
ファイナンス,健康・フィットネス,61
ソーシャルメディア,書籍・参考書,61.41
フード & デリバリー,健康・フィットネス,62
エンターテインメント,ソーシャルメディア,63
その他,ゲーム,63
RMG,健康・フィットネス,63
ゲーム,書籍・参考書,64
旅行,ゲーム,64.76
ゲーム,ソーシャルメディア,68
その他,ソーシャルメディア,68
ソーシャルメディア,健康・フィットネス,69.02
ユーティリティ & 生産性,エンターテインメント,71.29
ショッピング,写真・動画,72
ユーティリティ & 生産性,書籍・参考書,75.42
ソーシャルメディア,ゲーム,78
エンターテインメント,書籍・参考書,81
ファイナンス,エンターテインメント,81
その他,書籍・参考書,82
ゲーム,エンターテインメント,88
ショッピング,書籍・参考書,88
フード & デリバリー,書籍・参考書,89
ゲーム,健康・フィットネス,89
RMG,ゲーム,89
ソーシャルメディア,その他の消費者向けパブリッシャー,89.36
エンターテインメント,ゲーム,91
フード & デリバリー,ゲーム,94
ショッピング,ユーティリティ & 生産性,94
旅行,その他の消費者向けパブリッシャー,94.31
その他,その他の消費者向けパブリッシャー,96
RMG,エンターテインメント,97
エンターテインメント,エンターテインメント,98
ゲーム,ゲーム,98
ショッピング,ソーシャルメディア,99
旅行,ソーシャルメディア,99.26
RMG,その他の消費者向けパブリッシャー,101
ショッピング,ゲーム,103
ユーティリティ & 生産性,その他の消費者向けパブリッシャー,106.22
ソーシャルメディア,エンターテインメント,107.37
旅行,エンターテインメント,107.52
ショッピング,健康・フィットネス,108
旅行,書籍・参考書,108.92
ファイナンス,その他の消費者向けパブリッシャー,110
RMG,ユーティリティ & 生産性,110
ユーティリティ & 生産性,健康・フィットネス,110.4
エンターテインメント,ユーティリティ & 生産性,114
エンターテインメント,その他の消費者向けパブリッシャー,115
その他,健康・フィットネス,115
RMG,書籍・参考書,117
ファイナンス,ソーシャルメディア,120
ショッピング,エンターテインメント,120
その他,エンターテインメント,122
ファイナンス,書籍・参考書,129
フード & デリバリー,その他の消費者向けパブリッシャー,130
ファイナンス,ユーティリティ & 生産性,131
ゲーム,ユーティリティ & 生産性,131
その他,ユーティリティ & 生産性,131
エンターテインメント,写真・動画,132
ゲーム,その他の消費者向けパブリッシャー,133
RMG,ソーシャルメディア,133
RMG,写真・動画,135
フード & デリバリー,エンターテインメント,139
ショッピング,その他の消費者向けパブリッシャー,150
ユーティリティ & 生産性,ソーシャルメディア,167.01
フード & デリバリー,写真・動画,171
ソーシャルメディア,写真・動画,172.66
ソーシャルメディア,ソーシャルメディア,174.71
エンターテインメント,健康・フィットネス,179
旅行,ユーティリティ & 生産性,192.66
フード & デリバリー,ユーティリティ & 生産性,219
ユーティリティ & 生産性,ユーティリティ & 生産性,223.3
ソーシャルメディア,ユーティリティ & 生産性,228.01
その他,写真・動画,442
ユーティリティ & 生産性,写真・動画,473.38
旅行,写真・動画,522.16
ファイナンス,写真・動画,526
ゲーム,写真・動画,607
