Advertiser Genre,Publisher Genre,CPP
유틸리티 및 생산성,게임,46.16
여행,건강 및 피트니스,54.67
음식 및 배달,소셜 미디어,60
금융,게임,61
금융,건강 및 피트니스,61
소셜 미디어,도서 및 참고자료,61.41
음식 및 배달,건강 및 피트니스,62
엔터테인먼트,소셜 미디어,63
기타,게임,63
RMG,건강 및 피트니스,63
게임,도서 및 참고자료,64
여행,게임,64.76
게임,소셜 미디어,68
기타,소셜 미디어,68
소셜 미디어,건강 및 피트니스,69.02
유틸리티 및 생산성,엔터테인먼트,71.29
쇼핑,사진 및 비디오,72
유틸리티 및 생산성,도서 및 참고자료,75.42
소셜 미디어,게임,78
엔터테인먼트,도서 및 참고자료,81
금융,엔터테인먼트,81
기타,도서 및 참고자료,82
게임,엔터테인먼트,88
쇼핑,도서 및 참고자료,88
음식 및 배달,도서 및 참고자료,89
게임,건강 및 피트니스,89
RMG,게임,89
소셜 미디어,기타 컨슈머 퍼블리셔,89.36
엔터테인먼트,게임,91
음식 및 배달,게임,94
쇼핑,유틸리티 및 생산성,94
여행,기타 컨슈머 퍼블리셔,94.31
기타,기타 컨슈머 퍼블리셔,96
RMG,엔터테인먼트,97
엔터테인먼트,엔터테인먼트,98
게임,게임,98
쇼핑,소셜 미디어,99
여행,소셜 미디어,99.26
RMG,기타 컨슈머 퍼블리셔,101
쇼핑,게임,103
유틸리티 및 생산성,기타 컨슈머 퍼블리셔,106.22
소셜 미디어,엔터테인먼트,107.37
여행,엔터테인먼트,107.52
쇼핑,건강 및 피트니스,108
여행,도서 및 참고자료,108.92
금융,기타 컨슈머 퍼블리셔,110
RMG,유틸리티 및 생산성,110
유틸리티 및 생산성,건강 및 피트니스,110.4
엔터테인먼트,유틸리티 및 생산성,114
엔터테인먼트,기타 컨슈머 퍼블리셔,115
기타,건강 및 피트니스,115
RMG,도서 및 참고자료,117
금융,소셜 미디어,120
쇼핑,엔터테인먼트,120
기타,엔터테인먼트,122
금융,도서 및 참고자료,129
음식 및 배달,기타 컨슈머 퍼블리셔,130
금융,유틸리티 및 생산성,131
게임,유틸리티 및 생산성,131
기타,유틸리티 및 생산성,131
엔터테인먼트,사진 및 비디오,132
게임,기타 컨슈머 퍼블리셔,133
RMG,소셜 미디어,133
RMG,사진 및 비디오,135
음식 및 배달,엔터테인먼트,139
쇼핑,기타 컨슈머 퍼블리셔,150
유틸리티 및 생산성,소셜 미디어,167.01
음식 및 배달,사진 및 비디오,171
소셜 미디어,사진 및 비디오,172.66
소셜 미디어,소셜 미디어,174.71
엔터테인먼트,건강 및 피트니스,179
여행,유틸리티 및 생산성,192.66
음식 및 배달,유틸리티 및 생산성,219
유틸리티 및 생산성,유틸리티 및 생산성,223.3
소셜 미디어,유틸리티 및 생산성,228.01
기타,사진 및 비디오,442
유틸리티 및 생산성,사진 및 비디오,473.38
여행,사진 및 비디오,522.16
금융,사진 및 비디오,526
게임,사진 및 비디오,607
