Advertiser Genre,Publisher Genre,CPP
实用与效率,游戏,46.16
旅游,健康与健身,54.67
餐饮与配送,社交媒体,60
金融,游戏,61
金融,健康与健身,61
社交媒体,图书与工具书,61.41
餐饮与配送,健康与健身,62
娱乐,社交媒体,63
其他,游戏,63
真金游戏,健康与健身,63
游戏,图书与工具书,64
旅游,游戏,64.76
游戏,社交媒体,68
其他,社交媒体,68
社交媒体,健康与健身,69.02
实用与效率,娱乐,71.29
购物,照片和视频,72
实用与效率,图书与工具书,75.42
社交媒体,游戏,78
娱乐,图书与工具书,81
金融,娱乐,81
其他,图书与工具书,82
游戏,娱乐,88
购物,图书与工具书,88
餐饮与配送,图书与工具书,89
游戏,健康与健身,89
真金游戏,游戏,89
社交媒体,其他消费者发行商,89.36
娱乐,游戏,91
餐饮与配送,游戏,94
购物,实用与效率,94
旅游,其他消费者发行商,94.31
其他,其他消费者发行商,96
真金游戏,娱乐,97
娱乐,娱乐,98
游戏,游戏,98
购物,社交媒体,99
旅游,社交媒体,99.26
真金游戏,其他消费者发行商,101
购物,游戏,103
实用与效率,其他消费者发行商,106.22
社交媒体,娱乐,107.37
旅游,娱乐,107.52
购物,健康与健身,108
旅游,图书与工具书,108.92
金融,其他消费者发行商,110
真金游戏,实用与效率,110
实用与效率,健康与健身,110.4
娱乐,实用与效率,114
娱乐,其他消费者发行商,115
其他,健康与健身,115
真金游戏,图书与工具书,117
金融,社交媒体,120
购物,娱乐,120
其他,娱乐,122
金融,图书与工具书,129
餐饮与配送,其他消费者发行商,130
金融,实用与效率,131
游戏,实用与效率,131
其他,实用与效率,131
娱乐,照片和视频,132
游戏,其他消费者发行商,133
真金游戏,社交媒体,133
真金游戏,照片和视频,135
餐饮与配送,娱乐,139
购物,其他消费者发行商,150
实用与效率,社交媒体,167.01
餐饮与配送,照片和视频,171
社交媒体,照片和视频,172.66
社交媒体,社交媒体,174.71
娱乐,健康与健身,179
旅游,实用与效率,192.66
餐饮与配送,实用与效率,219
实用与效率,实用与效率,223.3
社交媒体,实用与效率,228.01
其他,照片和视频,442
实用与效率,照片和视频,473.38
旅游,照片和视频,522.16
金融,照片和视频,526
游戏,照片和视频,607
