Country,Country code,Year,Revenue,Category
アメリカ合衆国,USA,2014,1124898650,ゲーム以外
アメリカ合衆国,USA,2015,1526988184,ゲーム以外
アメリカ合衆国,USA,2016,2327371813,ゲーム以外
アメリカ合衆国,USA,2017,3729156538,ゲーム以外
アメリカ合衆国,USA,2018,6136191008,ゲーム以外
アメリカ合衆国,USA,2019,7945883522,ゲーム以外
アメリカ合衆国,USA,2020,10630227226,ゲーム以外
アメリカ合衆国,USA,2021,15228753618,ゲーム以外
アメリカ合衆国,USA,2022,19628411468,ゲーム以外
アメリカ合衆国,USA,2023,23998904575,ゲーム以外
アメリカ合衆国,USA,2024,29627609755,ゲーム以外
日本,JPN,2014,612136389,ゲーム以外
日本,JPN,2015,743991171.9,ゲーム以外
日本,JPN,2016,948527813,ゲーム以外
日本,JPN,2017,1227449387,ゲーム以外
日本,JPN,2018,1836243107,ゲーム以外
日本,JPN,2019,2589797278,ゲーム以外
日本,JPN,2020,3855503339,ゲーム以外
日本,JPN,2021,4976552769,ゲーム以外
日本,JPN,2022,4782413598,ゲーム以外
日本,JPN,2023,5071984926,ゲーム以外
日本,JPN,2024,5402310635,ゲーム以外
イギリス,GBR,2014,254671356,ゲーム以外
イギリス,GBR,2015,284875899.6,ゲーム以外
イギリス,GBR,2016,316753108.3,ゲーム以外
イギリス,GBR,2017,393175845.2,ゲーム以外
イギリス,GBR,2018,644804497.5,ゲーム以外
イギリス,GBR,2019,842450587.5,ゲーム以外
イギリス,GBR,2020,1181996612,ゲーム以外
イギリス,GBR,2021,1630295066,ゲーム以外
イギリス,GBR,2022,1768134302,ゲーム以外
イギリス,GBR,2023,2247917231,ゲーム以外
イギリス,GBR,2024,2947096773,ゲーム以外
ドイツ,DEU,2014,166026866,ゲーム以外
ドイツ,DEU,2015,158484740.7,ゲーム以外
ドイツ,DEU,2016,178588624,ゲーム以外
ドイツ,DEU,2017,238903001.2,ゲーム以外
ドイツ,DEU,2018,380783421.4,ゲーム以外
ドイツ,DEU,2019,493333024.7,ゲーム以外
ドイツ,DEU,2020,734604994.7,ゲーム以外
ドイツ,DEU,2021,1044827173,ゲーム以外
ドイツ,DEU,2022,1258130486,ゲーム以外
ドイツ,DEU,2023,1651262690,ゲーム以外
ドイツ,DEU,2024,2289272087,ゲーム以外
カナダ,CAN,2014,99247615,ゲーム以外
カナダ,CAN,2015,107704968.5,ゲーム以外
カナダ,CAN,2016,145549629.7,ゲーム以外
