Country,Country code,Year,Revenue,Category
미국,USA,2014,1124898650,비게임
미국,USA,2015,1526988184,비게임
미국,USA,2016,2327371813,비게임
미국,USA,2017,3729156538,비게임
미국,USA,2018,6136191008,비게임
미국,USA,2019,7945883522,비게임
미국,USA,2020,10630227226,비게임
미국,USA,2021,15228753618,비게임
미국,USA,2022,19628411468,비게임
미국,USA,2023,23998904575,비게임
미국,USA,2024,29627609755,비게임
일본,JPN,2014,612136389,비게임
일본,JPN,2015,743991171.9,비게임
일본,JPN,2016,948527813,비게임
일본,JPN,2017,1227449387,비게임
일본,JPN,2018,1836243107,비게임
일본,JPN,2019,2589797278,비게임
일본,JPN,2020,3855503339,비게임
일본,JPN,2021,4976552769,비게임
일본,JPN,2022,4782413598,비게임
일본,JPN,2023,5071984926,비게임
일본,JPN,2024,5402310635,비게임
영국,GBR,2014,254671356,비게임
영국,GBR,2015,284875899.6,비게임
영국,GBR,2016,316753108.3,비게임
영국,GBR,2017,393175845.2,비게임
영국,GBR,2018,644804497.5,비게임
영국,GBR,2019,842450587.5,비게임
영국,GBR,2020,1181996612,비게임
영국,GBR,2021,1630295066,비게임
영국,GBR,2022,1768134302,비게임
영국,GBR,2023,2247917231,비게임
영국,GBR,2024,2947096773,비게임
독일,DEU,2014,166026866,비게임
독일,DEU,2015,158484740.7,비게임
독일,DEU,2016,178588624,비게임
독일,DEU,2017,238903001.2,비게임
독일,DEU,2018,380783421.4,비게임
독일,DEU,2019,493333024.7,비게임
독일,DEU,2020,734604994.7,비게임
독일,DEU,2021,1044827173,비게임
독일,DEU,2022,1258130486,비게임
독일,DEU,2023,1651262690,비게임
독일,DEU,2024,2289272087,비게임
캐나다,CAN,2014,99247615,비게임
캐나다,CAN,2015,107704968.5,비게임
캐나다,CAN,2016,145549629.7,비게임
캐나다,CAN,2017,213564067.9,비게임
캐나다,CAN,2018,340251407.9,비게임
캐나다,CAN,2019,472323664.4,비게임
캐나다,CAN,2020,722208279.7,비게임
캐나다,CAN,2021,1047580722,비게임
캐나다,CAN,2022,1230767376,비게임
캐나다,CAN,2023,1395937591,비게임
캐나다,CAN,2024,1669551221,비게임
호주,AUS,2014,126679860,비게임
호주,AUS,2015,136594951.4,비게임
호주,AUS,2016,175193826,비게임
호주,AUS,2017,235590710.1,비게임
호주,AUS,2018,356069515.9,비게임
호주,AUS,2019,452126773.8,비게임
호주,AUS,2020,632390793,비게임
호주,AUS,2021,977205087.2,비게임
호주,AUS,2022,1106216315,비게임
호주,AUS,2023,1270163025,비게임
호주,AUS,2024,1528315583,비게임
대한민국,KOR,2014,90818744,비게임
대한민국,KOR,2015,135533061.1,비게임
대한민국,KOR,2016,226440204.5,비게임
대한민국,KOR,2017,326910663.3,비게임
대한민국,KOR,2018,444441315.4,비게임
대한민국,KOR,2019,458676113.1,비게임
대한민국,KOR,2020,635141311.9,비게임
대한민국,KOR,2021,817614499.8,비게임
대한민국,KOR,2022,944658985.3,비게임
대한민국,KOR,2023,1292291823,비게임
대한민국,KOR,2024,1535677383,비게임
프랑스,FRA,2014,119783195,비게임
프랑스,FRA,2015,123381893.3,비게임
프랑스,FRA,2016,155805766.2,비게임
프랑스,FRA,2017,214951742.4,비게임
프랑스,FRA,2018,355161477.1,비게임
프랑스,FRA,2019,448793620.3,비게임
프랑스,FRA,2020,613698446.8,비게임
프랑스,FRA,2021,811920418.5,비게임
프랑스,FRA,2022,934690727.4,비게임
프랑스,FRA,2023,1169823152,비게임
프랑스,FRA,2024,1636727727,비게임
브라질,BRA,2014,59564332,비게임
브라질,BRA,2015,76681342.84,비게임
브라질,BRA,2016,88438137.67,비게임
브라질,BRA,2017,142953380.2,비게임
브라질,BRA,2018,247976846.3,비게임
브라질,BRA,2019,365551826.7,비게임
브라질,BRA,2020,378930088.1,비게임
브라질,BRA,2021,467131268.4,비게임
브라질,BRA,2022,758739884.1,비게임
브라질,BRA,2023,1085616945,비게임
브라질,BRA,2024,1341909994,비게임
멕시코,MEX,2014,29840534,비게임
멕시코,MEX,2015,39257679.29,비게임
멕시코,MEX,2016,54702815.4,비게임
멕시코,MEX,2017,86730770.67,비게임
멕시코,MEX,2018,137865157.4,비게임
멕시코,MEX,2019,176039896.4,비게임
멕시코,MEX,2020,197405527.4,비게임
멕시코,MEX,2021,275010019.6,비게임
멕시코,MEX,2022,382097243.9,비게임
멕시코,MEX,2023,652599087.4,비게임
멕시코,MEX,2024,923863438,비게임
인도,IND,2014,8267856,비게임
인도,IND,2015,14702083.32,비게임
인도,IND,2016,30474113.78,비게임
인도,IND,2017,70812066.59,비게임
인도,IND,2018,130699627.5,비게임
인도,IND,2019,192693275.1,비게임
인도,IND,2020,276896772.7,비게임
인도,IND,2021,263852112,비게임
인도,IND,2022,289767304.3,비게임
인도,IND,2023,365159095.1,비게임
인도,IND,2024,482704910.6,비게임
인도네시아,IDN,2014,9336280,비게임
인도네시아,IDN,2015,12904471.52,비게임
인도네시아,IDN,2016,29039849.36,비게임
인도네시아,IDN,2017,51975798.26,비게임
인도네시아,IDN,2018,54641597.14,비게임
인도네시아,IDN,2019,90234869.07,비게임
인도네시아,IDN,2020,134398181.2,비게임
인도네시아,IDN,2021,183241220.3,비게임
인도네시아,IDN,2022,235827801.4,비게임
인도네시아,IDN,2023,348470802,비게임
인도네시아,IDN,2024,545525737.9,비게임
베트남,VNM,2014,2985369,비게임
베트남,VNM,2015,4292707.9,비게임
베트남,VNM,2016,4720721.57,비게임
베트남,VNM,2017,10246394.35,비게임
베트남,VNM,2018,22442907.85,비게임
베트남,VNM,2019,39964867.1,비게임
베트남,VNM,2020,60558418.1,비게임
베트남,VNM,2021,104893703.1,비게임
베트남,VNM,2022,119588984.1,비게임
베트남,VNM,2023,142892714.5,비게임
베트남,VNM,2024,173208434.3,비게임
미국,USA,2014,5132396103,게임
미국,USA,2015,6965864324,게임
미국,USA,2016,8920722737,게임
미국,USA,2017,10903132354,게임
미국,USA,2018,12879536498,게임
미국,USA,2019,16106420688,게임
미국,USA,2020,21903544305,게임
미국,USA,2021,24371755439,게임
미국,USA,2022,22540161546,게임
미국,USA,2023,23810460946,게임
미국,USA,2024,25962985227,게임
일본,JPN,2014,5633154652,게임
일본,JPN,2015,7936116446,게임
일본,JPN,2016,10814778633,게임
일본,JPN,2017,12019098166,게임
일본,JPN,2018,13870677783,게임
일본,JPN,2019,14480655174,게임
일본,JPN,2020,15201389981,게임
일본,JPN,2021,15406093610,게임
일본,JPN,2022,12733052073,게임
