Country,Country code,Quarter,Year,Category,Revenue
Australia,AUS,2014-Q1,2014,Non-Gaming,28992269.64
Brazil,BRA,2014-Q1,2014,Non-Gaming,13660546.09
Canada,CAN,2014-Q1,2014,Non-Gaming,23898976.59
Germany,DEU,2014-Q1,2014,Non-Gaming,43318933.96
France,FRA,2014-Q1,2014,Non-Gaming,27946570.47
U.K.,GBR,2014-Q1,2014,Non-Gaming,56141501.57
Indonesia,IDN,2014-Q1,2014,Non-Gaming,2136418.45
India,IND,2014-Q1,2014,Non-Gaming,1740768.73
Japan,JPN,2014-Q1,2014,Non-Gaming,123204714.7
South Korea,KOR,2014-Q1,2014,Non-Gaming,20258367.57
Mexico,MEX,2014-Q1,2014,Non-Gaming,7628727.14
U.S.,USA,2014-Q1,2014,Non-Gaming,262316474.4
Vietnam,VNM,2014-Q1,2014,Non-Gaming,530323.24
Australia,AUS,2014-Q2,2014,Non-Gaming,29422799.31
Brazil,BRA,2014-Q2,2014,Non-Gaming,13672805.97
Canada,CAN,2014-Q2,2014,Non-Gaming,22273090.7
Germany,DEU,2014-Q2,2014,Non-Gaming,38709669.91
France,FRA,2014-Q2,2014,Non-Gaming,28100323.97
U.K.,GBR,2014-Q2,2014,Non-Gaming,57394064.03
Indonesia,IDN,2014-Q2,2014,Non-Gaming,2255120.67
India,IND,2014-Q2,2014,Non-Gaming,1763020.17
Japan,JPN,2014-Q2,2014,Non-Gaming,138320589
South Korea,KOR,2014-Q2,2014,Non-Gaming,19489561.78
Mexico,MEX,2014-Q2,2014,Non-Gaming,7108871.18
U.S.,USA,2014-Q2,2014,Non-Gaming,269043372.4
Vietnam,VNM,2014-Q2,2014,Non-Gaming,566014.66
Australia,AUS,2014-Q3,2014,Non-Gaming,34891915.53
Brazil,BRA,2014-Q3,2014,Non-Gaming,16366258.05
Canada,CAN,2014-Q3,2014,Non-Gaming,26208999.28
Germany,DEU,2014-Q3,2014,Non-Gaming,42945828.24
France,FRA,2014-Q3,2014,Non-Gaming,32977428.94
U.K.,GBR,2014-Q3,2014,Non-Gaming,68198967.32
Indonesia,IDN,2014-Q3,2014,Non-Gaming,2481004.85
India,IND,2014-Q3,2014,Non-Gaming,2235092.53
Japan,JPN,2014-Q3,2014,Non-Gaming,172345390.3
South Korea,KOR,2014-Q3,2014,Non-Gaming,23478607.11
Mexico,MEX,2014-Q3,2014,Non-Gaming,7644667.98
U.S.,USA,2014-Q3,2014,Non-Gaming,298491601.1
Vietnam,VNM,2014-Q3,2014,Non-Gaming,927069.89
Australia,AUS,2014-Q4,2014,Non-Gaming,33372875.44
Brazil,BRA,2014-Q4,2014,Non-Gaming,15864722.03
Canada,CAN,2014-Q4,2014,Non-Gaming,26866548.29
Germany,DEU,2014-Q4,2014,Non-Gaming,41052434.24
France,FRA,2014-Q4,2014,Non-Gaming,30758871.49
U.K.,GBR,2014-Q4,2014,Non-Gaming,72936822.72
