Country,Country code,Quarter,Year,Category,Revenue
Australia,AUS,2014-Q1,2014,Non-Gaming,"28,992,269.64"
Brazil,BRA,2014-Q1,2014,Non-Gaming,"13,660,546.09"
Canada,CAN,2014-Q1,2014,Non-Gaming,"23,898,976.59"
Germany,DEU,2014-Q1,2014,Non-Gaming,"43,318,933.96"
France,FRA,2014-Q1,2014,Non-Gaming,"27,946,570.47"
U.K.,GBR,2014-Q1,2014,Non-Gaming,"56,141,501.57"
Indonesia,IDN,2014-Q1,2014,Non-Gaming,"2,136,418.45"
India,IND,2014-Q1,2014,Non-Gaming,"1,740,768.73"
Japan,JPN,2014-Q1,2014,Non-Gaming,"123,204,714.69"
South Korea,KOR,2014-Q1,2014,Non-Gaming,"20,258,367.57"
Mexico,MEX,2014-Q1,2014,Non-Gaming,"7,628,727.14"
U.S.,USA,2014-Q1,2014,Non-Gaming,"262,316,474.36"
Vietnam,VNM,2014-Q1,2014,Non-Gaming,"530,323.24"
Australia,AUS,2014-Q2,2014,Non-Gaming,"29,422,799.31"
Brazil,BRA,2014-Q2,2014,Non-Gaming,"13,672,805.97"
Canada,CAN,2014-Q2,2014,Non-Gaming,"22,273,090.70"
Germany,DEU,2014-Q2,2014,Non-Gaming,"38,709,669.91"
France,FRA,2014-Q2,2014,Non-Gaming,"28,100,323.97"
U.K.,GBR,2014-Q2,2014,Non-Gaming,"57,394,064.03"
Indonesia,IDN,2014-Q2,2014,Non-Gaming,"2,255,120.67"
India,IND,2014-Q2,2014,Non-Gaming,"1,763,020.17"
Japan,JPN,2014-Q2,2014,Non-Gaming,"138,320,589.03"
South Korea,KOR,2014-Q2,2014,Non-Gaming,"19,489,561.78"
Mexico,MEX,2014-Q2,2014,Non-Gaming,"7,108,871.18"
U.S.,USA,2014-Q2,2014,Non-Gaming,"269,043,372.43"
Vietnam,VNM,2014-Q2,2014,Non-Gaming,"566,014.66"
Australia,AUS,2014-Q3,2014,Non-Gaming,"34,891,915.53"
Brazil,BRA,2014-Q3,2014,Non-Gaming,"16,366,258.05"
Canada,CAN,2014-Q3,2014,Non-Gaming,"26,208,999.28"
Germany,DEU,2014-Q3,2014,Non-Gaming,"42,945,828.24"
France,FRA,2014-Q3,2014,Non-Gaming,"32,977,428.94"
U.K.,GBR,2014-Q3,2014,Non-Gaming,"68,198,967.32"
Indonesia,IDN,2014-Q3,2014,Non-Gaming,"2,481,004.85"
India,IND,2014-Q3,2014,Non-Gaming,"2,235,092.53"
Japan,JPN,2014-Q3,2014,Non-Gaming,"172,345,390.25"
South Korea,KOR,2014-Q3,2014,Non-Gaming,"23,478,607.11"
Mexico,MEX,2014-Q3,2014,Non-Gaming,"7,644,667.98"
U.S.,USA,2014-Q3,2014,Non-Gaming,"298,491,601.11"
Vietnam,VNM,2014-Q3,2014,Non-Gaming,"927,069.89"
Australia,AUS,2014-Q4,2014,Non-Gaming,"33,372,875.44"
