Country,Country code,Year,Revenue,Category
U.S.,USA,2014,1124898651,Non-gaming
U.S.,USA,2015,1526988184,Non-gaming
U.S.,USA,2016,2327371813,Non-gaming
U.S.,USA,2017,3729156538,Non-gaming
U.S.,USA,2018,6136191008,Non-gaming
U.S.,USA,2019,7945883522,Non-gaming
U.S.,USA,2020,10630227226,Non-gaming
U.S.,USA,2021,15228753618,Non-gaming
U.S.,USA,2022,19628411468,Non-gaming
U.S.,USA,2023,23998904575,Non-gaming
U.S.,USA,2024,29627609755,Non-gaming
Japan,JPN,2014,612136389,Non-gaming
Japan,JPN,2015,743991171.9,Non-gaming
Japan,JPN,2016,948527813,Non-gaming
Japan,JPN,2017,1227449387,Non-gaming
Japan,JPN,2018,1836243107,Non-gaming
Japan,JPN,2019,2589797278,Non-gaming
Japan,JPN,2020,3855503339,Non-gaming
Japan,JPN,2021,4976552769,Non-gaming
Japan,JPN,2022,4782413598,Non-gaming
Japan,JPN,2023,5071984926,Non-gaming
Japan,JPN,2024,5402310635,Non-gaming
U.K.,GBR,2014,254671356,Non-gaming
U.K.,GBR,2015,284875899.6,Non-gaming
U.K.,GBR,2016,316753108.3,Non-gaming
U.K.,GBR,2017,393175845.2,Non-gaming
U.K.,GBR,2018,644804497.5,Non-gaming
U.K.,GBR,2019,842450587.5,Non-gaming
U.K.,GBR,2020,1181996612,Non-gaming
U.K.,GBR,2021,1630295066,Non-gaming
U.K.,GBR,2022,1768134302,Non-gaming
U.K.,GBR,2023,2247917231,Non-gaming
U.K.,GBR,2024,2947096773,Non-gaming
Germany,DEU,2014,166026866,Non-gaming
Germany,DEU,2015,158484740.7,Non-gaming
Germany,DEU,2016,178588624,Non-gaming
Germany,DEU,2017,238903001.2,Non-gaming
Germany,DEU,2018,380783421.4,Non-gaming
Germany,DEU,2019,493333024.7,Non-gaming
Germany,DEU,2020,734604994.7,Non-gaming
Germany,DEU,2021,1044827173,Non-gaming
Germany,DEU,2022,1258130486,Non-gaming
Germany,DEU,2023,1651262690,Non-gaming
Germany,DEU,2024,2289272087,Non-gaming
Canada,CAN,2014,99247615,Non-gaming
Canada,CAN,2015,107704968.5,Non-gaming
Canada,CAN,2016,145549629.7,Non-gaming
Canada,CAN,2017,213564067.9,Non-gaming
Canada,CAN,2018,340251407.9,Non-gaming
Canada,CAN,2019,472323664.4,Non-gaming
Canada,CAN,2020,722208279.7,Non-gaming
Canada,CAN,2021,1047580722,Non-gaming
Canada,CAN,2022,1230767376,Non-gaming
Canada,CAN,2023,1395937591,Non-gaming
Canada,CAN,2024,1669551221,Non-gaming
Australia,AUS,2014,126679860,Non-gaming
Australia,AUS,2015,136594951.4,Non-gaming
Australia,AUS,2016,175193826,Non-gaming
Australia,AUS,2017,235590710.1,Non-gaming
Australia,AUS,2018,356069515.9,Non-gaming
Australia,AUS,2019,452126773.8,Non-gaming
Australia,AUS,2020,632390793,Non-gaming
Australia,AUS,2021,977205087.2,Non-gaming
Australia,AUS,2022,1106216315,Non-gaming
Australia,AUS,2023,1270163025,Non-gaming
Australia,AUS,2024,1528315583,Non-gaming
South Korea,KOR,2014,90818744,Non-gaming
South Korea,KOR,2015,135533061.1,Non-gaming
South Korea,KOR,2016,226440204.5,Non-gaming
South Korea,KOR,2017,326910663.3,Non-gaming
South Korea,KOR,2018,444441315.4,Non-gaming
South Korea,KOR,2019,458676113.1,Non-gaming
South Korea,KOR,2020,635141311.9,Non-gaming
South Korea,KOR,2021,817614499.8,Non-gaming
South Korea,KOR,2022,944658985.3,Non-gaming
South Korea,KOR,2023,1292291823,Non-gaming
South Korea,KOR,2024,1535677383,Non-gaming
France,FRA,2014,119783195,Non-gaming
France,FRA,2015,123381893.3,Non-gaming
France,FRA,2016,155805766.2,Non-gaming
France,FRA,2017,214951742.4,Non-gaming
France,FRA,2018,355161477.1,Non-gaming
France,FRA,2019,448793620.3,Non-gaming
France,FRA,2020,613698446.8,Non-gaming
France,FRA,2021,811920418.5,Non-gaming
France,FRA,2022,934690727.4,Non-gaming
France,FRA,2023,1169823152,Non-gaming
France,FRA,2024,1636727727,Non-gaming
Brazil,BRA,2014,59564332,Non-gaming
Brazil,BRA,2015,76681342.84,Non-gaming
Brazil,BRA,2016,88438137.67,Non-gaming
Brazil,BRA,2017,142953380.2,Non-gaming
Brazil,BRA,2018,247976846.3,Non-gaming
Brazil,BRA,2019,365551826.7,Non-gaming
Brazil,BRA,2020,378930088.1,Non-gaming
Brazil,BRA,2021,467131268.4,Non-gaming
Brazil,BRA,2022,758739884.1,Non-gaming
Brazil,BRA,2023,1085616945,Non-gaming
Brazil,BRA,2024,1341909994,Non-gaming
Mexico,MEX,2014,29840534,Non-gaming
Mexico,MEX,2015,39257679.29,Non-gaming
Mexico,MEX,2016,54702815.4,Non-gaming
Mexico,MEX,2017,86730770.67,Non-gaming
Mexico,MEX,2018,137865157.4,Non-gaming
Mexico,MEX,2019,176039896.4,Non-gaming
Mexico,MEX,2020,197405527.4,Non-gaming
Mexico,MEX,2021,275010019.6,Non-gaming
Mexico,MEX,2022,382097243.9,Non-gaming
Mexico,MEX,2023,652599087.4,Non-gaming
Mexico,MEX,2024,923863438,Non-gaming
India,IND,2014,8267856,Non-gaming
India,IND,2015,14702083.32,Non-gaming
India,IND,2016,30474113.78,Non-gaming
India,IND,2017,70812066.59,Non-gaming
India,IND,2018,130699627.5,Non-gaming
India,IND,2019,192693275.1,Non-gaming
India,IND,2020,276896772.7,Non-gaming
India,IND,2021,263852112,Non-gaming
India,IND,2022,289767304.3,Non-gaming
India,IND,2023,365159095.1,Non-gaming
India,IND,2024,482704910.6,Non-gaming
Indonesia,IDN,2014,9336280,Non-gaming
Indonesia,IDN,2015,12904471.52,Non-gaming
Indonesia,IDN,2016,29039849.36,Non-gaming
Indonesia,IDN,2017,51975798.26,Non-gaming
Indonesia,IDN,2018,54641597.14,Non-gaming
Indonesia,IDN,2019,90234869.07,Non-gaming
Indonesia,IDN,2020,134398181.2,Non-gaming
Indonesia,IDN,2021,183241220.3,Non-gaming
Indonesia,IDN,2022,235827801.4,Non-gaming
Indonesia,IDN,2023,348470802,Non-gaming
Indonesia,IDN,2024,545525737.9,Non-gaming
Vietnam,VNM,2014,2985369,Non-gaming
Vietnam,VNM,2015,4292707.9,Non-gaming
Vietnam,VNM,2016,4720721.57,Non-gaming
Vietnam,VNM,2017,10246394.35,Non-gaming
Vietnam,VNM,2018,22442907.85,Non-gaming
Vietnam,VNM,2019,39964867.1,Non-gaming
Vietnam,VNM,2020,60558418.1,Non-gaming
Vietnam,VNM,2021,104893703.1,Non-gaming
Vietnam,VNM,2022,119588984.1,Non-gaming
Vietnam,VNM,2023,142892714.5,Non-gaming
Vietnam,VNM,2024,173208434.3,Non-gaming
U.S.,USA,2014,5132396103,Gaming
U.S.,USA,2015,6965864324,Gaming
U.S.,USA,2016,8920722737,Gaming
U.S.,USA,2017,10903132354,Gaming
U.S.,USA,2018,12879536498,Gaming
U.S.,USA,2019,16106420688,Gaming
U.S.,USA,2020,21903544305,Gaming
U.S.,USA,2021,24371755439,Gaming
U.S.,USA,2022,22540161546,Gaming
U.S.,USA,2023,23810460946,Gaming
U.S.,USA,2024,25962985227,Gaming
Japan,JPN,2014,5633154652,Gaming
Japan,JPN,2015,7936116446,Gaming
Japan,JPN,2016,10814778633,Gaming
Japan,JPN,2017,12019098166,Gaming
Japan,JPN,2018,13870677783,Gaming
Japan,JPN,2019,14480655174,Gaming
Japan,JPN,2020,15201389981,Gaming
Japan,JPN,2021,15406093610,Gaming
Japan,JPN,2022,12733052073,Gaming
Japan,JPN,2023,11751114228,Gaming
Japan,JPN,2024,11236173729,Gaming
South Korea,KOR,2014,1442217467,Gaming
South Korea,KOR,2015,1946055789,Gaming
South Korea,KOR,2016,2453035593,Gaming
South Korea,KOR,2017,3096768186,Gaming
South Korea,KOR,2018,3404387509,Gaming
South Korea,KOR,2019,3483376572,Gaming
South Korea,KOR,2020,4834886387,Gaming
South Korea,KOR,2021,5415227989,Gaming
South Korea,KOR,2022,4776129852,Gaming
South Korea,KOR,2023,5049825310,Gaming
South Korea,KOR,2024,5260241957,Gaming
Germany,DEU,2014,594123021.3,Gaming
Germany,DEU,2015,602252244.8,Gaming
Germany,DEU,2016,839808504.9,Gaming
Germany,DEU,2017,1082949586,Gaming
Germany,DEU,2018,1373396127,Gaming
Germany,DEU,2019,1590726697,Gaming
Germany,DEU,2020,2055642879,Gaming
Germany,DEU,2021,2380835318,Gaming
Germany,DEU,2022,2207886001,Gaming
Germany,DEU,2023,2466647932,Gaming
Germany,DEU,2024,2727515023,Gaming
U.K.,GBR,2014,824123490.2,Gaming
U.K.,GBR,2015,848563398.5,Gaming
U.K.,GBR,2016,948798280.4,Gaming
U.K.,GBR,2017,1002383430,Gaming
U.K.,GBR,2018,1144182910,Gaming
U.K.,GBR,2019,1315632761,Gaming
U.K.,GBR,2020,1724274991,Gaming
U.K.,GBR,2021,1998055026,Gaming
U.K.,GBR,2022,1719257361,Gaming
U.K.,GBR,2023,1996379373,Gaming
U.K.,GBR,2024,2339364001,Gaming
Canada,CAN,2014,455119709.5,Gaming
Canada,CAN,2015,532791356.5,Gaming
Canada,CAN,2016,659628937.4,Gaming
Canada,CAN,2017,793692493.4,Gaming
Canada,CAN,2018,880742509.2,Gaming
Canada,CAN,2019,1088362938,Gaming
Canada,CAN,2020,1572625600,Gaming
Canada,CAN,2021,1692648632,Gaming
Canada,CAN,2022,1508469297,Gaming
Canada,CAN,2023,1508107198,Gaming
Canada,CAN,2024,1638033365,Gaming
Australia,AUS,2014,533163634.3,Gaming
Australia,AUS,2015,557639926.6,Gaming
Australia,AUS,2016,700037791.5,Gaming
Australia,AUS,2017,775345546.2,Gaming
Australia,AUS,2018,861899718.4,Gaming
Australia,AUS,2019,927244539.2,Gaming
Australia,AUS,2020,1209795569,Gaming
Australia,AUS,2021,1366728858,Gaming
Australia,AUS,2022,1292276499,Gaming
Australia,AUS,2023,1282231115,Gaming
Australia,AUS,2024,1370165371,Gaming
France,FRA,2014,438833566.2,Gaming
France,FRA,2015,452546116.9,Gaming
France,FRA,2016,606566650.9,Gaming
France,FRA,2017,703480462.7,Gaming
France,FRA,2018,820346392.7,Gaming
France,FRA,2019,919252729.7,Gaming
France,FRA,2020,1150983606,Gaming
France,FRA,2021,1206275780,Gaming
France,FRA,2022,1109885430,Gaming
France,FRA,2023,1235235985,Gaming
France,FRA,2024,1473003046,Gaming
Brazil,BRA,2014,118501434.1,Gaming
Brazil,BRA,2015,144343287.9,Gaming
Brazil,BRA,2016,172560979.9,Gaming
Brazil,BRA,2017,218130532.5,Gaming
Brazil,BRA,2018,320271064.4,Gaming
Brazil,BRA,2019,510173673.6,Gaming
Brazil,BRA,2020,504249946.2,Gaming
Brazil,BRA,2021,477564963.2,Gaming
Brazil,BRA,2022,504676632,Gaming
Brazil,BRA,2023,538578745.2,Gaming
Brazil,BRA,2024,593275367.5,Gaming
Mexico,MEX,2014,65730119.32,Gaming
Mexico,MEX,2015,81917274.83,Gaming
Mexico,MEX,2016,113320587.9,Gaming
Mexico,MEX,2017,143768563.4,Gaming
Mexico,MEX,2018,179743934.1,Gaming
Mexico,MEX,2019,280013744.6,Gaming
Mexico,MEX,2020,379049981.9,Gaming
Mexico,MEX,2021,495569214.7,Gaming
Mexico,MEX,2022,524064936.8,Gaming
Mexico,MEX,2023,554197195.9,Gaming
Mexico,MEX,2024,668630856.6,Gaming
