Country,Country code,year,category,category2,revenue
모든 국가,All countries,2024,엔터테인먼트,비게임,18284065169
모든 국가,All countries,2023,엔터테인먼트,비게임,14654531855
모든 국가,All countries,2022,엔터테인먼트,비게임,12409520207
모든 국가,All countries,2021,엔터테인먼트,비게임,9678317316
모든 국가,All countries,2024,사진 및 비디오,비게임,7114922287
모든 국가,All countries,2020,엔터테인먼트,비게임,6797308137
모든 국가,All countries,2024,생산성,비게임,6352776635
모든 국가,All countries,2023,사진 및 비디오,비게임,5435865906
모든 국가,All countries,2019,엔터테인먼트,비게임,4447478976
모든 국가,All countries,2023,생산성,비게임,4350593976
모든 국가,All countries,2024,라이프스타일,비게임,4299109722
모든 국가,All countries,2024,소셜 네트워킹,비게임,4239466842
모든 국가,All countries,2021,소셜 네트워킹,비게임,4106311832
모든 국가,All countries,2022,사진 및 비디오,비게임,3993275380
모든 국가,All countries,2018,엔터테인먼트,비게임,3920451787
모든 국가,All countries,2023,소셜 네트워킹,비게임,3873377741
모든 국가,All countries,2022,소셜 네트워킹,비게임,3760871608
모든 국가,All countries,2023,라이프스타일,비게임,3743514296
모든 국가,All countries,2021,사진 및 비디오,비게임,3511793373
모든 국가,All countries,2024,건강 및 피트니스,비게임,3358389248
모든 국가,All countries,2020,소셜 네트워킹,비게임,3299076281
모든 국가,All countries,2022,생산성,비게임,3216392089
모든 국가,All countries,2024,교육,비게임,3186344135
모든 국가,All countries,2022,라이프스타일,비게임,3098981442
모든 국가,All countries,2023,건강 및 피트니스,비게임,2960864798
모든 국가,All countries,2024,소셜,비게임,2786592190
모든 국가,All countries,2023,교육,비게임,2729109354
모든 국가,All countries,2020,사진 및 비디오,비게임,2699425181
모든 국가,All countries,2024,도서,비게임,2690978582
모든 국가,All countries,2022,건강 및 피트니스,비게임,2626037750
모든 국가,All countries,2021,생산성,비게임,2537430430
모든 국가,All countries,2021,라이프스타일,비게임,2517207266
모든 국가,All countries,2023,도서,비게임,2480565234
모든 국가,All countries,2021,건강 및 피트니스,비게임,2347606030
모든 국가,All countries,2019,소셜 네트워킹,비게임,2278057791
모든 국가,All countries,2022,교육,비게임,2268506100
모든 국가,All countries,2022,도서,비게임,2206989743
모든 국가,All countries,2023,소셜,비게임,2198432869
모든 국가,All countries,2017,엔터테인먼트,비게임,2168898969
모든 국가,All countries,2021,교육,비게임,2130345783
모든 국가,All countries,2024,비즈니스,비게임,2093464533
모든 국가,All countries,2021,도서,비게임,2089750536
모든 국가,All countries,2024,스포츠,비게임,2026836275
모든 국가,All countries,2022,소셜,비게임,1997566342
모든 국가,All countries,2018,소셜 네트워킹,비게임,1981620871
모든 국가,All countries,2020,라이프스타일,비게임,1955327184
모든 국가,All countries,2023,스포츠,비게임,1846355384
모든 국가,All countries,2020,건강 및 피트니스,비게임,1786382187
모든 국가,All countries,2019,사진 및 비디오,비게임,1750043972
모든 국가,All countries,2020,생산성,비게임,1689713060
모든 국가,All countries,2023,비즈니스,비게임,1678946101
모든 국가,All countries,2017,소셜 네트워킹,비게임,1668608233
모든 국가,All countries,2020,교육,비게임,1647428415
모든 국가,All countries,2019,라이프스타일,비게임,1644166960
모든 국가,All countries,2024,유틸리티,비게임,1617107296
모든 국가,All countries,2021,소셜,비게임,1559290849
모든 국가,All countries,2022,스포츠,비게임,1533295562
모든 국가,All countries,2020,도서,비게임,1469347275
모든 국가,All countries,2019,생산성,비게임,1293219762
모든 국가,All countries,2022,비즈니스,비게임,1247630700
모든 국가,All countries,2018,라이프스타일,비게임,1242088404
모든 국가,All countries,2023,유틸리티,비게임,1224723991
모든 국가,All countries,2019,건강 및 피트니스,비게임,1179680077
모든 국가,All countries,2021,스포츠,비게임,1169005144
모든 국가,All countries,2024,데이트,비게임,1168764954
모든 국가,All countries,2018,사진 및 비디오,비게임,1122749418
모든 국가,All countries,2020,소셜,비게임,1120672767
모든 국가,All countries,2019,교육,비게임,1094079998
모든 국가,All countries,2016,소셜 네트워킹,비게임,1063600005
모든 국가,All countries,2016,엔터테인먼트,비게임,1049469463
모든 국가,All countries,2021,비즈니스,비게임,1011038859
모든 국가,All countries,2019,도서,비게임,972040409.4
모든 국가,All countries,2022,유틸리티,비게임,971297741.4
