Country,Country code,year,category,category2,revenue
All countries,All countries,2024,Entertainment,Non-Gaming,18284065169
All countries,All countries,2023,Entertainment,Non-Gaming,14654531855
All countries,All countries,2022,Entertainment,Non-Gaming,12409520207
All countries,All countries,2021,Entertainment,Non-Gaming,9678317316
All countries,All countries,2024,Photo & Video,Non-Gaming,7114922287
All countries,All countries,2020,Entertainment,Non-Gaming,6797308137
All countries,All countries,2024,Productivity,Non-Gaming,6352776635
All countries,All countries,2023,Photo & Video,Non-Gaming,5435865906
All countries,All countries,2019,Entertainment,Non-Gaming,4447478976
All countries,All countries,2023,Productivity,Non-Gaming,4350593976
All countries,All countries,2024,Lifestyle,Non-Gaming,4299109722
All countries,All countries,2024,Social Networking,Non-Gaming,4239466842
All countries,All countries,2021,Social Networking,Non-Gaming,4106311832
All countries,All countries,2022,Photo & Video,Non-Gaming,3993275380
All countries,All countries,2018,Entertainment,Non-Gaming,3920451787
All countries,All countries,2023,Social Networking,Non-Gaming,3873377741
All countries,All countries,2022,Social Networking,Non-Gaming,3760871608
All countries,All countries,2023,Lifestyle,Non-Gaming,3743514296
All countries,All countries,2021,Photo & Video,Non-Gaming,3511793373
All countries,All countries,2024,Health & Fitness,Non-Gaming,3358389248
All countries,All countries,2020,Social Networking,Non-Gaming,3299076281
All countries,All countries,2022,Productivity,Non-Gaming,3216392089
All countries,All countries,2024,Education,Non-Gaming,3186344135
All countries,All countries,2022,Lifestyle,Non-Gaming,3098981442
All countries,All countries,2023,Health & Fitness,Non-Gaming,2960864798
All countries,All countries,2024,Social,Non-Gaming,2786592190
All countries,All countries,2023,Education,Non-Gaming,2729109354
All countries,All countries,2020,Photo & Video,Non-Gaming,2699425181
All countries,All countries,2024,Books,Non-Gaming,2690978582
All countries,All countries,2022,Health & Fitness,Non-Gaming,2626037750
All countries,All countries,2021,Productivity,Non-Gaming,2537430430
All countries,All countries,2021,Lifestyle,Non-Gaming,2517207266
All countries,All countries,2023,Books,Non-Gaming,2480565234
All countries,All countries,2021,Health & Fitness,Non-Gaming,2347606030
All countries,All countries,2019,Social Networking,Non-Gaming,2278057791
All countries,All countries,2022,Education,Non-Gaming,2268506100
All countries,All countries,2022,Books,Non-Gaming,2206989743
All countries,All countries,2023,Social,Non-Gaming,2198432869
All countries,All countries,2017,Entertainment,Non-Gaming,2168898969
All countries,All countries,2021,Education,Non-Gaming,2130345783
All countries,All countries,2024,Business,Non-Gaming,2093464533
All countries,All countries,2021,Books,Non-Gaming,2089750536
All countries,All countries,2024,Sports,Non-Gaming,2026836275
All countries,All countries,2022,Social,Non-Gaming,1997566342
All countries,All countries,2018,Social Networking,Non-Gaming,1981620871
All countries,All countries,2020,Lifestyle,Non-Gaming,1955327184
All countries,All countries,2023,Sports,Non-Gaming,1846355384
All countries,All countries,2020,Health & Fitness,Non-Gaming,1786382187
All countries,All countries,2019,Photo & Video,Non-Gaming,1750043972
All countries,All countries,2020,Productivity,Non-Gaming,1689713060
All countries,All countries,2023,Business,Non-Gaming,1678946101
All countries,All countries,2017,Social Networking,Non-Gaming,1668608233
All countries,All countries,2020,Education,Non-Gaming,1647428415
All countries,All countries,2019,Lifestyle,Non-Gaming,1644166960
All countries,All countries,2024,Utilities,Non-Gaming,1617107296
All countries,All countries,2021,Social,Non-Gaming,1559290849
All countries,All countries,2022,Sports,Non-Gaming,1533295562
All countries,All countries,2020,Books,Non-Gaming,1469347275
All countries,All countries,2019,Productivity,Non-Gaming,1293219762
All countries,All countries,2022,Business,Non-Gaming,1247630700
All countries,All countries,2018,Lifestyle,Non-Gaming,1242088404
All countries,All countries,2023,Utilities,Non-Gaming,1224723991
All countries,All countries,2019,Health & Fitness,Non-Gaming,1179680077
All countries,All countries,2021,Sports,Non-Gaming,1169005144
All countries,All countries,2024,Dating,Non-Gaming,1168764954
All countries,All countries,2018,Photo & Video,Non-Gaming,1122749418
All countries,All countries,2020,Social,Non-Gaming,1120672767
All countries,All countries,2019,Education,Non-Gaming,1094079998
All countries,All countries,2016,Social Networking,Non-Gaming,1063600005
All countries,All countries,2016,Entertainment,Non-Gaming,1049469463
All countries,All countries,2021,Business,Non-Gaming,1011038859
All countries,All countries,2019,Books,Non-Gaming,972040409.4
All countries,All countries,2022,Utilities,Non-Gaming,971297741.4
All countries,All countries,2018,Productivity,Non-Gaming,946558938.4
All countries,All countries,2023,Dating,Non-Gaming,932311695.6
All countries,All countries,2021,Utilities,Non-Gaming,893035008.2
All countries,All countries,2024,Music & Audio,Non-Gaming,864471480.7
All countries,All countries,2018,Health & Fitness,Non-Gaming,815411864.6
All countries,All countries,2018,Education,Non-Gaming,809374311.6
