Country,Country code,Value,Year,Region
インド,IND,666017365427,2021,アジア
インド,IND,748430491575,2022,アジア
インド,IND,885551435467,2023,アジア
インド,IND,1015088259547,2024,アジア
インド,IND,0.1111036211,CAGR,アジア
インドネシア,IDN,291619538537,2021,アジア
インドネシア,IDN,305807512310,2022,アジア
インドネシア,IDN,315542917758,2023,アジア
インドネシア,IDN,324727879910,2024,アジア
インドネシア,IDN,0.02724902961,CAGR,アジア
アメリカ合衆国,USA,263276338547,2021,南北アメリカ大陸
アメリカ合衆国,USA,273449903405,2022,南北アメリカ大陸
アメリカ合衆国,USA,281142322373,2023,南北アメリカ大陸
アメリカ合衆国,USA,277983187390,2024,南北アメリカ大陸
アメリカ合衆国,USA,0.01368186095,CAGR,南北アメリカ大陸
ブラジル,BRA,210718043042,2021,南北アメリカ大陸
ブラジル,BRA,205706276267,2022,南北アメリカ大陸
ブラジル,BRA,204749830759,2023,南北アメリカ大陸
ブラジル,BRA,206852811074,2024,南北アメリカ大陸
ブラジル,BRA,-0.004617672669,CAGR,南北アメリカ大陸
ロシア,RUS,124032571663,2021,アジア
ロシア,RUS,137385373885,2022,アジア
ロシア,RUS,148794297975,2023,アジア
ロシア,RUS,154755441565,2024,アジア
ロシア,RUS,0.05688453994,CAGR,アジア
メキシコ,MEX,121460502740,2021,南北アメリカ大陸
メキシコ,MEX,118298452954,2022,南北アメリカ大陸
メキシコ,MEX,127609480380,2023,南北アメリカ大陸
メキシコ,MEX,132363788014,2024,南北アメリカ大陸
メキシコ,MEX,0.02172384308,CAGR,南北アメリカ大陸
トルコ,TUR,79351786148,2021,中東
トルコ,TUR,82786028916,2022,中東
トルコ,TUR,90418048916,2023,中東
トルコ,TUR,91630548708,2024,中東
トルコ,TUR,0.03662313035,CAGR,中東
フィリピン,PHL,78699590750,2021,アジア
フィリピン,PHL,83325935407,2022,アジア
フィリピン,PHL,83970082665,2023,アジア
フィリピン,PHL,90816314048,2024,アジア
フィリピン,PHL,0.0364487911,CAGR,アジア
ベトナム,VNM,86940460759,2021,アジア
ベトナム,VNM,87517516203,2022,アジア
ベトナム,VNM,88442236645,2023,アジア
ベトナム,VNM,90424412612,2024,アジア
ベトナム,VNM,0.009871090125,CAGR,アジア
日本,JPN,91023803120,2021,アジア
日本,JPN,92151403707,2022,アジア
日本,JPN,89191092174,2023,アジア
日本,JPN,88751718760,2024,アジア
日本,JPN,-0.006299636207,CAGR,アジア
パキスタン,PAK,43250028498,2021,アジア
パキスタン,PAK,52808474173,2022,アジア
パキスタン,PAK,59824319425,2023,アジア
パキスタン,PAK,68492378458,2024,アジア
パキスタン,PAK,0.1217961946,CAGR,アジア
ナイジェリア,NGA,41348885984,2021,アフリカ
ナイジェリア,NGA,49919811425,2022,アフリカ
ナイジェリア,NGA,58500668670,2023,アフリカ
ナイジェリア,NGA,67797661494,2024,アフリカ
ナイジェリア,NGA,0.1315864156,CAGR,アフリカ
エジプト,EGY,54320698215,2021,中東
エジプト,EGY,58726095953,2022,中東
エジプト,EGY,63571696417,2023,中東
エジプト,EGY,67406531880,2024,中東
エジプト,EGY,0.05544148345,CAGR,中東
タイ,THA,67066970374,2021,アジア
タイ,THA,67702785410,2022,アジア
タイ,THA,66922851954,2023,アジア
タイ,THA,67077741004,2024,アジア
タイ,THA,0.00004014637148,CAGR,アジア
イギリス,GBR,52619508196,2021,ヨーロッパ
イギリス,GBR,53556939588,2022,ヨーロッパ
イギリス,GBR,55598662952,2023,ヨーロッパ
イギリス,GBR,55852480386,2024,ヨーロッパ
イギリス,GBR,0.01501841148,CAGR,ヨーロッパ
ドイツ,DEU,46340492643,2021,ヨーロッパ
ドイツ,DEU,47175944341,2022,ヨーロッパ
ドイツ,DEU,48676233559,2023,ヨーロッパ
ドイツ,DEU,49950260332,2024,ヨーロッパ
ドイツ,DEU,0.01892983152,CAGR,ヨーロッパ
イタリア,ITA,39947143058,2021,ヨーロッパ
イタリア,ITA,42737313670,2022,ヨーロッパ
イタリア,ITA,43892711754,2023,ヨーロッパ
イタリア,ITA,44055385819,2024,ヨーロッパ
イタリア,ITA,0.0247745258,CAGR,ヨーロッパ
フランス,FRA,38525339979,2021,ヨーロッパ
フランス,FRA,40348338314,2022,ヨーロッパ
フランス,FRA,41407130859,2023,ヨーロッパ
フランス,FRA,42262831378,2024,ヨーロッパ
フランス,FRA,0.02341794377,CAGR,ヨーロッパ
コロンビア,COL,36835589230,2021,南北アメリカ大陸
コロンビア,COL,37228880469,2022,南北アメリカ大陸
コロンビア,COL,40374352193,2023,南北アメリカ大陸
コロンビア,COL,42083996834,2024,南北アメリカ大陸
コロンビア,COL,0.03386144421,CAGR,南北アメリカ大陸
韓国,KOR,45949810032,2021,アジア
韓国,KOR,44377500563,2022,アジア
韓国,KOR,43044815934,2023,アジア
韓国,KOR,41693294458,2024,アジア
韓国,KOR,-0.02400942635,CAGR,アジア
スペイン,ESP,32857624930,2021,ヨーロッパ
スペイン,ESP,35143681155,2022,ヨーロッパ
スペイン,ESP,36653579048,2023,ヨーロッパ
スペイン,ESP,37701073030,2024,ヨーロッパ
スペイン,ESP,0.03497387123,CAGR,ヨーロッパ
アルゼンチン,ARG,31416126299,2021,南北アメリカ大陸
アルゼンチン,ARG,32860853116,2022,南北アメリカ大陸
アルゼンチン,ARG,36032414761,2023,南北アメリカ大陸
アルゼンチン,ARG,37273554346,2024,南北アメリカ大陸
アルゼンチン,ARG,0.04366722091,CAGR,南北アメリカ大陸
マレーシア,MYS,36595434034,2021,アジア
マレーシア,MYS,34513198810,2022,アジア
マレーシア,MYS,34216546633,2023,アジア
マレーシア,MYS,34627843367,2024,アジア
マレーシア,MYS,-0.01372134215,CAGR,アジア
サウジアラビア,SAU,31614379482,2021,中東
サウジアラビア,SAU,32823946703,2022,中東
サウジアラビア,SAU,33745588651,2023,中東
サウジアラビア,SAU,34417731969,2024,中東
サウジアラビア,SAU,0.02146713139,CAGR,中東
ペルー,PER,26827884887,2021,南北アメリカ大陸
ペルー,PER,26893059702,2022,南北アメリカ大陸
ペルー,PER,28536193657,2023,南北アメリカ大陸
ペルー,PER,30558520238,2024,南北アメリカ大陸
ペルー,PER,0.03308598885,CAGR,南北アメリカ大陸
南アフリカ,ZAF,20028766946,2021,アフリカ
南アフリカ,ZAF,22618328310,2022,アフリカ
南アフリカ,ZAF,25986759051,2023,アフリカ
南アフリカ,ZAF,30445268128,2024,アフリカ
南アフリカ,ZAF,0.1103666201,CAGR,アフリカ
