Country,Country code,Value,Year,Region
印度,IND,666017365427,2021,亚洲
印度,IND,748430491575,2022,亚洲
印度,IND,885551435467,2023,亚洲
印度,IND,1015088259547,2024,亚洲
印度,IND,0.1111036211,CAGR,亚洲
印度尼西亚,IDN,291619538537,2021,亚洲
印度尼西亚,IDN,305807512310,2022,亚洲
印度尼西亚,IDN,315542917758,2023,亚洲
印度尼西亚,IDN,324727879910,2024,亚洲
印度尼西亚,IDN,0.02724902961,CAGR,亚洲
美国,USA,263276338547,2021,美洲
美国,USA,273449903405,2022,美洲
美国,USA,281142322373,2023,美洲
美国,USA,277983187390,2024,美洲
美国,USA,0.01368186095,CAGR,美洲
巴西,BRA,210718043042,2021,美洲
巴西,BRA,205706276267,2022,美洲
巴西,BRA,204749830759,2023,美洲
巴西,BRA,206852811074,2024,美洲
巴西,BRA,-0.004617672669,CAGR,美洲
俄罗斯,RUS,124032571663,2021,亚洲
俄罗斯,RUS,137385373885,2022,亚洲
俄罗斯,RUS,148794297975,2023,亚洲
俄罗斯,RUS,154755441565,2024,亚洲
俄罗斯,RUS,0.05688453994,CAGR,亚洲
墨西哥,MEX,121460502740,2021,美洲
墨西哥,MEX,118298452954,2022,美洲
墨西哥,MEX,127609480380,2023,美洲
墨西哥,MEX,132363788014,2024,美洲
墨西哥,MEX,0.02172384308,CAGR,美洲
土耳其,TUR,79351786148,2021,中东
土耳其,TUR,82786028916,2022,中东
土耳其,TUR,90418048916,2023,中东
土耳其,TUR,91630548708,2024,中东
土耳其,TUR,0.03662313035,CAGR,中东
菲律宾,PHL,78699590750,2021,亚洲
菲律宾,PHL,83325935407,2022,亚洲
菲律宾,PHL,83970082665,2023,亚洲
菲律宾,PHL,90816314048,2024,亚洲
菲律宾,PHL,0.0364487911,CAGR,亚洲
越南,VNM,86940460759,2021,亚洲
越南,VNM,87517516203,2022,亚洲
越南,VNM,88442236645,2023,亚洲
越南,VNM,90424412612,2024,亚洲
越南,VNM,0.009871090125,CAGR,亚洲
日本,JPN,91023803120,2021,亚洲
日本,JPN,92151403707,2022,亚洲
日本,JPN,89191092174,2023,亚洲
日本,JPN,88751718760,2024,亚洲
日本,JPN,-0.006299636207,CAGR,亚洲
巴基斯坦,PAK,43250028498,2021,亚洲
巴基斯坦,PAK,52808474173,2022,亚洲
巴基斯坦,PAK,59824319425,2023,亚洲
巴基斯坦,PAK,68492378458,2024,亚洲
巴基斯坦,PAK,0.1217961946,CAGR,亚洲
尼日利亚,NGA,41348885984,2021,非洲
尼日利亚,NGA,49919811425,2022,非洲
尼日利亚,NGA,58500668670,2023,非洲
尼日利亚,NGA,67797661494,2024,非洲
尼日利亚,NGA,0.1315864156,CAGR,非洲
埃及,EGY,54320698215,2021,中东
埃及,EGY,58726095953,2022,中东
埃及,EGY,63571696417,2023,中东
埃及,EGY,67406531880,2024,中东
埃及,EGY,0.05544148345,CAGR,中东
泰国,THA,67066970374,2021,亚洲
泰国,THA,67702785410,2022,亚洲
泰国,THA,66922851954,2023,亚洲
泰国,THA,67077741004,2024,亚洲
泰国,THA,0.00004014637148,CAGR,亚洲
英国,GBR,52619508196,2021,欧洲
英国,GBR,53556939588,2022,欧洲
英国,GBR,55598662952,2023,欧洲
英国,GBR,55852480386,2024,欧洲
英国,GBR,0.01501841148,CAGR,欧洲
德国,DEU,46340492643,2021,欧洲
德国,DEU,47175944341,2022,欧洲
德国,DEU,48676233559,2023,欧洲
德国,DEU,49950260332,2024,欧洲
德国,DEU,0.01892983152,CAGR,欧洲
意大利,ITA,39947143058,2021,欧洲
意大利,ITA,42737313670,2022,欧洲
意大利,ITA,43892711754,2023,欧洲
意大利,ITA,44055385819,2024,欧洲
意大利,ITA,0.0247745258,CAGR,欧洲
法国,FRA,38525339979,2021,欧洲
法国,FRA,40348338314,2022,欧洲
法国,FRA,41407130859,2023,欧洲
法国,FRA,42262831378,2024,欧洲
法国,FRA,0.02341794377,CAGR,欧洲
哥伦比亚,COL,36835589230,2021,美洲
哥伦比亚,COL,37228880469,2022,美洲
哥伦比亚,COL,40374352193,2023,美洲
哥伦比亚,COL,42083996834,2024,美洲
哥伦比亚,COL,0.03386144421,CAGR,美洲
韩国,KOR,45949810032,2021,亚洲
韩国,KOR,44377500563,2022,亚洲
韩国,KOR,43044815934,2023,亚洲
韩国,KOR,41693294458,2024,亚洲
韩国,KOR,-0.02400942635,CAGR,亚洲
西班牙,ESP,32857624930,2021,欧洲
西班牙,ESP,35143681155,2022,欧洲
西班牙,ESP,36653579048,2023,欧洲
西班牙,ESP,37701073030,2024,欧洲
西班牙,ESP,0.03497387123,CAGR,欧洲
阿根廷,ARG,31416126299,2021,美洲
阿根廷,ARG,32860853116,2022,美洲
阿根廷,ARG,36032414761,2023,美洲
阿根廷,ARG,37273554346,2024,美洲
阿根廷,ARG,0.04366722091,CAGR,美洲
马来西亚,MYS,36595434034,2021,亚洲
马来西亚,MYS,34513198810,2022,亚洲
马来西亚,MYS,34216546633,2023,亚洲
马来西亚,MYS,34627843367,2024,亚洲
马来西亚,MYS,-0.01372134215,CAGR,亚洲
沙特阿拉伯,SAU,31614379482,2021,中东
沙特阿拉伯,SAU,32823946703,2022,中东
沙特阿拉伯,SAU,33745588651,2023,中东
沙特阿拉伯,SAU,34417731969,2024,中东
沙特阿拉伯,SAU,0.02146713139,CAGR,中东
秘鲁,PER,26827884887,2021,美洲
秘鲁,PER,26893059702,2022,美洲
秘鲁,PER,28536193657,2023,美洲
