Country,Country code,Value,Year,Region
India,IND,666017365427,2021,Asia
India,IND,748430491575,2022,Asia
India,IND,885551435467,2023,Asia
India,IND,1015088259547,2024,Asia
India,IND,0.1111036211,CAGR,Asia
Indonesia,IDN,291619538537,2021,Asia
Indonesia,IDN,305807512310,2022,Asia
Indonesia,IDN,315542917758,2023,Asia
Indonesia,IDN,324727879910,2024,Asia
Indonesia,IDN,0.02724902961,CAGR,Asia
U.S.,USA,263276338547,2021,Americas
U.S.,USA,273449903405,2022,Americas
U.S.,USA,281142322373,2023,Americas
U.S.,USA,277983187390,2024,Americas
U.S.,USA,0.01368186095,CAGR,Americas
Brazil,BRA,210718043042,2021,Americas
Brazil,BRA,205706276267,2022,Americas
Brazil,BRA,204749830759,2023,Americas
Brazil,BRA,206852811074,2024,Americas
Brazil,BRA,-0.004617672669,CAGR,Americas
Russia,RUS,124032571663,2021,Asia
Russia,RUS,137385373885,2022,Asia
Russia,RUS,148794297975,2023,Asia
Russia,RUS,154755441565,2024,Asia
Russia,RUS,0.05688453994,CAGR,Asia
Mexico,MEX,121460502740,2021,Americas
Mexico,MEX,118298452954,2022,Americas
Mexico,MEX,127609480380,2023,Americas
Mexico,MEX,132363788014,2024,Americas
Mexico,MEX,0.02172384308,CAGR,Americas
Turkey,TUR,79351786148,2021,Middle East
Turkey,TUR,82786028916,2022,Middle East
Turkey,TUR,90418048916,2023,Middle East
Turkey,TUR,91630548708,2024,Middle East
Turkey,TUR,0.03662313035,CAGR,Middle East
Philippines,PHL,78699590750,2021,Asia
Philippines,PHL,83325935407,2022,Asia
Philippines,PHL,83970082665,2023,Asia
Philippines,PHL,90816314048,2024,Asia
Philippines,PHL,0.0364487911,CAGR,Asia
Vietnam,VNM,86940460759,2021,Asia
Vietnam,VNM,87517516203,2022,Asia
Vietnam,VNM,88442236645,2023,Asia
Vietnam,VNM,90424412612,2024,Asia
Vietnam,VNM,0.009871090125,CAGR,Asia
Japan,JPN,91023803120,2021,Asia
Japan,JPN,92151403707,2022,Asia
Japan,JPN,89191092174,2023,Asia
Japan,JPN,88751718760,2024,Asia
Japan,JPN,-0.006299636207,CAGR,Asia
Pakistan,PAK,43250028498,2021,Asia
Pakistan,PAK,52808474173,2022,Asia
Pakistan,PAK,59824319425,2023,Asia
Pakistan,PAK,68492378458,2024,Asia
Pakistan,PAK,0.1217961946,CAGR,Asia
Nigeria,NGA,41348885984,2021,Africa
Nigeria,NGA,49919811425,2022,Africa
