Country,Value,Year,Region
United States,0.79,2023,North America
United States,0.74,2024,North America
Canada,2.36,2023,North America
Canada,1.76,2024,North America
Mexico,3.4,2023,North America
Mexico,3.88,2024,North America
Guatemala,1.12,2023,North America
Guatemala,0.68,2024,North America
Cuba,0.76,2023,North America
Cuba,0.63,2024,North America
Haiti,3.56,2023,North America
Haiti,2.33,2024,North America
Dominican Republic,1.98,2023,North America
Dominican Republic,1.74,2024,North America
Honduras,2.43,2023,North America
Honduras,2.24,2024,North America
Nicaragua,1.29,2023,North America
Nicaragua,1.25,2024,North America
Costa Rica,3.87,2023,North America
Costa Rica,3.56,2024,North America
Panama,3.12,2023,North America
Panama,2.97,2024,North America
Jamaica,2.78,2023,North America
Jamaica,3.46,2024,North America
Brazil,0.25,2023,South America
Brazil,0.21,2024,South America
Argentina,2.49,2023,South America
Argentina,2.08,2024,South America
Colombia,0.99,2023,South America
Colombia,0.87,2024,South America
Peru,2.1,2023,South America
Peru,2.84,2024,South America
Venezuela,0.99,2023,South America
Venezuela,0.77,2024,South America
Chile,3.71,2023,South America
Chile,4,2024,South America
Ecuador,1.92,2023,South America
Ecuador,1.38,2024,South America
Bolivia,3.55,2023,South America
Bolivia,4,2024,South America
Paraguay,-0.38,2023,South America
Paraguay,-0.24,2024,South America
Uruguay,0.66,2023,South America
Uruguay,0.55,2024,South America
Guyana,2.93,2023,South America
Guyana,2,2024,South America
Suriname,1.63,2023,South America
Suriname,1.44,2024,South America
Germany,0.18,2023,Europe
Germany,0.27,2024,Europe
United Kingdom,0.7,2023,Europe
United Kingdom,0.41,2024,Europe
France,2.49,2023,Europe
France,1.31,2024,Europe
Italy,2.83,2023,Europe
Italy,2.87,2024,Europe
Spain,2.68,2023,Europe
Spain,3.55,2024,Europe
Poland,0.44,2023,Europe
Poland,0.59,2024,Europe
Romania,3.35,2023,Europe
Romania,4,2024,Europe
Netherlands,0.08,2023,Europe
Netherlands,0.06,2024,Europe
Belgium,0.55,2023,Europe
Belgium,0.47,2024,Europe
Greece,3.95,2023,Europe
Greece,2.32,2024,Europe
Czech Republic,2.66,2023,Europe
Czech Republic,1.4,2024,Europe
Portugal,1.12,2023,Europe
Portugal,1.22,2024,Europe
Hungary,0.23,2023,Europe
Hungary,0.25,2024,Europe
Sweden,-0.63,2023,Europe
Sweden,-0.72,2024,Europe
Austria,-0.53,2023,Europe
Austria,-0.47,2024,Europe
Belarus,-0.46,2023,Europe
Belarus,-0.45,2024,Europe
Switzerland,2.04,2023,Europe
Switzerland,2.73,2024,Europe
Bulgaria,2.32,2023,Europe
Bulgaria,1.87,2024,Europe
Serbia,3.33,2023,Europe
Serbia,4,2024,Europe
Denmark,1.7,2023,Europe
Denmark,1.07,2024,Europe
Finland,1.21,2023,Europe
Finland,1,2024,Europe
Slovakia,2.82,2023,Europe
Slovakia,2.41,2024,Europe
Norway,0.8,2023,Europe
Norway,0.48,2024,Europe
Ireland,-0.25,2023,Europe
Ireland,-0.23,2024,Europe
Croatia,3.99,2023,Europe
Croatia,3.9,2024,Europe
Ukraine,0.07,2023,Europe
Ukraine,0.05,2024,Europe
Russia,1.22,2023,Europe
Russia,1.64,2024,Europe
China,2.49,2023,Asia
China,1.76,2024,Asia
India,2.18,2023,Asia
India,2.41,2024,Asia
Indonesia,0.96,2023,Asia
Indonesia,0.5,2024,Asia
Pakistan,2.18,2023,Asia
Pakistan,2.46,2024,Asia
Bangladesh,-0.42,2023,Asia
Bangladesh,-0.51,2024,Asia
Japan,2.97,2023,Asia
Japan,3.28,2024,Asia
Philippines,0.24,2023,Asia
Philippines,0.28,2024,Asia
Vietnam,2.25,2023,Asia
Vietnam,3.14,2024,Asia
Turkey,2.37,2023,Asia
Turkey,3.44,2024,Asia
Iran,1.76,2023,Asia
Iran,1.83,2024,Asia
Thailand,2.2,2023,Asia
Thailand,2.28,2024,Asia
Myanmar,0.97,2023,Asia
Myanmar,0.97,2024,Asia
South Korea,3.42,2023,Asia
South Korea,2.34,2024,Asia
Iraq,1.16,2023,Asia
Iraq,1.62,2024,Asia
Afghanistan,3.91,2023,Asia
Afghanistan,2.5,2024,Asia
Saudi Arabia,1.38,2023,Asia
Saudi Arabia,0.95,2024,Asia
Uzbekistan,-0.11,2023,Asia
Uzbekistan,-0.06,2024,Asia
Malaysia,2.99,2023,Asia
Malaysia,4,2024,Asia
Nepal,3.94,2023,Asia
Nepal,4,2024,Asia
Yemen,3.01,2023,Asia
Yemen,3.21,2024,Asia
North Korea,-0.02,2023,Asia
North Korea,-0.02,2024,Asia
Sri Lanka,0.5,2023,Asia
Sri Lanka,0.52,2024,Asia
Kazakhstan,0.96,2023,Asia
Kazakhstan,0.73,2024,Asia
Syria,1.73,2023,Asia
Syria,1.71,2024,Asia
Cambodia,3.54,2023,Asia
Cambodia,2.55,2024,Asia
Jordan,2.64,2023,Asia
Jordan,2.69,2024,Asia
Azerbaijan,2.48,2023,Asia
Azerbaijan,2.55,2024,Asia
United Arab Emirates,1.76,2023,Asia
United Arab Emirates,2.12,2024,Asia
Tajikistan,2.99,2023,Asia
Tajikistan,4,2024,Asia
Israel,2.33,2023,Asia
Israel,1.82,2024,Asia
Laos,3.98,2023,Asia
Laos,4,2024,Asia
Singapore,0.25,2023,Asia
Singapore,0.24,2024,Asia
Lebanon,3.85,2023,Asia
Lebanon,4,2024,Asia
Kuwait,3.17,2023,Asia
Kuwait,2.32,2024,Asia
Mongolia,3.07,2023,Asia
Mongolia,2.85,2024,Asia
Qatar,3.74,2023,Asia
Qatar,4,2024,Asia
Bahrain,2.46,2023,Asia
