Country,Country code,Value,Year,Region
India,IND,666017365427,2021,Asia
India,IND,748430491575,2022,Asia
India,IND,885551435467,2023,America
India,IND,1015088259547,2024,America
Indonesia,IDN,291619538537,2021,Europe
Indonesia,IDN,305807512310,2022,America
Indonesia,IDN,315542917758,2023,Asia
Indonesia,IDN,324727879910,2024,Asia
U.S.,USA,263276338547,2021,Asia
U.S.,USA,273449903405,2022,Asia
U.S.,USA,281142322373,2023,Asia
U.S.,USA,277983187390,2024,Africa
Brazil,BRA,210718043042,2021,Asia
Brazil,BRA,205706276267,2022,Europe
Brazil,BRA,204749830759,2023,Africa
Brazil,BRA,206852811074,2024,Europe
Russia,RUS,124032571663,2021,Asia
Russia,RUS,137385373885,2022,Europe
Russia,RUS,148794297975,2023,Europe
Russia,RUS,154755441565,2024,America
Mexico,MEX,121460502740,2021,Europe
Mexico,MEX,118298452954,2022,Asia
Mexico,MEX,127609480380,2023,America
Mexico,MEX,132363788014,2024,Asia
Japan,JPN,91023803120,2021,America
Japan,JPN,92151403707,2022,Europe
Japan,JPN,89191092174,2023,Africa
Japan,JPN,88751718760,2024,Africa
Vietnam,VNM,86940460759,2021,America
Vietnam,VNM,87517516203,2022,America
Vietnam,VNM,88442236645,2023,Europe
Vietnam,VNM,90424412612,2024,Asia
Turkey,TUR,79351786148,2021,Oceania
Turkey,TUR,82786028916,2022,Asia
Turkey,TUR,90418048916,2023,America
Turkey,TUR,91630548708,2024,America
Philippines,PHL,78699590750,2021,Asia
Philippines,PHL,83325935407,2022,Europe
Philippines,PHL,83970082665,2023,Europe
Philippines,PHL,90816314048,2024,Africa
Thailand,THA,67066970374,2021,Asia
Thailand,THA,67702785410,2022,Asia
Thailand,THA,66922851954,2023,Africa
Thailand,THA,67077741004,2024,Asia
Egypt,EGY,54320698215,2021,America
Egypt,EGY,58726095953,2022,America
Egypt,EGY,63571696417,2023,Asia
Egypt,EGY,67406531880,2024,Europe
Pakistan,PAK,43250028498,2021,Europe
Pakistan,PAK,52808474173,2022,Africa
Pakistan,PAK,59824319425,2023,Europe
Pakistan,PAK,68492378458,2024,Asia
U.K.,GBR,52619508196,2021,Europe
U.K.,GBR,53556939588,2022,Asia
U.K.,GBR,55598662952,2023,Europe
U.K.,GBR,55852480386,2024,Europe
Nigeria,NGA,41348885984,2021,America
Nigeria,NGA,49919811425,2022,Asia
Nigeria,NGA,58500668670,2023,Europe
Nigeria,NGA,67797661494,2024,Europe
