Country,Country code,Category,Value
オーストラリア,AUS,エンターテインメント,-38686616.39
オーストラリア,AUS,ソーシャルメディア,-153236134.9
オーストラリア,AUS,ゲーム,182917971.1
オーストラリア,AUS,ユーティリティ & 生産性,9147065.818
オーストラリア,AUS,その他,31804212.9
オーストラリア,AUS,ショッピング,31141699.1
オーストラリア,AUS,ファイナンス,5151541.401
オーストラリア,AUS,書籍・参考書,-5713350.734
オーストラリア,AUS,教育,3601880.786
オーストラリア,AUS,ニュース,-3874526.985
オーストラリア,AUS,スポーツ,-4285420.28
オーストラリア,AUS,生成AI,45792539.61
オーストラリア,AUS,健康・フィットネス,-318769.9703
ブラジル,BRA,エンターテインメント,-299035241
ブラジル,BRA,ソーシャルメディア,-318600140.7
ブラジル,BRA,ゲーム,1761693827
ブラジル,BRA,ユーティリティ & 生産性,-26019781.5
ブラジル,BRA,その他,329612555.4
ブラジル,BRA,ショッピング,139237798.9
ブラジル,BRA,ファイナンス,42941773.59
ブラジル,BRA,書籍・参考書,-12858437.1
ブラジル,BRA,教育,-2608699.075
ブラジル,BRA,ニュース,-7108048.586
ブラジル,BRA,スポーツ,-3713538.434
ブラジル,BRA,生成AI,452262415
ブラジル,BRA,健康・フィットネス,47175832.3
カナダ,CAN,エンターテインメント,-3811923.127
カナダ,CAN,ソーシャルメディア,-30290250.4
カナダ,CAN,ゲーム,271494989.8
カナダ,CAN,ユーティリティ & 生産性,7811045.298
カナダ,CAN,その他,42037594.02
カナダ,CAN,ショッピング,-4908072.833
カナダ,CAN,ファイナンス,11012096.96
カナダ,CAN,書籍・参考書,-5055389.911
カナダ,CAN,教育,3648645.865
カナダ,CAN,ニュース,-7179135.229
カナダ,CAN,スポーツ,5624724.279
カナダ,CAN,生成AI,112178877.7
カナダ,CAN,健康・フィットネス,7157160.296
ドイツ,DEU,エンターテインメント,-56488019.49
ドイツ,DEU,ソーシャルメディア,303349251.4
ドイツ,DEU,ゲーム,448074538.5
ドイツ,DEU,ユーティリティ & 生産性,134245851.5
ドイツ,DEU,その他,101128414.8
ドイツ,DEU,ショッピング,60921072.95
ドイツ,DEU,ファイナンス,40145975.1
ドイツ,DEU,書籍・参考書,-11512113.82
ドイツ,DEU,教育,26179759.71
ドイツ,DEU,ニュース,-13206128.2
ドイツ,DEU,スポーツ,-6323028.812
ドイツ,DEU,生成AI,233221044.6
ドイツ,DEU,健康・フィットネス,14290154.66
フランス,FRA,エンターテインメント,-202005576.7
