Country,Country code,Category,Value
澳大利亚,AUS,娱乐,-38686616.39
澳大利亚,AUS,社交媒体,-153236134.9
澳大利亚,AUS,游戏,182917971.1
澳大利亚,AUS,实用与效率,9147065.818
澳大利亚,AUS,其他,31804212.9
澳大利亚,AUS,购物,31141699.1
澳大利亚,AUS,金融,5151541.401
澳大利亚,AUS,图书与工具书,-5713350.734
澳大利亚,AUS,教育,3601880.786
澳大利亚,AUS,新闻,-3874526.985
澳大利亚,AUS,体育,-4285420.28
澳大利亚,AUS,生成式 AI,45792539.61
澳大利亚,AUS,健康与健身,-318769.9703
巴西,BRA,娱乐,-299035241
巴西,BRA,社交媒体,-318600140.7
巴西,BRA,游戏,1761693827
巴西,BRA,实用与效率,-26019781.5
巴西,BRA,其他,329612555.4
巴西,BRA,购物,139237798.9
巴西,BRA,金融,42941773.59
巴西,BRA,图书与工具书,-12858437.1
巴西,BRA,教育,-2608699.075
巴西,BRA,新闻,-7108048.586
巴西,BRA,体育,-3713538.434
巴西,BRA,生成式 AI,452262415
巴西,BRA,健康与健身,47175832.3
加拿大,CAN,娱乐,-3811923.127
加拿大,CAN,社交媒体,-30290250.4
加拿大,CAN,游戏,271494989.8
加拿大,CAN,实用与效率,7811045.298
加拿大,CAN,其他,42037594.02
加拿大,CAN,购物,-4908072.833
加拿大,CAN,金融,11012096.96
加拿大,CAN,图书与工具书,-5055389.911
加拿大,CAN,教育,3648645.865
加拿大,CAN,新闻,-7179135.229
加拿大,CAN,体育,5624724.279
加拿大,CAN,生成式 AI,112178877.7
加拿大,CAN,健康与健身,7157160.296
德国,DEU,娱乐,-56488019.49
德国,DEU,社交媒体,303349251.4
德国,DEU,游戏,448074538.5
德国,DEU,实用与效率,134245851.5
德国,DEU,其他,101128414.8
德国,DEU,购物,60921072.95
德国,DEU,金融,40145975.1
德国,DEU,图书与工具书,-11512113.82
德国,DEU,教育,26179759.71
德国,DEU,新闻,-13206128.2
德国,DEU,体育,-6323028.812
德国,DEU,生成式 AI,233221044.6
德国,DEU,健康与健身,14290154.66
法国,FRA,娱乐,-202005576.7
法国,FRA,社交媒体,350926697.5
法国,FRA,游戏,464404623.8
法国,FRA,实用与效率,2218548.504
法国,FRA,其他,80578158.5
法国,FRA,购物,32823130.36
法国,FRA,金融,25238230.58
法国,FRA,图书与工具书,-20065266.9
法国,FRA,教育,37969433.97
法国,FRA,新闻,-14000030.68
法国,FRA,体育,-30037655.62
法国,FRA,生成式 AI,109510784.1
法国,FRA,健康与健身,18139442.45
英国,GBR,娱乐,-158190569
韩国,KOR,娱乐,-777549657
英国,GBR,游戏,358729857.7
英国,GBR,实用与效率,68615012.08
英国,GBR,其他,57500530.32
英国,GBR,购物,80686627.77
美国,USA,娱乐,-2976252589
英国,GBR,图书与工具书,-7169570.498
英国,GBR,教育,2934560.161
英国,GBR,新闻,-12954451.13
英国,GBR,体育,-14033719.76
英国,GBR,生成式 AI,214636856.7
英国,GBR,健康与健身,4232696.176
印度尼西亚,IDN,娱乐,3280783320
印度尼西亚,IDN,社交媒体,3353111684
印度尼西亚,IDN,游戏,1503209541
印度尼西亚,IDN,实用与效率,430418756
印度尼西亚,IDN,其他,-238173501.2
印度尼西亚,IDN,购物,540657864
印度尼西亚,IDN,金融,221139219.7
印度尼西亚,IDN,图书与工具书,-226216259.8
印度尼西亚,IDN,教育,14345304.57
印度尼西亚,IDN,新闻,-4028938.334
印度尼西亚,IDN,体育,2102443.177
印度尼西亚,IDN,生成式 AI,304496783.6
印度尼西亚,IDN,健康与健身,3115934.938
印度,IND,娱乐,67537661290
印度,IND,社交媒体,49554321842
印度,IND,游戏,5282413263
印度,IND,实用与效率,1113788350
印度,IND,其他,2651743981
印度,IND,购物,642418157.3
印度,IND,金融,1380812695
印度,IND,图书与工具书,63732557.49
印度,IND,教育,641844849.1
印度,IND,新闻,428268406.9
印度,IND,体育,-133211856
印度,IND,生成式 AI,317593417.8
印度,IND,健康与健身,55437127.52
日本,JPN,娱乐,-986857460.4
日本,JPN,社交媒体,-186037722.1
日本,JPN,游戏,681642164.8
日本,JPN,实用与效率,87785412.83
日本,JPN,其他,39081585.45
日本,JPN,购物,53726251.47
日本,JPN,金融,60384960.46
日本,JPN,图书与工具书,-155897689.5
日本,JPN,教育,6795022.014
日本,JPN,新闻,-100190911.7
日本,JPN,体育,13767731.58
日本,JPN,生成式 AI,38204222.08
日本,JPN,健康与健身,8223019.553
英国,GBR,金融,12698308.12
韩国,KOR,金融,155599767.9
韩国,KOR,游戏,-82102875.17
韩国,KOR,实用与效率,-11393636.01
韩国,KOR,其他,-40827465.92
韩国,KOR,购物,40414245.41
美国,USA,金融,55610925.39
韩国,KOR,图书与工具书,-86580640.26
韩国,KOR,教育,16111045.05
韩国,KOR,新闻,777399.0381
韩国,KOR,体育,-8236893.126
韩国,KOR,生成式 AI,30548418.07
韩国,KOR,健康与健身,2073697.093
墨西哥,MEX,娱乐,435399634.7
墨西哥,MEX,社交媒体,2315994847
墨西哥,MEX,游戏,1225588340
墨西哥,MEX,实用与效率,45597557.43
墨西哥,MEX,其他,230411793.1
墨西哥,MEX,购物,159743696.8
墨西哥,MEX,金融,71177033.25
墨西哥,MEX,图书与工具书,-69951879.35
墨西哥,MEX,教育,12055069.8
墨西哥,MEX,新闻,5787794.877
墨西哥,MEX,体育,5950683.896
墨西哥,MEX,生成式 AI,299491146.6
墨西哥,MEX,健康与健身,17061915.26
菲律宾,PHL,娱乐,3902068490
菲律宾,PHL,社交媒体,-460890386.1
菲律宾,PHL,游戏,2438159057
菲律宾,PHL,实用与效率,276915364.3
菲律宾,PHL,其他,177750430.3
菲律宾,PHL,购物,140521103.1
菲律宾,PHL,金融,108303259.3
菲律宾,PHL,图书与工具书,-39657682.33
菲律宾,PHL,教育,-9061226.522
菲律宾,PHL,新闻,-3039811.374
菲律宾,PHL,体育,228493.8214
菲律宾,PHL,生成式 AI,305351663.6
菲律宾,PHL,健康与健身,9582627.006
泰国,THA,娱乐,-252904470.8
泰国,THA,社交媒体,171363075.6
泰国,THA,游戏,-101333083.3
泰国,THA,实用与效率,183792655.6
泰国,THA,其他,45433699.53
泰国,THA,购物,104047410.3
泰国,THA,金融,22674964.77
泰国,THA,图书与工具书,-37479407.02
泰国,THA,教育,-2992422.394
泰国,THA,新闻,-2674082.738
泰国,THA,体育,-4857146.275
泰国,THA,生成式 AI,31043414.99
泰国,THA,健康与健身,-1225558.337
英国,GBR,社交媒体,-353868704.4
韩国,KOR,社交媒体,-590354881.3
美国,USA,游戏,1203663355
美国,USA,实用与效率,-155943312.9
美国,USA,其他,120614753.7
美国,USA,购物,-142631940.6
美国,USA,社交媒体,-2397753747
美国,USA,图书与工具书,-93224166.18
美国,USA,教育,-21464635.52
美国,USA,新闻,-78246856.27
美国,USA,体育,-10114652.31
美国,USA,生成式 AI,1280289928
美国,USA,健康与健身,56317953.46
越南,VNM,娱乐,2322436334
越南,VNM,社交媒体,-1345338887
越南,VNM,游戏,637938272.4
越南,VNM,实用与效率,45603778.26
越南,VNM,其他,55833695.44
越南,VNM,购物,265286837
越南,VNM,金融,58884300.32
越南,VNM,图书与工具书,-61866096.6
越南,VNM,教育,-32163325.61
越南,VNM,新闻,-13837810.77
越南,VNM,体育,2214689.199
越南,VNM,生成式 AI,55169550.35
越南,VNM,健康与健身,-7985370.121
