Country,Country code,Value,Category
Australia,AUS,-38686616.39,Entertainment
Australia,AUS,-153236134.9,Social Media
Australia,AUS,182917971.1,Gaming
Australia,AUS,9147065.818,Utility & Productivity
Australia,AUS,31804212.9,Other
Australia,AUS,31141699.1,Shopping
Australia,AUS,5151541.401,Finance
Australia,AUS,-5713350.734,Books & Reference
Australia,AUS,3601880.786,Education
Australia,AUS,-3874526.985,News
Australia,AUS,-4285420.28,Sports
Australia,AUS,45792539.61,Generative AI
Australia,AUS,-318769.9703,Health and Fitness
Brazil,BRA,-299035241,Entertainment
Brazil,BRA,-318600140.7,Social Media
Brazil,BRA,1761693827,Gaming
Brazil,BRA,-26019781.5,Utility & Productivity
Brazil,BRA,329612555.4,Other
Brazil,BRA,139237798.9,Shopping
Brazil,BRA,42941773.59,Finance
Brazil,BRA,-12858437.1,Books & Reference
Brazil,BRA,-2608699.075,Education
Brazil,BRA,-7108048.586,News
Brazil,BRA,-3713538.434,Sports
Brazil,BRA,452262415,Generative AI
Brazil,BRA,47175832.3,Health and Fitness
Canada,CAN,-3811923.127,Entertainment
Canada,CAN,-30290250.4,Social Media
Canada,CAN,271494989.8,Gaming
Canada,CAN,7811045.298,Utility & Productivity
Canada,CAN,42037594.02,Other
Canada,CAN,-4908072.833,Shopping
Canada,CAN,11012096.96,Finance
Canada,CAN,-5055389.911,Books & Reference
Canada,CAN,3648645.865,Education
Canada,CAN,-7179135.229,News
Canada,CAN,5624724.279,Sports
Canada,CAN,112178877.7,Generative AI
Canada,CAN,7157160.296,Health and Fitness
Germany,DEU,-56488019.49,Entertainment
Germany,DEU,303349251.4,Social Media
Germany,DEU,448074538.5,Gaming
Germany,DEU,134245851.5,Utility & Productivity
Germany,DEU,101128414.8,Other
Germany,DEU,60921072.95,Shopping
Germany,DEU,40145975.1,Finance
Germany,DEU,-11512113.82,Books & Reference
Germany,DEU,26179759.71,Education
Germany,DEU,-13206128.2,News
Germany,DEU,-6323028.812,Sports
Germany,DEU,233221044.6,Generative AI
Germany,DEU,14290154.66,Health and Fitness
France,FRA,-202005576.7,Entertainment
France,FRA,350926697.5,Social Media
France,FRA,464404623.8,Gaming
France,FRA,2218548.504,Utility & Productivity
France,FRA,80578158.5,Other
France,FRA,32823130.36,Shopping
France,FRA,25238230.58,Finance
France,FRA,-20065266.9,Books & Reference
France,FRA,37969433.97,Education
France,FRA,-14000030.68,News
France,FRA,-30037655.62,Sports
France,FRA,109510784.1,Generative AI
France,FRA,18139442.45,Health and Fitness
U.K.,GBR,-158190569,Entertainment
U.K.,GBR,-353868704.4,Social Media
U.K.,GBR,358729857.7,Gaming
U.K.,GBR,68615012.08,Utility & Productivity
U.K.,GBR,57500530.32,Other
U.K.,GBR,80686627.77,Shopping
U.K.,GBR,12698308.12,Finance
U.K.,GBR,-7169570.498,Books & Reference
U.K.,GBR,2934560.161,Education
U.K.,GBR,-12954451.13,News
U.K.,GBR,-14033719.76,Sports
U.K.,GBR,214636856.7,Generative AI
U.K.,GBR,4232696.176,Health and Fitness
Indonesia,IDN,3280783320,Entertainment
Indonesia,IDN,3353111684,Social Media
Indonesia,IDN,1503209541,Gaming
Indonesia,IDN,430418756,Utility & Productivity
Indonesia,IDN,-238173501.2,Other
Indonesia,IDN,540657864,Shopping
Indonesia,IDN,221139219.7,Finance
Indonesia,IDN,-226216259.8,Books & Reference
Indonesia,IDN,14345304.57,Education
Indonesia,IDN,-4028938.334,News
Indonesia,IDN,2102443.177,Sports
Indonesia,IDN,304496783.6,Generative AI
Indonesia,IDN,3115934.938,Health and Fitness
India,IND,67537661290,Entertainment
