Country code,Country,Category,Demographic Group,Rank,Time Spent/User,Formatted,TIme spent change (%)
AUS,オーストラリア,ゲーム / 戦略,18～24歳,5,1.51x,1.51,0.51
AUS,オーストラリア,グラフィック・デザイン,18～24歳,6,1.41x,1.41,0.41
AUS,オーストラリア,エンターテインメント,18～24歳,7,1.30x,1.30,0.3
AUS,オーストラリア,ソーシャルメディア,18～24歳,9,1.24x,1.24,0.24
AUS,オーストラリア,音楽,18～24歳,11,1.15x,1.15,0.15
AUS,オーストラリア,教育,18～24歳,12,1.12x,1.12,0.12
AUS,オーストラリア,ニュース,18～24歳,15,1.04x,1.04,0.04
AUS,オーストラリア,ユーティリティ,18～24歳,17,0.99x,0.99,-0.01
AUS,オーストラリア,スポーツ,18～24歳,22,0.88x,0.88,-0.12
AUS,オーストラリア,食品・飲料,18～24歳,24,0.84x,0.84,-0.16
AUS,オーストラリア,旅行,18～24歳,26,0.82x,0.82,-0.18
AUS,オーストラリア,生産性,18～24歳,27,0.80x,0.80,-0.2
AUS,オーストラリア,ゲーム / パズル,18～24歳,29,0.79x,0.79,-0.21
AUS,オーストラリア,健康・フィットネス,18～24歳,30,0.78x,0.78,-0.22
AUS,オーストラリア,ショッピング,18～24歳,32,0.63x,0.63,-0.37
AUS,オーストラリア,ファイナンス,18～24歳,33,0.58x,0.58,-0.42
AUS,オーストラリア,ビジネス,18～24歳,34,0.52x,0.52,-0.48
AUS,オーストラリア,天気,18～24歳,35,0.45x,0.45,-0.55
AUS,オーストラリア,ゲーム / カジノ,18～24歳,36,0.45x,0.45,-0.55
AUS,オーストラリア,ビジネス,25～44歳,1,1.27x,1.27,0.27
AUS,オーストラリア,ゲーム / カジノ,25～44歳,2,1.26x,1.26,0.26
AUS,オーストラリア,ショッピング,25～44歳,3,1.23x,1.23,0.23
AUS,オーストラリア,食品・飲料,25～44歳,4,1.21x,1.21,0.21
AUS,オーストラリア,ファイナンス,25～44歳,5,1.21x,1.21,0.21
AUS,オーストラリア,健康・フィットネス,25～44歳,6,1.16x,1.16,0.16
AUS,オーストラリア,スポーツ,25～44歳,7,1.13x,1.13,0.13
AUS,オーストラリア,生産性,25～44歳,9,1.11x,1.11,0.11
AUS,オーストラリア,天気,25～44歳,14,1.07x,1.07,0.07
AUS,オーストラリア,ゲーム / パズル,25～44歳,16,1.04x,1.04,0.04
AUS,オーストラリア,ユーティリティ,25～44歳,18,1.04x,1.04,0.04
AUS,オーストラリア,音楽,25～44歳,19,1.03x,1.03,0.03
AUS,オーストラリア,旅行,25～44歳,22,0.98x,0.98,-0.02
AUS,オーストラリア,教育,25～44歳,23,0.98x,0.98,-0.02
AUS,オーストラリア,ソーシャルメディア,25～44歳,25,0.98x,0.98,-0.02
AUS,オーストラリア,エンターテインメント,25～44歳,26,0.96x,0.96,-0.04
AUS,オーストラリア,ニュース,25～44歳,28,0.94x,0.94,-0.06
AUS,オーストラリア,グラフィック・デザイン,25～44歳,30,0.89x,0.89,-0.11
AUS,オーストラリア,ゲーム / 戦略,25～44歳,31,0.87x,0.87,-0.13
AUS,オーストラリア,天気,45歳以上,1,2.65x,2.65,1.65
AUS,オーストラリア,ゲーム / パズル,45歳以上,3,1.97x,1.97,0.97
AUS,オーストラリア,ゲーム / カジノ,45歳以上,6,1.76x,1.76,0.76
AUS,オーストラリア,ニュース,45歳以上,9,1.45x,1.45,0.45
AUS,オーストラリア,生産性,45歳以上,12,1.25x,1.25,0.25
AUS,オーストラリア,健康・フィットネス,45歳以上,13,1.23x,1.23,0.23
AUS,オーストラリア,ファイナンス,45歳以上,14,1.19x,1.19,0.19
AUS,オーストラリア,スポーツ,45歳以上,15,1.17x,1.17,0.17
AUS,オーストラリア,ショッピング,45歳以上,18,1.08x,1.08,0.08
AUS,オーストラリア,旅行,45歳以上,19,1.05x,1.05,0.05
AUS,オーストラリア,ビジネス,45歳以上,20,0.98x,0.98,-0.02
AUS,オーストラリア,教育,45歳以上,21,0.98x,0.98,-0.02
AUS,オーストラリア,ユーティリティ,45歳以上,23,0.92x,0.92,-0.08
AUS,オーストラリア,音楽,45歳以上,27,0.81x,0.81,-0.19
AUS,オーストラリア,グラフィック・デザイン,45歳以上,28,0.80x,0.80,-0.2
AUS,オーストラリア,ソーシャルメディア,45歳以上,30,0.70x,0.70,-0.3
AUS,オーストラリア,食品・飲料,45歳以上,31,0.70x,0.70,-0.3
AUS,オーストラリア,エンターテインメント,45歳以上,32,0.69x,0.69,-0.31
AUS,オーストラリア,ゲーム / 戦略,45歳以上,33,0.62x,0.62,-0.38
BRA,ブラジル,グラフィック・デザイン,18～24歳,1,1.32x,1.32,0.32
BRA,ブラジル,ニュース,18～24歳,2,1.29x,1.29,0.29
BRA,ブラジル,音楽,18～24歳,6,1.19x,1.19,0.19
BRA,ブラジル,エンターテインメント,18～24歳,7,1.19x,1.19,0.19
BRA,ブラジル,ゲーム / 戦略,18～24歳,8,1.17x,1.17,0.17
BRA,ブラジル,ソーシャルメディア,18～24歳,15,1.09x,1.09,0.09
BRA,ブラジル,教育,18～24歳,17,1.07x,1.07,0.07
BRA,ブラジル,生産性,18～24歳,18,1.06x,1.06,0.06
BRA,ブラジル,ユーティリティ,18～24歳,20,0.98x,0.98,-0.02
BRA,ブラジル,スポーツ,18～24歳,22,0.93x,0.93,-0.07
BRA,ブラジル,健康・フィットネス,18～24歳,25,0.89x,0.89,-0.11
BRA,ブラジル,ゲーム / カジノ,18～24歳,26,0.85x,0.85,-0.15
BRA,ブラジル,ショッピング,18～24歳,27,0.82x,0.82,-0.18
BRA,ブラジル,食品・飲料,18～24歳,28,0.82x,0.82,-0.18
BRA,ブラジル,ファイナンス,18～24歳,31,0.74x,0.74,-0.26
BRA,ブラジル,ゲーム / パズル,18～24歳,32,0.71x,0.71,-0.29
BRA,ブラジル,ビジネス,18～24歳,34,0.64x,0.64,-0.36
BRA,ブラジル,旅行,18～24歳,35,0.51x,0.51,-0.49
BRA,ブラジル,天気,18～24歳,36,0.38x,0.38,-0.62
BRA,ブラジル,天気,25～44歳,1,1.39x,1.39,0.39
BRA,ブラジル,旅行,25～44歳,2,1.36x,1.36,0.36
BRA,ブラジル,ビジネス,25～44歳,3,1.32x,1.32,0.32
BRA,ブラジル,食品・飲料,25～44歳,5,1.21x,1.21,0.21
BRA,ブラジル,ファイナンス,25～44歳,6,1.20x,1.20,0.2
BRA,ブラジル,ショッピング,25～44歳,8,1.17x,1.17,0.17
BRA,ブラジル,ゲーム / カジノ,25～44歳,9,1.16x,1.16,0.16
BRA,ブラジル,ゲーム / パズル,25～44歳,10,1.16x,1.16,0.16
BRA,ブラジル,健康・フィットネス,25～44歳,12,1.10x,1.10,0.1
BRA,ブラジル,スポーツ,25～44歳,14,1.07x,1.07,0.07
BRA,ブラジル,ユーティリティ,25～44歳,15,1.01x,1.01,0.01
BRA,ブラジル,生産性,25～44歳,19,0.96x,0.96,-0.04
BRA,ブラジル,教育,25～44歳,21,0.94x,0.94,-0.06
BRA,ブラジル,ソーシャルメディア,25～44歳,23,0.94x,0.94,-0.06
BRA,ブラジル,ゲーム / 戦略,25～44歳,29,0.87x,0.87,-0.13
BRA,ブラジル,エンターテインメント,25～44歳,30,0.86x,0.86,-0.14
BRA,ブラジル,音楽,25～44歳,31,0.85x,0.85,-0.15
BRA,ブラジル,ニュース,25～44歳,35,0.76x,0.76,-0.24
BRA,ブラジル,グラフィック・デザイン,25～44歳,36,0.76x,0.76,-0.24
BRA,ブラジル,天気,45歳以上,1,3.01x,3.01,2.01
BRA,ブラジル,ゲーム / パズル,45歳以上,2,1.97x,1.97,0.97
BRA,ブラジル,旅行,45歳以上,4,1.57x,1.57,0.57
BRA,ブラジル,ファイナンス,45歳以上,6,1.41x,1.41,0.41
BRA,ブラジル,ビジネス,45歳以上,10,1.14x,1.14,0.14
BRA,ブラジル,ユーティリティ,45歳以上,11,1.06x,1.06,0.06
BRA,ブラジル,ショッピング,45歳以上,12,1.03x,1.03,0.03
BRA,ブラジル,健康・フィットネス,45歳以上,13,1.03x,1.03,0.03
BRA,ブラジル,スポーツ,45歳以上,16,0.98x,0.98,-0.02
BRA,ブラジル,ゲーム / カジノ,45歳以上,17,0.95x,0.95,-0.05
BRA,ブラジル,教育,45歳以上,20,0.82x,0.82,-0.18
BRA,ブラジル,生産性,45歳以上,21,0.78x,0.78,-0.22
BRA,ブラジル,ソーシャルメディア,45歳以上,22,0.72x,0.72,-0.28
BRA,ブラジル,食品・飲料,45歳以上,24,0.65x,0.65,-0.35
BRA,ブラジル,ゲーム / 戦略,45歳以上,25,0.63x,0.63,-0.37
BRA,ブラジル,音楽,45歳以上,27,0.61x,0.61,-0.39
BRA,ブラジル,エンターテインメント,45歳以上,28,0.61x,0.61,-0.39
BRA,ブラジル,グラフィック・デザイン,45歳以上,34,0.48x,0.48,-0.52
BRA,ブラジル,ニュース,45歳以上,36,0.45x,0.45,-0.55
CAN,カナダ,グラフィック・デザイン,18～24歳,3,1.48x,1.48,0.48
CAN,カナダ,ゲーム / 戦略,18～24歳,6,1.31x,1.31,0.31
CAN,カナダ,エンターテインメント,18～24歳,9,1.26x,1.26,0.26
CAN,カナダ,教育,18～24歳,11,1.22x,1.22,0.22
CAN,カナダ,ソーシャルメディア,18～24歳,13,1.21x,1.21,0.21
CAN,カナダ,音楽,18～24歳,15,1.14x,1.14,0.14
CAN,カナダ,ユーティリティ,18～24歳,18,1.02x,1.02,0.02
CAN,カナダ,生産性,18～24歳,19,0.90x,0.90,-0.1
CAN,カナダ,ゲーム / パズル,18～24歳,24,0.83x,0.83,-0.17
CAN,カナダ,スポーツ,18～24歳,25,0.77x,0.77,-0.23
CAN,カナダ,食品・飲料,18～24歳,26,0.76x,0.76,-0.24
CAN,カナダ,ニュース,18～24歳,27,0.73x,0.73,-0.27
CAN,カナダ,健康・フィットネス,18～24歳,29,0.63x,0.63,-0.37
CAN,カナダ,ショッピング,18～24歳,30,0.61x,0.61,-0.39
CAN,カナダ,ビジネス,18～24歳,31,0.61x,0.61,-0.39
CAN,カナダ,ファイナンス,18～24歳,32,0.58x,0.58,-0.42
CAN,カナダ,旅行,18～24歳,34,0.50x,0.50,-0.5
CAN,カナダ,ゲーム / カジノ,18～24歳,35,0.49x,0.49,-0.51
CAN,カナダ,天気,18～24歳,36,0.43x,0.43,-0.57
CAN,カナダ,健康・フィットネス,25～44歳,1,1.25x,1.25,0.25
CAN,カナダ,ビジネス,25～44歳,3,1.21x,1.21,0.21
CAN,カナダ,ショッピング,25～44歳,4,1.21x,1.21,0.21
CAN,カナダ,ファイナンス,25～44歳,5,1.21x,1.21,0.21
CAN,カナダ,食品・飲料,25～44歳,6,1.19x,1.19,0.19
CAN,カナダ,旅行,25～44歳,7,1.19x,1.19,0.19
CAN,カナダ,天気,25～44歳,8,1.18x,1.18,0.18
CAN,カナダ,ニュース,25～44歳,9,1.09x,1.09,0.09
CAN,カナダ,スポーツ,25～44歳,10,1.08x,1.08,0.08
CAN,カナダ,生産性,25～44歳,11,1.06x,1.06,0.06
CAN,カナダ,ユーティリティ,25～44歳,14,1.05x,1.05,0.05
CAN,カナダ,音楽,25～44歳,19,1.00x,1.00,0
CAN,カナダ,ソーシャルメディア,25～44歳,20,1.00x,1.00,0
CAN,カナダ,ゲーム / パズル,25～44歳,21,1.00x,1.00,0
CAN,カナダ,エンターテインメント,25～44歳,26,0.95x,0.95,-0.05
CAN,カナダ,教育,25～44歳,28,0.93x,0.93,-0.07
CAN,カナダ,ゲーム / 戦略,25～44歳,29,0.91x,0.91,-0.09
CAN,カナダ,グラフィック・デザイン,25～44歳,31,0.88x,0.88,-0.12
CAN,カナダ,ゲーム / カジノ,25～44歳,35,0.71x,0.71,-0.29
CAN,カナダ,ゲーム / カジノ,45歳以上,1,5.28x,5.28,4.28
CAN,カナダ,天気,45歳以上,3,2.26x,2.26,1.26
CAN,カナダ,ゲーム / パズル,45歳以上,4,2.14x,2.14,1.14
CAN,カナダ,スポーツ,45歳以上,8,1.65x,1.65,0.65
CAN,カナダ,ニュース,45歳以上,9,1.64x,1.64,0.64
CAN,カナダ,ファイナンス,45歳以上,13,1.32x,1.32,0.32
CAN,カナダ,ショッピング,45歳以上,14,1.30x,1.30,0.3
CAN,カナダ,生産性,45歳以上,16,1.25x,1.25,0.25
