Country code,Country,Category,Demographic Group,Rank,Time Spent/User,Formatted,TIme spent change (%)
AUS,호주,게임/전략,18-24세,5,1.51x,1.51,0.51
AUS,호주,그래픽 및 디자인,18-24세,6,1.41x,1.41,0.41
AUS,호주,엔터테인먼트,18-24세,7,1.30x,1.30,0.3
AUS,호주,소셜 미디어,18-24세,9,1.24x,1.24,0.24
AUS,호주,음악,18-24세,11,1.15x,1.15,0.15
AUS,호주,교육,18-24세,12,1.12x,1.12,0.12
AUS,호주,뉴스,18-24세,15,1.04x,1.04,0.04
AUS,호주,유틸리티,18-24세,17,0.99x,0.99,-0.01
AUS,호주,스포츠,18-24세,22,0.88x,0.88,-0.12
AUS,호주,음식 및 음료,18-24세,24,0.84x,0.84,-0.16
AUS,호주,여행,18-24세,26,0.82x,0.82,-0.18
AUS,호주,생산성,18-24세,27,0.80x,0.80,-0.2
AUS,호주,게임/퍼즐,18-24세,29,0.79x,0.79,-0.21
AUS,호주,건강 및 피트니스,18-24세,30,0.78x,0.78,-0.22
AUS,호주,쇼핑,18-24세,32,0.63x,0.63,-0.37
AUS,호주,금융,18-24세,33,0.58x,0.58,-0.42
AUS,호주,비즈니스,18-24세,34,0.52x,0.52,-0.48
AUS,호주,날씨,18-24세,35,0.45x,0.45,-0.55
AUS,호주,게임/카지노,18-24세,36,0.45x,0.45,-0.55
AUS,호주,비즈니스,25-44세,1,1.27x,1.27,0.27
AUS,호주,게임/카지노,25-44세,2,1.26x,1.26,0.26
AUS,호주,쇼핑,25-44세,3,1.23x,1.23,0.23
AUS,호주,음식 및 음료,25-44세,4,1.21x,1.21,0.21
AUS,호주,금융,25-44세,5,1.21x,1.21,0.21
AUS,호주,건강 및 피트니스,25-44세,6,1.16x,1.16,0.16
AUS,호주,스포츠,25-44세,7,1.13x,1.13,0.13
AUS,호주,생산성,25-44세,9,1.11x,1.11,0.11
AUS,호주,날씨,25-44세,14,1.07x,1.07,0.07
AUS,호주,게임/퍼즐,25-44세,16,1.04x,1.04,0.04
AUS,호주,유틸리티,25-44세,18,1.04x,1.04,0.04
AUS,호주,음악,25-44세,19,1.03x,1.03,0.03
AUS,호주,여행,25-44세,22,0.98x,0.98,-0.02
AUS,호주,교육,25-44세,23,0.98x,0.98,-0.02
AUS,호주,소셜 미디어,25-44세,25,0.98x,0.98,-0.02
AUS,호주,엔터테인먼트,25-44세,26,0.96x,0.96,-0.04
AUS,호주,뉴스,25-44세,28,0.94x,0.94,-0.06
AUS,호주,그래픽 및 디자인,25-44세,30,0.89x,0.89,-0.11
AUS,호주,게임/전략,25-44세,31,0.87x,0.87,-0.13
AUS,호주,날씨,45세 이상,1,2.65x,2.65,1.65
AUS,호주,게임/퍼즐,45세 이상,3,1.97x,1.97,0.97
AUS,호주,게임/카지노,45세 이상,6,1.76x,1.76,0.76
AUS,호주,뉴스,45세 이상,9,1.45x,1.45,0.45
AUS,호주,생산성,45세 이상,12,1.25x,1.25,0.25
AUS,호주,건강 및 피트니스,45세 이상,13,1.23x,1.23,0.23
AUS,호주,금융,45세 이상,14,1.19x,1.19,0.19
AUS,호주,스포츠,45세 이상,15,1.17x,1.17,0.17
AUS,호주,쇼핑,45세 이상,18,1.08x,1.08,0.08
AUS,호주,여행,45세 이상,19,1.05x,1.05,0.05
AUS,호주,비즈니스,45세 이상,20,0.98x,0.98,-0.02
AUS,호주,교육,45세 이상,21,0.98x,0.98,-0.02
AUS,호주,유틸리티,45세 이상,23,0.92x,0.92,-0.08
AUS,호주,음악,45세 이상,27,0.81x,0.81,-0.19
AUS,호주,그래픽 및 디자인,45세 이상,28,0.80x,0.80,-0.2
AUS,호주,소셜 미디어,45세 이상,30,0.70x,0.70,-0.3
AUS,호주,음식 및 음료,45세 이상,31,0.70x,0.70,-0.3
AUS,호주,엔터테인먼트,45세 이상,32,0.69x,0.69,-0.31
AUS,호주,게임/전략,45세 이상,33,0.62x,0.62,-0.38
BRA,브라질,그래픽 및 디자인,18-24세,1,1.32x,1.32,0.32
BRA,브라질,뉴스,18-24세,2,1.29x,1.29,0.29
BRA,브라질,음악,18-24세,6,1.19x,1.19,0.19
BRA,브라질,엔터테인먼트,18-24세,7,1.19x,1.19,0.19
BRA,브라질,게임/전략,18-24세,8,1.17x,1.17,0.17
BRA,브라질,소셜 미디어,18-24세,15,1.09x,1.09,0.09
BRA,브라질,교육,18-24세,17,1.07x,1.07,0.07
BRA,브라질,생산성,18-24세,18,1.06x,1.06,0.06
BRA,브라질,유틸리티,18-24세,20,0.98x,0.98,-0.02
BRA,브라질,스포츠,18-24세,22,0.93x,0.93,-0.07
BRA,브라질,건강 및 피트니스,18-24세,25,0.89x,0.89,-0.11
BRA,브라질,게임/카지노,18-24세,26,0.85x,0.85,-0.15
BRA,브라질,쇼핑,18-24세,27,0.82x,0.82,-0.18
BRA,브라질,음식 및 음료,18-24세,28,0.82x,0.82,-0.18
BRA,브라질,금융,18-24세,31,0.74x,0.74,-0.26
BRA,브라질,게임/퍼즐,18-24세,32,0.71x,0.71,-0.29
BRA,브라질,비즈니스,18-24세,34,0.64x,0.64,-0.36
BRA,브라질,여행,18-24세,35,0.51x,0.51,-0.49
BRA,브라질,날씨,18-24세,36,0.38x,0.38,-0.62
BRA,브라질,날씨,25-44세,1,1.39x,1.39,0.39
BRA,브라질,여행,25-44세,2,1.36x,1.36,0.36
BRA,브라질,비즈니스,25-44세,3,1.32x,1.32,0.32
BRA,브라질,음식 및 음료,25-44세,5,1.21x,1.21,0.21
BRA,브라질,금융,25-44세,6,1.20x,1.20,0.2
BRA,브라질,쇼핑,25-44세,8,1.17x,1.17,0.17
BRA,브라질,게임/카지노,25-44세,9,1.16x,1.16,0.16
BRA,브라질,게임/퍼즐,25-44세,10,1.16x,1.16,0.16
BRA,브라질,건강 및 피트니스,25-44세,12,1.10x,1.10,0.1
BRA,브라질,스포츠,25-44세,14,1.07x,1.07,0.07
BRA,브라질,유틸리티,25-44세,15,1.01x,1.01,0.01
BRA,브라질,생산성,25-44세,19,0.96x,0.96,-0.04
BRA,브라질,교육,25-44세,21,0.94x,0.94,-0.06
BRA,브라질,소셜 미디어,25-44세,23,0.94x,0.94,-0.06
BRA,브라질,게임/전략,25-44세,29,0.87x,0.87,-0.13
BRA,브라질,엔터테인먼트,25-44세,30,0.86x,0.86,-0.14
BRA,브라질,음악,25-44세,31,0.85x,0.85,-0.15
BRA,브라질,뉴스,25-44세,35,0.76x,0.76,-0.24
