Country code,Country,Category,Demographic Group,Rank,Time Spent/User,Formatted,TIme spent change (%)
AUS,澳大利亚,游戏/策略,18-24,5,1.51x,1.51,0.51
AUS,澳大利亚,图形和设计,18-24,6,1.41x,1.41,0.41
AUS,澳大利亚,娱乐,18-24,7,1.30x,1.30,0.3
AUS,澳大利亚,社交媒体,18-24,9,1.24x,1.24,0.24
AUS,澳大利亚,音乐,18-24,11,1.15x,1.15,0.15
AUS,澳大利亚,教育,18-24,12,1.12x,1.12,0.12
AUS,澳大利亚,新闻,18-24,15,1.04x,1.04,0.04
AUS,澳大利亚,实用工具,18-24,17,0.99x,0.99,-0.01
AUS,澳大利亚,体育,18-24,22,0.88x,0.88,-0.12
AUS,澳大利亚,美食佳饮,18-24,24,0.84x,0.84,-0.16
AUS,澳大利亚,旅游,18-24,26,0.82x,0.82,-0.18
AUS,澳大利亚,生产力工具,18-24,27,0.80x,0.80,-0.2
AUS,澳大利亚,游戏/解谜,18-24,29,0.79x,0.79,-0.21
AUS,澳大利亚,健康与健身,18-24,30,0.78x,0.78,-0.22
AUS,澳大利亚,购物,18-24,32,0.63x,0.63,-0.37
AUS,澳大利亚,金融,18-24,33,0.58x,0.58,-0.42
AUS,澳大利亚,商业,18-24,34,0.52x,0.52,-0.48
AUS,澳大利亚,天气,18-24,35,0.45x,0.45,-0.55
AUS,澳大利亚,游戏/赌场,18-24,36,0.45x,0.45,-0.55
AUS,澳大利亚,商业,25-44,1,1.27x,1.27,0.27
AUS,澳大利亚,游戏/赌场,25-44,2,1.26x,1.26,0.26
AUS,澳大利亚,购物,25-44,3,1.23x,1.23,0.23
AUS,澳大利亚,美食佳饮,25-44,4,1.21x,1.21,0.21
AUS,澳大利亚,金融,25-44,5,1.21x,1.21,0.21
AUS,澳大利亚,健康与健身,25-44,6,1.16x,1.16,0.16
AUS,澳大利亚,体育,25-44,7,1.13x,1.13,0.13
AUS,澳大利亚,生产力工具,25-44,9,1.11x,1.11,0.11
AUS,澳大利亚,天气,25-44,14,1.07x,1.07,0.07
AUS,澳大利亚,游戏/解谜,25-44,16,1.04x,1.04,0.04
AUS,澳大利亚,实用工具,25-44,18,1.04x,1.04,0.04
AUS,澳大利亚,音乐,25-44,19,1.03x,1.03,0.03
AUS,澳大利亚,旅游,25-44,22,0.98x,0.98,-0.02
AUS,澳大利亚,教育,25-44,23,0.98x,0.98,-0.02
AUS,澳大利亚,社交媒体,25-44,25,0.98x,0.98,-0.02
AUS,澳大利亚,娱乐,25-44,26,0.96x,0.96,-0.04
AUS,澳大利亚,新闻,25-44,28,0.94x,0.94,-0.06
AUS,澳大利亚,图形和设计,25-44,30,0.89x,0.89,-0.11
AUS,澳大利亚,游戏/策略,25-44,31,0.87x,0.87,-0.13
AUS,澳大利亚,天气,45+,1,2.65x,2.65,1.65
AUS,澳大利亚,游戏/解谜,45+,3,1.97x,1.97,0.97
AUS,澳大利亚,游戏/赌场,45+,6,1.76x,1.76,0.76
AUS,澳大利亚,新闻,45+,9,1.45x,1.45,0.45
AUS,澳大利亚,生产力工具,45+,12,1.25x,1.25,0.25
AUS,澳大利亚,健康与健身,45+,13,1.23x,1.23,0.23
AUS,澳大利亚,金融,45+,14,1.19x,1.19,0.19
AUS,澳大利亚,体育,45+,15,1.17x,1.17,0.17
AUS,澳大利亚,购物,45+,18,1.08x,1.08,0.08
AUS,澳大利亚,旅游,45+,19,1.05x,1.05,0.05
AUS,澳大利亚,商业,45+,20,0.98x,0.98,-0.02
AUS,澳大利亚,教育,45+,21,0.98x,0.98,-0.02
AUS,澳大利亚,实用工具,45+,23,0.92x,0.92,-0.08
AUS,澳大利亚,音乐,45+,27,0.81x,0.81,-0.19
AUS,澳大利亚,图形和设计,45+,28,0.80x,0.80,-0.2
AUS,澳大利亚,社交媒体,45+,30,0.70x,0.70,-0.3
AUS,澳大利亚,美食佳饮,45+,31,0.70x,0.70,-0.3
AUS,澳大利亚,娱乐,45+,32,0.69x,0.69,-0.31
AUS,澳大利亚,游戏/策略,45+,33,0.62x,0.62,-0.38
BRA,巴西,图形和设计,18-24,1,1.32x,1.32,0.32
BRA,巴西,新闻,18-24,2,1.29x,1.29,0.29
BRA,巴西,音乐,18-24,6,1.19x,1.19,0.19
BRA,巴西,娱乐,18-24,7,1.19x,1.19,0.19
BRA,巴西,游戏/策略,18-24,8,1.17x,1.17,0.17
BRA,巴西,社交媒体,18-24,15,1.09x,1.09,0.09
BRA,巴西,教育,18-24,17,1.07x,1.07,0.07
BRA,巴西,生产力工具,18-24,18,1.06x,1.06,0.06
BRA,巴西,实用工具,18-24,20,0.98x,0.98,-0.02
BRA,巴西,体育,18-24,22,0.93x,0.93,-0.07
BRA,巴西,健康与健身,18-24,25,0.89x,0.89,-0.11
BRA,巴西,游戏/赌场,18-24,26,0.85x,0.85,-0.15
BRA,巴西,购物,18-24,27,0.82x,0.82,-0.18
BRA,巴西,美食佳饮,18-24,28,0.82x,0.82,-0.18
BRA,巴西,金融,18-24,31,0.74x,0.74,-0.26
BRA,巴西,游戏/解谜,18-24,32,0.71x,0.71,-0.29
BRA,巴西,商业,18-24,34,0.64x,0.64,-0.36
BRA,巴西,旅游,18-24,35,0.51x,0.51,-0.49
BRA,巴西,天气,18-24,36,0.38x,0.38,-0.62
BRA,巴西,天气,25-44,1,1.39x,1.39,0.39
BRA,巴西,旅游,25-44,2,1.36x,1.36,0.36
BRA,巴西,商业,25-44,3,1.32x,1.32,0.32
BRA,巴西,美食佳饮,25-44,5,1.21x,1.21,0.21
BRA,巴西,金融,25-44,6,1.20x,1.20,0.2
BRA,巴西,购物,25-44,8,1.17x,1.17,0.17
