Country code,Country,Category,Demographic Group,Rank,Time Spent/User,Formatted,TIme spent change (%)
AUS,Australia,Sports,Male (18+),1,1.39x,1.39,0.39
AUS,Australia,Games / Strategy,Male (18+),2,1.39x,1.39,0.39
AUS,Australia,Business,Male (18+),7,1.17x,1.17,0.17
AUS,Australia,News,Male (18+),8,1.13x,1.13,0.13
AUS,Australia,Productivity,Male (18+),10,1.09x,1.09,0.09
AUS,Australia,Finance,Male (18+),12,1.08x,1.08,0.08
AUS,Australia,Utilities,Male (18+),14,1.05x,1.05,0.05
AUS,Australia,Food & Drink,Male (18+),16,1.04x,1.04,0.04
AUS,Australia,Health & Fitness,Male (18+),17,1.00x,1.00,0
AUS,Australia,Music,Male (18+),18,0.99x,0.99,-0.01
AUS,Australia,Education,Male (18+),19,0.98x,0.98,-0.02
AUS,Australia,Social Media,Male (18+),20,0.98x,0.98,-0.02
AUS,Australia,Travel,Male (18+),22,0.93x,0.93,-0.07
AUS,Australia,Weather,Male (18+),23,0.90x,0.90,-0.1
AUS,Australia,Entertainment,Male (18+),27,0.83x,0.83,-0.17
AUS,Australia,Games / Casino,Male (18+),29,0.75x,0.75,-0.25
AUS,Australia,Shopping,Male (18+),30,0.71x,0.71,-0.29
AUS,Australia,Games / Puzzle,Male (18+),34,0.54x,0.54,-0.46
AUS,Australia,Graphics & Design,Male (18+),36,0.52x,0.52,-0.48
AUS,Australia,Games / Puzzle,Female (18+),1,1.94x,1.94,0.94
AUS,Australia,Graphics & Design,Female (18+),2,1.92x,1.92,0.92
AUS,Australia,Games / Casino,Female (18+),5,1.61x,1.61,0.61
AUS,Australia,Shopping,Female (18+),6,1.57x,1.57,0.57
AUS,Australia,Entertainment,Female (18+),10,1.38x,1.38,0.38
AUS,Australia,Weather,Female (18+),15,1.30x,1.30,0.3
AUS,Australia,Health & Fitness,Female (18+),16,1.15x,1.15,0.15
AUS,Australia,Music,Female (18+),17,1.13x,1.13,0.13
AUS,Australia,Social Media,Female (18+),18,1.12x,1.12,0.12
AUS,Australia,Education,Female (18+),19,1.10x,1.10,0.1
AUS,Australia,Food & Drink,Female (18+),21,1.06x,1.06,0.06
AUS,Australia,Travel,Female (18+),22,0.96x,0.96,-0.04
AUS,Australia,Utilities,Female (18+),24,0.94x,0.94,-0.06
AUS,Australia,Productivity,Female (18+),25,0.93x,0.93,-0.07
AUS,Australia,Finance,Female (18+),26,0.91x,0.91,-0.09
AUS,Australia,News,Female (18+),28,0.83x,0.83,-0.17
AUS,Australia,Business,Female (18+),30,0.76x,0.76,-0.24
AUS,Australia,Sports,Female (18+),33,0.49x,0.49,-0.51
AUS,Australia,Games / Strategy,Female (18+),35,0.45x,0.45,-0.55
BRA,Brazil,Sports,Male (18+),1,1.54x,1.54,0.54
BRA,Brazil,Games / Strategy,Male (18+),3,1.44x,1.44,0.44
BRA,Brazil,Games / Casino,Male (18+),6,1.31x,1.31,0.31
BRA,Brazil,Business,Male (18+),7,1.24x,1.24,0.24
BRA,Brazil,Finance,Male (18+),13,1.07x,1.07,0.07
BRA,Brazil,Productivity,Male (18+),14,1.07x,1.07,0.07
BRA,Brazil,Weather,Male (18+),16,1.03x,1.03,0.03
BRA,Brazil,Music,Male (18+),17,0.98x,0.98,-0.02
BRA,Brazil,Travel,Male (18+),18,0.96x,0.96,-0.04
BRA,Brazil,Utilities,Male (18+),19,0.96x,0.96,-0.04
BRA,Brazil,News,Male (18+),20,0.94x,0.94,-0.06
BRA,Brazil,Health & Fitness,Male (18+),21,0.94x,0.94,-0.06
BRA,Brazil,Education,Male (18+),22,0.93x,0.93,-0.07
BRA,Brazil,Social Media,Male (18+),24,0.90x,0.90,-0.1
BRA,Brazil,Food & Drink,Male (18+),25,0.88x,0.88,-0.12
BRA,Brazil,Entertainment,Male (18+),26,0.86x,0.86,-0.14
BRA,Brazil,Shopping,Male (18+),30,0.73x,0.73,-0.27
BRA,Brazil,Graphics & Design,Male (18+),31,0.71x,0.71,-0.29
BRA,Brazil,Games / Puzzle,Male (18+),35,0.57x,0.57,-0.43
BRA,Brazil,Games / Puzzle,Female (18+),2,1.60x,1.60,0.6
BRA,Brazil,Graphics & Design,Female (18+),5,1.46x,1.46,0.46
BRA,Brazil,Shopping,Female (18+),7,1.39x,1.39,0.39
BRA,Brazil,Entertainment,Female (18+),10,1.21x,1.21,0.21
BRA,Brazil,Food & Drink,Female (18+),12,1.16x,1.16,0.16
BRA,Brazil,Social Media,Female (18+),13,1.15x,1.15,0.15
BRA,Brazil,Education,Female (18+),15,1.09x,1.09,0.09
BRA,Brazil,News,Female (18+),16,1.09x,1.09,0.09
BRA,Brazil,Health & Fitness,Female (18+),17,1.09x,1.09,0.09
BRA,Brazil,Utilities,Female (18+),18,1.06x,1.06,0.06
BRA,Brazil,Music,Female (18+),19,1.04x,1.04,0.04
BRA,Brazil,Travel,Female (18+),20,0.96x,0.96,-0.04
BRA,Brazil,Weather,Female (18+),21,0.93x,0.93,-0.07
BRA,Brazil,Productivity,Female (18+),22,0.89x,0.89,-0.11
BRA,Brazil,Finance,Female (18+),25,0.87x,0.87,-0.13
BRA,Brazil,Business,Female (18+),30,0.60x,0.60,-0.4
BRA,Brazil,Games / Casino,Female (18+),31,0.54x,0.54,-0.46
BRA,Brazil,Games / Strategy,Female (18+),34,0.35x,0.35,-0.65
BRA,Brazil,Sports,Female (18+),36,0.18x,0.18,-0.82
CAN,Canada,Sports,Male (18+),3,1.55x,1.55,0.55
CAN,Canada,Games / Strategy,Male (18+),4,1.44x,1.44,0.44
CAN,Canada,News,Male (18+),6,1.36x,1.36,0.36
CAN,Canada,Finance,Male (18+),8,1.24x,1.24,0.24
CAN,Canada,Productivity,Male (18+),10,1.17x,1.17,0.17
CAN,Canada,Business,Male (18+),11,1.17x,1.17,0.17
CAN,Canada,Utilities,Male (18+),15,1.04x,1.04,0.04
CAN,Canada,Education,Male (18+),16,0.99x,0.99,-0.01
CAN,Canada,Food & Drink,Male (18+),17,0.99x,0.99,-0.01
CAN,Canada,Travel,Male (18+),18,0.97x,0.97,-0.03
CAN,Canada,Social Media,Male (18+),20,0.96x,0.96,-0.04
CAN,Canada,Music,Male (18+),21,0.96x,0.96,-0.04
CAN,Canada,Weather,Male (18+),22,0.93x,0.93,-0.07
CAN,Canada,Health & Fitness,Male (18+),25,0.91x,0.91,-0.09
CAN,Canada,Games / Casino,Male (18+),26,0.85x,0.85,-0.15
CAN,Canada,Entertainment,Male (18+),27,0.79x,0.79,-0.21
CAN,Canada,Shopping,Male (18+),28,0.79x,0.79,-0.21
CAN,Canada,Games / Puzzle,Male (18+),34,0.58x,0.58,-0.42
CAN,Canada,Graphics & Design,Male (18+),36,0.57x,0.57,-0.43
CAN,Canada,Graphics & Design,Female (18+),2,1.76x,1.76,0.76
CAN,Canada,Games / Puzzle,Female (18+),3,1.74x,1.74,0.74
CAN,Canada,Entertainment,Female (18+),9,1.41x,1.41,0.41
CAN,Canada,Games / Casino,Female (18+),10,1.37x,1.37,0.37
CAN,Canada,Shopping,Female (18+),11,1.37x,1.37,0.37
CAN,Canada,Health & Fitness,Female (18+),14,1.24x,1.24,0.24
CAN,Canada,Weather,Female (18+),16,1.19x,1.19,0.19
CAN,Canada,Music,Female (18+),17,1.17x,1.17,0.17
CAN,Canada,Social Media,Female (18+),18,1.17x,1.17,0.17
CAN,Canada,Education,Female (18+),19,1.10x,1.10,0.1
CAN,Canada,Food & Drink,Female (18+),20,1.10x,1.10,0.1
CAN,Canada,Utilities,Female (18+),21,0.99x,0.99,-0.01
CAN,Canada,Travel,Female (18+),23,0.97x,0.97,-0.03
CAN,Canada,Productivity,Female (18+),27,0.82x,0.82,-0.18
CAN,Canada,Business,Female (18+),28,0.77x,0.77,-0.23
CAN,Canada,Finance,Female (18+),30,0.69x,0.69,-0.31
CAN,Canada,News,Female (18+),31,0.54x,0.54,-0.46
CAN,Canada,Games / Strategy,Female (18+),32,0.44x,0.44,-0.56
CAN,Canada,Sports,Female (18+),36,0.28x,0.28,-0.72
DEU,Germany,Games / Strategy,Male (18+),2,1.64x,1.64,0.64
DEU,Germany,Sports,Male (18+),4,1.61x,1.61,0.61
DEU,Germany,Games / Casino,Male (18+),6,1.58x,1.58,0.58
DEU,Germany,News,Male (18+),7,1.40x,1.40,0.4
DEU,Germany,Finance,Male (18+),8,1.37x,1.37,0.37
DEU,Germany,Business,Male (18+),14,1.18x,1.18,0.18
DEU,Germany,Productivity,Male (18+),15,1.18x,1.18,0.18
DEU,Germany,Weather,Male (18+),16,1.14x,1.14,0.14
DEU,Germany,Health & Fitness,Male (18+),18,1.06x,1.06,0.06
DEU,Germany,Social Media,Male (18+),19,1.04x,1.04,0.04
DEU,Germany,Travel,Male (18+),20,1.04x,1.04,0.04
DEU,Germany,Utilities,Male (18+),23,1.03x,1.03,0.03
DEU,Germany,Music,Male (18+),24,1.01x,1.01,0.01
DEU,Germany,Education,Male (18+),25,1.00x,1.00,0
DEU,Germany,Shopping,Male (18+),27,0.93x,0.93,-0.07
DEU,Germany,Entertainment,Male (18+),28,0.92x,0.92,-0.08
DEU,Germany,Food & Drink,Male (18+),29,0.87x,0.87,-0.13
DEU,Germany,Graphics & Design,Male (18+),32,0.63x,0.63,-0.37
DEU,Germany,Games / Puzzle,Male (18+),33,0.63x,0.63,-0.37
DEU,Germany,Games / Puzzle,Female (18+),2,1.78x,1.78,0.78
DEU,Germany,Graphics & Design,Female (18+),3,1.76x,1.76,0.76
DEU,Germany,Food & Drink,Female (18+),8,1.41x,1.41,0.41
DEU,Germany,Entertainment,Female (18+),9,1.36x,1.36,0.36
