Country code,Country,Category,Demographic Group,Rank,Time Spent/User,Formatted,TIme spent change (%)
AUS,Australia,Games / Music,18-24,1,2.18x,2.18,1.18
AUS,Australia,Games / Sports,18-24,2,1.67x,1.67,0.67
AUS,Australia,Games / Action,18-24,3,1.60x,1.60,0.6
AUS,Australia,Games / Role Playing,18-24,4,1.53x,1.53,0.53
AUS,Australia,Games / Strategy,18-24,5,1.51x,1.51,0.51
AUS,Australia,Graphics & Design,18-24,6,1.41x,1.41,0.41
AUS,Australia,Entertainment,18-24,7,1.30x,1.30,0.3
AUS,Australia,Games / Simulation,18-24,8,1.24x,1.24,0.24
AUS,Australia,Social Networking,18-24,9,1.24x,1.24,0.24
AUS,Australia,Photo & Video,18-24,10,1.22x,1.22,0.22
AUS,Australia,Music,18-24,11,1.15x,1.15,0.15
AUS,Australia,Education,18-24,12,1.12x,1.12,0.12
AUS,Australia,Games / Adventure,18-24,13,1.06x,1.06,0.06
AUS,Australia,Games / Racing,18-24,14,1.06x,1.06,0.06
AUS,Australia,News,18-24,15,1.04x,1.04,0.04
AUS,Australia,Games / Casual,18-24,16,1.00x,1.00,0
AUS,Australia,Utilities,18-24,17,0.99x,0.99,-0.01
AUS,Australia,Games / Card,18-24,18,0.97x,0.97,-0.03
AUS,Australia,Navigation,18-24,19,0.95x,0.95,-0.05
AUS,Australia,Lifestyle,18-24,20,0.94x,0.94,-0.06
AUS,Australia,Medical,18-24,21,0.88x,0.88,-0.12
AUS,Australia,Sports,18-24,22,0.88x,0.88,-0.12
AUS,Australia,Books,18-24,23,0.85x,0.85,-0.15
AUS,Australia,Food & Drink,18-24,24,0.84x,0.84,-0.16
AUS,Australia,Games / Board,18-24,25,0.82x,0.82,-0.18
AUS,Australia,Travel,18-24,26,0.82x,0.82,-0.18
AUS,Australia,Productivity,18-24,27,0.80x,0.80,-0.2
AUS,Australia,Games / Trivia,18-24,28,0.79x,0.79,-0.21
AUS,Australia,Games / Puzzle,18-24,29,0.79x,0.79,-0.21
AUS,Australia,Health & Fitness,18-24,30,0.78x,0.78,-0.22
AUS,Australia,Games / Word,18-24,31,0.73x,0.73,-0.27
AUS,Australia,Shopping,18-24,32,0.63x,0.63,-0.37
AUS,Australia,Finance,18-24,33,0.58x,0.58,-0.42
AUS,Australia,Business,18-24,34,0.52x,0.52,-0.48
AUS,Australia,Weather,18-24,35,0.45x,0.45,-0.55
AUS,Australia,Games / Casino,18-24,36,0.45x,0.45,-0.55
AUS,Australia,Business,25-44,1,1.27x,1.27,0.27
AUS,Australia,Games / Casino,25-44,2,1.26x,1.26,0.26
AUS,Australia,Shopping,25-44,3,1.23x,1.23,0.23
AUS,Australia,Food & Drink,25-44,4,1.21x,1.21,0.21
AUS,Australia,Finance,25-44,5,1.21x,1.21,0.21
AUS,Australia,Health & Fitness,25-44,6,1.16x,1.16,0.16
AUS,Australia,Sports,25-44,7,1.13x,1.13,0.13
AUS,Australia,Lifestyle,25-44,8,1.12x,1.12,0.12
AUS,Australia,Productivity,25-44,9,1.11x,1.11,0.11
AUS,Australia,Navigation,25-44,10,1.09x,1.09,0.09
AUS,Australia,Games / Racing,25-44,11,1.08x,1.08,0.08
AUS,Australia,Games / Adventure,25-44,12,1.08x,1.08,0.08
AUS,Australia,Games / Simulation,25-44,13,1.08x,1.08,0.08
AUS,Australia,Weather,25-44,14,1.07x,1.07,0.07
AUS,Australia,Games / Word,25-44,15,1.05x,1.05,0.05
AUS,Australia,Games / Puzzle,25-44,16,1.04x,1.04,0.04
AUS,Australia,Games / Card,25-44,17,1.04x,1.04,0.04
AUS,Australia,Utilities,25-44,18,1.04x,1.04,0.04
AUS,Australia,Music,25-44,19,1.03x,1.03,0.03
AUS,Australia,Books,25-44,20,1.01x,1.01,0.01
AUS,Australia,Games / Board,25-44,21,1.00x,1.00,0
AUS,Australia,Travel,25-44,22,0.98x,0.98,-0.02
AUS,Australia,Education,25-44,23,0.98x,0.98,-0.02
AUS,Australia,Medical,25-44,24,0.98x,0.98,-0.02
AUS,Australia,Social Networking,25-44,25,0.98x,0.98,-0.02
AUS,Australia,Entertainment,25-44,26,0.96x,0.96,-0.04
AUS,Australia,Photo & Video,25-44,27,0.96x,0.96,-0.04
AUS,Australia,News,25-44,28,0.94x,0.94,-0.06
AUS,Australia,Games / Casual,25-44,29,0.89x,0.89,-0.11
AUS,Australia,Graphics & Design,25-44,30,0.89x,0.89,-0.11
AUS,Australia,Games / Strategy,25-44,31,0.87x,0.87,-0.13
AUS,Australia,Games / Role Playing,25-44,32,0.82x,0.82,-0.18
AUS,Australia,Games / Trivia,25-44,33,0.80x,0.80,-0.2
AUS,Australia,Games / Action,25-44,34,0.77x,0.77,-0.23
AUS,Australia,Games / Sports,25-44,35,0.66x,0.66,-0.34
AUS,Australia,Games / Music,25-44,36,0.63x,0.63,-0.37
AUS,Australia,Weather,45+,1,2.65x,2.65,1.65
AUS,Australia,Medical,45+,2,2.39x,2.39,1.39
AUS,Australia,Games / Puzzle,45+,3,1.97x,1.97,0.97
AUS,Australia,Games / Word,45+,4,1.84x,1.84,0.84
AUS,Australia,Games / Casual,45+,5,1.84x,1.84,0.84
AUS,Australia,Games / Casino,45+,6,1.76x,1.76,0.76
AUS,Australia,Games / Board,45+,7,1.51x,1.51,0.51
AUS,Australia,Books,45+,8,1.49x,1.49,0.49
AUS,Australia,News,45+,9,1.45x,1.45,0.45
AUS,Australia,Games / Sports,45+,10,1.28x,1.28,0.28
AUS,Australia,Games / Trivia,45+,11,1.25x,1.25,0.25
AUS,Australia,Productivity,45+,12,1.25x,1.25,0.25
AUS,Australia,Health & Fitness,45+,13,1.23x,1.23,0.23
AUS,Australia,Finance,45+,14,1.19x,1.19,0.19
AUS,Australia,Sports,45+,15,1.17x,1.17,0.17
AUS,Australia,Games / Role Playing,45+,16,1.12x,1.12,0.12
AUS,Australia,Games / Adventure,45+,17,1.08x,1.08,0.08
AUS,Australia,Shopping,45+,18,1.08x,1.08,0.08
AUS,Australia,Travel,45+,19,1.05x,1.05,0.05
AUS,Australia,Business,45+,20,0.98x,0.98,-0.02
AUS,Australia,Education,45+,21,0.98x,0.98,-0.02
AUS,Australia,Navigation,45+,22,0.94x,0.94,-0.06
