Country code,Country,Category,Demographic Group,Rank,Time Spent/User,Formatted,TIme spent change (%)
AUS,Australia,Sports,Male (18+),1,1.39x,1.39,0.39
AUS,Australia,Games / Strategy,Male (18+),2,1.39x,1.39,0.39
AUS,Australia,Games / Racing,Male (18+),3,1.38x,1.38,0.38
AUS,Australia,Games / Action,Male (18+),4,1.38x,1.38,0.38
AUS,Australia,Games / Sports,Male (18+),5,1.33x,1.33,0.33
AUS,Australia,Navigation,Male (18+),6,1.30x,1.30,0.3
AUS,Australia,Business,Male (18+),7,1.17x,1.17,0.17
AUS,Australia,News,Male (18+),8,1.13x,1.13,0.13
AUS,Australia,Games / Board,Male (18+),9,1.11x,1.11,0.11
AUS,Australia,Productivity,Male (18+),10,1.09x,1.09,0.09
AUS,Australia,Games / Card,Male (18+),11,1.09x,1.09,0.09
AUS,Australia,Finance,Male (18+),12,1.08x,1.08,0.08
AUS,Australia,Photo & Video,Male (18+),13,1.07x,1.07,0.07
AUS,Australia,Utilities,Male (18+),14,1.05x,1.05,0.05
AUS,Australia,Games / Role Playing,Male (18+),15,1.05x,1.05,0.05
AUS,Australia,Food & Drink,Male (18+),16,1.04x,1.04,0.04
AUS,Australia,Health & Fitness,Male (18+),17,1.00x,1.00,0
AUS,Australia,Music,Male (18+),18,0.99x,0.99,-0.01
AUS,Australia,Education,Male (18+),19,0.98x,0.98,-0.02
AUS,Australia,Social Networking,Male (18+),20,0.98x,0.98,-0.02
AUS,Australia,Medical,Male (18+),21,0.95x,0.95,-0.05
AUS,Australia,Travel,Male (18+),22,0.93x,0.93,-0.07
AUS,Australia,Weather,Male (18+),23,0.90x,0.90,-0.1
AUS,Australia,Games / Adventure,Male (18+),24,0.87x,0.87,-0.13
AUS,Australia,Games / Simulation,Male (18+),25,0.85x,0.85,-0.15
AUS,Australia,Games / Word,Male (18+),26,0.83x,0.83,-0.17
AUS,Australia,Entertainment,Male (18+),27,0.83x,0.83,-0.17
AUS,Australia,Books,Male (18+),28,0.82x,0.82,-0.18
AUS,Australia,Games / Casino,Male (18+),29,0.75x,0.75,-0.25
AUS,Australia,Shopping,Male (18+),30,0.71x,0.71,-0.29
AUS,Australia,Games / Casual,Male (18+),31,0.71x,0.71,-0.29
AUS,Australia,Games / Music,Male (18+),32,0.68x,0.68,-0.32
AUS,Australia,Lifestyle,Male (18+),33,0.65x,0.65,-0.35
AUS,Australia,Games / Puzzle,Male (18+),34,0.54x,0.54,-0.46
AUS,Australia,Games / Trivia,Male (18+),35,0.54x,0.54,-0.46
AUS,Australia,Graphics & Design,Male (18+),36,0.52x,0.52,-0.48
AUS,Australia,Games / Puzzle,Female (18+),1,1.94x,1.94,0.94
AUS,Australia,Graphics & Design,Female (18+),2,1.92x,1.92,0.92
AUS,Australia,Games / Music,Female (18+),3,1.77x,1.77,0.77
AUS,Australia,Lifestyle,Female (18+),4,1.71x,1.71,0.71
AUS,Australia,Games / Casino,Female (18+),5,1.61x,1.61,0.61
AUS,Australia,Shopping,Female (18+),6,1.57x,1.57,0.57
AUS,Australia,Games / Casual,Female (18+),7,1.55x,1.55,0.55
AUS,Australia,Games / Adventure,Female (18+),8,1.43x,1.43,0.43
AUS,Australia,Games / Simulation,Female (18+),9,1.42x,1.42,0.42
AUS,Australia,Entertainment,Female (18+),10,1.38x,1.38,0.38
AUS,Australia,Games / Word,Female (18+),11,1.37x,1.37,0.37
AUS,Australia,Games / Trivia,Female (18+),12,1.37x,1.37,0.37
AUS,Australia,Medical,Female (18+),13,1.33x,1.33,0.33
AUS,Australia,Books,Female (18+),14,1.32x,1.32,0.32
AUS,Australia,Weather,Female (18+),15,1.30x,1.30,0.3
AUS,Australia,Health & Fitness,Female (18+),16,1.15x,1.15,0.15
AUS,Australia,Music,Female (18+),17,1.13x,1.13,0.13
AUS,Australia,Social Networking,Female (18+),18,1.12x,1.12,0.12
AUS,Australia,Education,Female (18+),19,1.10x,1.10,0.1
AUS,Australia,Games / Role Playing,Female (18+),20,1.10x,1.10,0.1
AUS,Australia,Food & Drink,Female (18+),21,1.06x,1.06,0.06
AUS,Australia,Travel,Female (18+),22,0.96x,0.96,-0.04
AUS,Australia,Photo & Video,Female (18+),23,0.95x,0.95,-0.05
AUS,Australia,Utilities,Female (18+),24,0.94x,0.94,-0.06
AUS,Australia,Productivity,Female (18+),25,0.93x,0.93,-0.07
AUS,Australia,Finance,Female (18+),26,0.91x,0.91,-0.09
AUS,Australia,Games / Card,Female (18+),27,0.83x,0.83,-0.17
AUS,Australia,News,Female (18+),28,0.83x,0.83,-0.17
AUS,Australia,Games / Board,Female (18+),29,0.80x,0.80,-0.2
AUS,Australia,Business,Female (18+),30,0.76x,0.76,-0.24
AUS,Australia,Navigation,Female (18+),31,0.59x,0.59,-0.41
AUS,Australia,Games / Sports,Female (18+),32,0.51x,0.51,-0.49
AUS,Australia,Sports,Female (18+),33,0.49x,0.49,-0.51
AUS,Australia,Games / Action,Female (18+),34,0.45x,0.45,-0.55
AUS,Australia,Games / Strategy,Female (18+),35,0.45x,0.45,-0.55
AUS,Australia,Games / Racing,Female (18+),36,0.35x,0.35,-0.65
BRA,Brazil,Sports,Male (18+),1,1.54x,1.54,0.54
BRA,Brazil,Games / Sports,Male (18+),2,1.54x,1.54,0.54
BRA,Brazil,Games / Strategy,Male (18+),3,1.44x,1.44,0.44
BRA,Brazil,Games / Racing,Male (18+),4,1.38x,1.38,0.38
BRA,Brazil,Games / Action,Male (18+),5,1.38x,1.38,0.38
BRA,Brazil,Games / Casino,Male (18+),6,1.31x,1.31,0.31
BRA,Brazil,Business,Male (18+),7,1.24x,1.24,0.24
BRA,Brazil,Games / Card,Male (18+),8,1.22x,1.22,0.22
BRA,Brazil,Games / Board,Male (18+),9,1.20x,1.20,0.2
BRA,Brazil,Games / Adventure,Male (18+),10,1.12x,1.12,0.12
BRA,Brazil,Photo & Video,Male (18+),11,1.10x,1.10,0.1
BRA,Brazil,Games / Role Playing,Male (18+),12,1.07x,1.07,0.07
BRA,Brazil,Finance,Male (18+),13,1.07x,1.07,0.07
BRA,Brazil,Productivity,Male (18+),14,1.07x,1.07,0.07
BRA,Brazil,Navigation,Male (18+),15,1.06x,1.06,0.06
BRA,Brazil,Weather,Male (18+),16,1.03x,1.03,0.03
BRA,Brazil,Music,Male (18+),17,0.98x,0.98,-0.02
BRA,Brazil,Travel,Male (18+),18,0.96x,0.96,-0.04
BRA,Brazil,Utilities,Male (18+),19,0.96x,0.96,-0.04
BRA,Brazil,News,Male (18+),20,0.94x,0.94,-0.06
BRA,Brazil,Health & Fitness,Male (18+),21,0.94x,0.94,-0.06
BRA,Brazil,Education,Male (18+),22,0.93x,0.93,-0.07
BRA,Brazil,Games / Simulation,Male (18+),23,0.92x,0.92,-0.08
BRA,Brazil,Social Networking,Male (18+),24,0.90x,0.90,-0.1
BRA,Brazil,Food & Drink,Male (18+),25,0.88x,0.88,-0.12
BRA,Brazil,Entertainment,Male (18+),26,0.86x,0.86,-0.14
BRA,Brazil,Games / Trivia,Male (18+),27,0.84x,0.84,-0.16
BRA,Brazil,Games / Music,Male (18+),28,0.82x,0.82,-0.18
BRA,Brazil,Medical,Male (18+),29,0.78x,0.78,-0.22
BRA,Brazil,Shopping,Male (18+),30,0.73x,0.73,-0.27
BRA,Brazil,Graphics & Design,Male (18+),31,0.71x,0.71,-0.29
BRA,Brazil,Books,Male (18+),32,0.70x,0.70,-0.3
BRA,Brazil,Games / Word,Male (18+),33,0.68x,0.68,-0.32
BRA,Brazil,Games / Casual,Male (18+),34,0.65x,0.65,-0.35
BRA,Brazil,Games / Puzzle,Male (18+),35,0.57x,0.57,-0.43
BRA,Brazil,Lifestyle,Male (18+),36,0.54x,0.54,-0.46
BRA,Brazil,Lifestyle,Female (18+),1,1.69x,1.69,0.69
BRA,Brazil,Games / Puzzle,Female (18+),2,1.60x,1.60,0.6
BRA,Brazil,Games / Casual,Female (18+),3,1.47x,1.47,0.47
BRA,Brazil,Books,Female (18+),4,1.46x,1.46,0.46
BRA,Brazil,Graphics & Design,Female (18+),5,1.46x,1.46,0.46
BRA,Brazil,Games / Word,Female (18+),6,1.45x,1.45,0.45
BRA,Brazil,Shopping,Female (18+),7,1.39x,1.39,0.39
BRA,Brazil,Medical,Female (18+),8,1.32x,1.32,0.32
BRA,Brazil,Games / Music,Female (18+),9,1.27x,1.27,0.27
BRA,Brazil,Entertainment,Female (18+),10,1.21x,1.21,0.21
BRA,Brazil,Games / Trivia,Female (18+),11,1.20x,1.20,0.2
BRA,Brazil,Food & Drink,Female (18+),12,1.16x,1.16,0.16
BRA,Brazil,Social Networking,Female (18+),13,1.15x,1.15,0.15
BRA,Brazil,Games / Simulation,Female (18+),14,1.14x,1.14,0.14
BRA,Brazil,Education,Female (18+),15,1.09x,1.09,0.09
BRA,Brazil,News,Female (18+),16,1.09x,1.09,0.09
BRA,Brazil,Health & Fitness,Female (18+),17,1.09x,1.09,0.09
BRA,Brazil,Utilities,Female (18+),18,1.06x,1.06,0.06
BRA,Brazil,Music,Female (18+),19,1.04x,1.04,0.04
BRA,Brazil,Travel,Female (18+),20,0.96x,0.96,-0.04
BRA,Brazil,Weather,Female (18+),21,0.93x,0.93,-0.07
BRA,Brazil,Productivity,Female (18+),22,0.89x,0.89,-0.11
BRA,Brazil,Games / Role Playing,Female (18+),23,0.89x,0.89,-0.11
BRA,Brazil,Navigation,Female (18+),24,0.88x,0.88,-0.12
BRA,Brazil,Finance,Female (18+),25,0.87x,0.87,-0.13
BRA,Brazil,Photo & Video,Female (18+),26,0.85x,0.85,-0.15
